Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2008-03-12,,,,,,Neutro
2008-03-13,,,,,,Neutro
2008-03-14,,,,,,Neutro
2008-03-17,,,,,,Neutro
2008-03-18,,,,,,Neutro
2008-03-19,,,,,,Neutro
2008-03-20,,,,,,Neutro
2008-03-24,,,,,,Neutro
2008-03-25,,,,,,Neutro
2008-03-26,,,,,,Neutro
2008-03-27,,,,,,Neutro
2008-03-28,,,,,,Neutro
2008-03-31,,,,,,Neutro
2008-04-01,,,,,,Neutro
2008-04-02,,,,,,Neutro
2008-04-03,,,,,,Neutro
2008-04-04,,,,,,Neutro
2008-04-07,,,,,,Neutro
2008-04-08,,,,,,Neutro
2008-04-09,359901.64,294150.00,228398.36,44.71,0.41,Neutro
2008-04-10,357727.75,292635.00,227542.25,44.49,0.44,Neutro
2008-04-11,322284.94,286350.00,250415.06,25.10,0.44,Neutro
2008-04-14,318099.00,283380.00,248661.00,24.50,0.14,Neutro
2008-04-15,315602.22,283830.00,252057.78,22.39,0.00,Sobrevendido
2008-04-16,317178.29,282585.00,247991.71,24.48,0.07,Neutro
2008-04-17,317767.57,279660.00,241552.43,27.25,-0.00,Sobrevendido
2008-04-18,321796.26,276660.00,231523.74,32.63,0.00,Sobrevendido
2008-04-21,323874.01,273360.00,222845.99,36.96,0.01,Neutro
2008-04-22,323726.50,269745.00,215763.50,40.02,0.07,Neutro
2008-04-23,323132.07,266505.00,209877.93,42.50,0.13,Neutro
2008-04-24,316383.82,261825.00,207266.18,41.68,0.15,Neutro
2008-04-25,315216.09,258480.00,201743.91,43.90,0.14,Neutro
2008-04-28,313485.41,254955.00,196424.59,45.91,0.15,Neutro
2008-04-29,312975.57,251940.00,190904.43,48.45,0.17,Neutro
2008-04-30,310707.87,248460.00,186212.13,50.11,0.19,Neutro
2008-05-01,307036.49,244500.00,181963.51,51.15,0.19,Neutro
2008-05-02,302691.00,239850.00,177009.00,52.40,0.14,Neutro
2008-05-05,296051.12,234690.00,173328.88,52.29,0.14,Neutro
2008-05-06,289659.99,229065.00,168470.01,52.91,0.08,Neutro
2008-05-07,282981.39,223950.00,164918.61,52.72,0.13,Neutro
2008-05-08,274038.31,218400.00,162761.69,50.95,0.10,Neutro
2008-05-09,264203.79,212610.00,161016.21,48.53,0.05,Neutro
2008-05-12,257929.36,208380.00,158830.64,47.56,0.15,Neutro
2008-05-13,255286.69,205230.00,155173.31,48.78,0.18,Neutro
2008-05-14,247951.30,201210.00,154468.70,46.46,0.19,Neutro
2008-05-15,242714.06,197400.00,152085.94,45.91,0.15,Neutro
2008-05-16,239301.93,194910.00,150518.07,45.55,0.28,Neutro
2008-05-19,236062.39,192045.00,148027.61,45.84,0.21,Neutro
2008-05-20,235766.28,191970.00,148173.72,45.63,0.84,Neutro
2008-05-21,235158.11,191820.00,148481.89,45.19,0.85,Neutro
2008-05-22,233605.66,191400.00,149194.34,44.10,0.78,Neutro
2008-05-23,230187.61,189885.00,149582.39,42.45,0.47,Neutro
2008-05-27,227029.19,188385.00,149740.81,41.03,0.45,Neutro
2008-05-28,225273.43,187785.00,150296.57,39.93,0.66,Neutro
2008-05-29,227053.84,188235.00,149416.16,41.25,0.90,Neutro
2008-05-30,254681.06,192780.00,130878.94,64.22,1.00,Sobrecomprado
2008-06-02,272236.05,197385.00,122533.95,75.84,1.00,Sobrecomprado
