Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,16.89,15.40,13.91,19.35,0.55,Neutro
2016-02-02,16.59,15.30,14.02,16.79,0.39,Neutro
2016-02-03,16.22,15.21,14.20,13.28,0.46,Neutro
2016-02-04,15.98,15.16,14.33,10.89,0.65,Neutro
2016-02-05,15.96,15.12,14.27,11.18,0.21,Neutro
2016-02-08,15.91,15.06,14.22,11.22,0.20,Neutro
2016-02-09,15.84,14.99,14.14,11.34,0.09,Neutro
2016-02-10,15.70,14.93,14.16,10.32,0.29,Neutro
2016-02-11,15.69,14.88,14.07,10.89,0.12,Neutro
2016-02-12,15.59,14.84,14.10,10.04,0.46,Neutro
2016-02-16,15.61,14.85,14.09,10.23,0.72,Neutro
2016-02-17,15.68,14.88,14.09,10.68,0.81,Neutro
2016-02-18,15.79,14.92,14.06,11.59,0.91,Neutro
2016-02-19,15.85,14.98,14.11,11.62,0.82,Neutro
2016-02-22,15.97,15.04,14.10,12.43,0.93,Neutro
2016-02-23,16.02,15.09,14.16,12.33,0.73,Neutro
2016-02-24,16.15,15.14,14.12,13.41,0.92,Neutro
2016-02-25,16.21,15.10,13.99,14.70,0.04,Neutro
2016-02-26,16.22,15.07,13.91,15.33,0.20,Neutro
2016-02-29,16.17,15.02,13.87,15.31,0.32,Neutro
2016-03-01,16.11,14.98,13.85,15.09,0.40,Neutro
