Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,20.38,18.59,16.81,19.20,0.43,Neutro
2016-02-02,20.20,18.51,16.82,18.26,0.41,Neutro
2016-02-03,19.85,18.40,16.95,15.76,0.44,Neutro
2016-02-04,19.53,18.33,17.12,13.15,0.64,Neutro
2016-02-05,19.24,18.25,17.26,10.85,0.52,Neutro
2016-02-08,19.13,18.22,17.31,9.99,0.63,Neutro
2016-02-09,18.99,18.18,17.38,8.85,0.67,Neutro
2016-02-10,18.86,18.15,17.43,7.88,0.53,Neutro
2016-02-11,18.81,18.12,17.42,7.67,0.37,Neutro
2016-02-12,18.80,18.11,17.42,7.62,0.78,Neutro
2016-02-16,18.90,18.16,17.42,8.15,0.93,Neutro
2016-02-17,18.96,18.20,17.43,8.41,0.82,Neutro
2016-02-18,19.00,18.23,17.47,8.39,0.73,Neutro
2016-02-19,19.03,18.29,17.55,8.09,0.77,Neutro
2016-02-22,19.06,18.30,17.54,8.31,0.80,Neutro
2016-02-23,19.02,18.36,17.70,7.19,0.65,Neutro
2016-02-24,19.03,18.42,17.80,6.68,0.89,Neutro
2016-02-25,19.06,18.49,17.92,6.17,1.00,Neutro
2016-02-26,19.22,18.55,17.87,7.28,1.00,Sobrecomprado
2016-02-29,19.33,18.59,17.86,7.91,0.93,Neutro
