Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2026-05-07,,,,,,Neutro
2026-05-08,,,,,,Neutro
2026-05-11,,,,,,Neutro
2026-05-12,,,,,,Neutro
2026-05-13,,,,,,Neutro
2026-05-14,,,,,,Neutro
2026-05-15,,,,,,Neutro
2026-05-18,,,,,,Neutro
2026-05-19,,,,,,Neutro
2026-05-20,,,,,,Neutro
2026-05-21,,,,,,Neutro
2026-05-22,,,,,,Neutro
2026-05-26,,,,,,Neutro
2026-05-27,,,,,,Neutro
2026-05-28,,,,,,Neutro
2026-05-29,,,,,,Neutro
2026-06-01,,,,,,Neutro
2026-06-02,,,,,,Neutro
2026-06-03,,,,,,Neutro
2026-06-04,38.76,31.96,25.16,42.55,0.53,Neutro
2026-06-05,38.35,32.15,25.96,38.54,0.25,Neutro
2026-06-08,38.24,32.23,26.22,37.30,0.26,Neutro
2026-06-09,38.38,32.14,25.90,38.83,0.13,Neutro
2026-06-10,38.51,32.06,25.60,40.27,0.13,Neutro
2026-06-11,38.50,32.11,25.72,39.80,0.39,Neutro
2026-06-12,38.61,31.95,25.29,41.69,0.19,Neutro
2026-06-15,38.78,31.81,24.83,43.86,0.15,Neutro
2026-06-16,39.01,31.58,24.15,47.06,0.12,Neutro
2026-06-17,39.17,31.36,23.55,49.81,0.17,Neutro
2026-06-18,39.27,31.07,22.86,52.82,0.17,Neutro
2026-06-22,39.48,30.70,21.91,57.24,0.12,Neutro
2026-06-23,39.38,30.18,20.98,60.96,0.14,Neutro
