Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2020-12-15,,,,,,Neutro
2020-12-16,,,,,,Neutro
2020-12-17,,,,,,Neutro
2020-12-18,,,,,,Neutro
2020-12-21,,,,,,Neutro
2020-12-22,,,,,,Neutro
2020-12-23,,,,,,Neutro
2020-12-24,,,,,,Neutro
2020-12-28,,,,,,Neutro
2020-12-29,,,,,,Neutro
2020-12-30,,,,,,Neutro
2020-12-31,,,,,,Neutro
2021-01-04,,,,,,Neutro
2021-01-05,,,,,,Neutro
2021-01-06,,,,,,Neutro
2021-01-07,,,,,,Neutro
2021-01-08,,,,,,Neutro
2021-01-11,,,,,,Neutro
2021-01-12,,,,,,Neutro
2021-01-13,6379907.81,3154935.00,-70037.81,204.44,0.33,Neutro
2021-01-14,6302398.41,3211915.00,121431.59,192.44,0.30,Neutro
2021-01-15,6159996.10,3071320.00,-17356.10,201.13,0.29,Neutro
2021-01-19,4482683.09,2724050.00,965416.91,129.12,0.19,Neutro
2021-01-20,3805942.26,2531620.00,1257297.74,100.67,0.14,Neutro
2021-01-21,3639453.54,2424555.00,1209656.46,100.22,0.15,Neutro
2021-01-22,3613981.35,2358195.00,1102408.65,106.50,0.18,Neutro
2021-01-25,3265900.32,2247665.00,1229429.68,90.60,0.27,Neutro
2021-01-26,3138579.50,2166990.00,1195400.50,89.67,0.18,Neutro
2021-01-27,3043389.86,2087855.00,1132320.14,91.53,0.13,Neutro
2021-01-28,2968171.90,2019710.00,1071248.10,93.92,0.17,Neutro
2021-01-29,2894951.90,1946490.00,998028.10,97.45,0.13,Neutro
2021-02-01,2817443.85,1877925.00,938406.15,100.06,0.17,Neutro
2021-02-02,2777872.69,1816465.00,855057.31,105.85,0.15,Neutro
2021-02-03,2619387.37,1734775.00,850162.63,101.99,0.18,Neutro
2021-02-04,2494777.48,1661625.00,828472.52,100.28,0.17,Neutro
2021-02-05,2324346.98,1585710.00,847073.02,93.16,0.17,Neutro
2021-02-08,2192694.97,1526385.00,860075.03,87.31,0.23,Neutro
2021-02-09,2127285.14,1478925.00,830564.86,87.68,0.20,Neutro
2021-02-10,2045854.27,1428665.00,811475.73,86.40,0.19,Neutro
2021-02-11,1935207.05,1381100.00,826992.95,80.24,0.26,Neutro
2021-02-12,2019209.72,1394610.00,770010.28,89.57,1.00,Sobrecomprado
2021-02-16,2001632.40,1388765.00,775897.60,88.26,0.70,Neutro
2021-02-17,1974893.06,1366400.00,757906.94,89.07,0.35,Neutro
2021-02-18,1950201.95,1352540.00,754878.05,88.38,0.48,Neutro
2021-02-19,1926034.29,1333395.00,740755.71,88.89,0.38,Neutro
2021-02-22,1905876.20,1307705.00,709533.80,91.48,0.27,Neutro
2021-02-23,1843893.16,1264690.00,685486.84,91.60,0.20,Neutro
2021-02-24,1815431.68,1235780.00,656128.32,93.81,0.26,Neutro
2021-02-25,1809389.46,1208900.00,608410.54,99.34,0.20,Neutro
2021-02-26,1799231.62,1179185.00,559138.38,105.17,0.20,Neutro
2021-03-01,1793384.66,1161020.00,528655.34,108.93,0.28,Neutro
2021-03-02,1787502.40,1139390.00,491277.60,113.76,0.26,Neutro
2021-03-03,1784954.02,1124480.00,464005.98,117.47,0.30,Neutro
2021-03-04,1788711.26,1100715.00,412718.74,125.01,0.20,Neutro
2021-03-05,1791896.77,1079575.00,367253.23,131.96,0.22,Neutro
2021-03-08,1792085.78,1059520.00,326954.22,138.28,0.25,Neutro
2021-03-09,1781480.56,1039745.00,298009.44,142.68,0.32,Neutro
2021-03-10,1775616.98,1022385.00,269153.02,147.35,0.31,Neutro
2021-03-11,1769789.46,1010205.00,250620.54,150.38,0.36,Neutro
2021-03-12,1758216.69,993300.00,228383.31,154.02,0.36,Neutro
2021-03-15,1407539.54,923615.00,439690.46,104.79,0.43,Neutro
2021-03-16,1237091.01,880215.00,523338.99,81.09,0.33,Neutro
2021-03-17,1189723.26,861280.00,532836.74,76.27,0.41,Neutro
