Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,65.69,60.42,55.15,17.45,0.32,Neutro
2016-02-02,64.94,60.03,55.13,16.34,0.24,Neutro
2016-02-03,64.18,59.69,55.19,15.06,0.28,Neutro
2016-02-04,63.32,59.31,55.31,13.50,0.23,Neutro
2016-02-05,63.27,58.90,54.53,14.84,0.00,Sobrevendido
2016-02-08,63.33,58.45,53.56,16.72,0.00,Sobrevendido
2016-02-09,63.33,57.90,52.46,18.77,0.00,Sobrevendido
2016-02-10,62.78,57.33,51.89,18.99,0.01,Neutro
2016-02-11,62.91,57.38,51.85,19.28,0.78,Neutro
2016-02-12,62.47,57.23,52.00,18.29,0.63,Neutro
2016-02-16,62.50,57.25,51.99,18.36,0.77,Neutro
2016-02-17,62.84,57.36,51.87,19.13,0.84,Neutro
2016-02-18,62.81,57.34,51.87,19.08,0.62,Neutro
2016-02-19,62.86,57.36,51.87,19.16,0.62,Neutro
2016-02-22,62.97,57.41,51.84,19.39,0.74,Neutro
2016-02-23,62.94,57.39,51.84,19.34,0.58,Neutro
2016-02-24,62.88,57.36,51.84,19.25,0.58,Neutro
2016-02-25,63.00,57.48,51.95,19.23,0.61,Neutro
2016-02-26,63.14,57.59,52.04,19.27,0.63,Neutro
2016-02-29,63.22,57.63,52.04,19.40,0.66,Neutro
