Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2019-04-18,,,,,,Neutro
2019-04-22,,,,,,Neutro
2019-04-23,,,,,,Neutro
2019-04-24,,,,,,Neutro
2019-04-25,,,,,,Neutro
2019-04-26,,,,,,Neutro
2019-04-29,,,,,,Neutro
2019-04-30,,,,,,Neutro
2019-05-01,,,,,,Neutro
2019-05-02,,,,,,Neutro
2019-05-03,,,,,,Neutro
2019-05-06,,,,,,Neutro
2019-05-07,,,,,,Neutro
2019-05-08,,,,,,Neutro
2019-05-09,,,,,,Neutro
2019-05-10,,,,,,Neutro
2019-05-13,,,,,,Neutro
2019-05-14,,,,,,Neutro
2019-05-15,,,,,,Neutro
2019-05-16,84.86,72.61,60.35,33.76,0.94,Neutro
2019-05-17,87.49,74.01,60.52,36.44,1.00,Sobrecomprado
2019-05-20,88.65,74.95,61.26,36.54,0.85,Neutro
2019-05-21,89.93,75.78,61.62,37.36,0.84,Neutro
2019-05-22,89.87,76.74,63.60,34.23,0.72,Neutro
2019-05-23,89.36,77.43,65.49,30.83,0.56,Neutro
2019-05-24,88.66,77.93,67.20,27.54,0.42,Neutro
2019-05-28,88.11,78.41,68.70,24.76,0.47,Neutro
2019-05-29,87.96,78.57,69.19,23.89,0.35,Neutro
2019-05-30,87.96,78.96,69.95,22.81,0.58,Neutro
2019-05-31,88.03,79.17,70.31,22.38,0.53,Neutro
2019-06-03,87.98,79.00,70.02,22.73,0.33,Neutro
2019-06-04,88.00,79.03,70.06,22.70,0.48,Neutro
2019-06-05,87.84,79.26,70.68,21.65,0.43,Neutro
2019-06-06,87.90,79.35,70.80,21.55,0.50,Neutro
2019-06-07,90.84,80.29,69.75,26.27,1.00,Sobrecomprado
2019-06-10,95.73,81.41,67.09,35.18,1.00,Sobrecomprado
2019-06-11,97.41,82.53,67.65,36.06,0.91,Neutro
2019-06-12,100.74,84.01,67.28,39.83,1.00,Sobrecomprado
2019-06-13,103.28,85.07,66.85,42.82,0.94,Neutro
2019-06-14,105.33,85.91,66.50,45.20,0.87,Neutro
2019-06-17,106.42,86.32,66.22,46.57,0.79,Neutro
2019-06-18,108.01,87.07,66.13,48.10,0.80,Neutro
2019-06-19,109.92,87.92,65.91,50.06,0.83,Neutro
2019-06-20,111.66,88.91,66.16,51.18,0.79,Neutro
2019-06-21,112.77,89.99,67.21,50.63,0.73,Neutro
2019-06-24,112.50,90.65,68.80,48.21,0.47,Neutro
