Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,6.52,6.58,6.62,6.64,6.67,6.72,6.77,6.84,6.92,0.64,0.62,0.15,Resistência,1,1
2016-01-05,6.52,6.58,6.62,6.64,6.67,6.72,6.77,6.84,6.92,0.36,0.24,0.02,Suporte,1,0
2016-01-06,6.35,6.45,6.51,6.56,6.61,6.68,6.77,6.88,7.03,0.19,0.00,0.05,Suporte Forte,0,0
2016-01-07,6.35,6.45,6.51,6.56,6.61,6.68,6.77,6.88,7.03,0.24,0.24,0.14,Suporte,1,0
2016-01-08,6.35,6.45,6.51,6.56,6.61,6.68,6.77,6.88,7.03,0.45,0.38,0.05,Zona de Consolidação,1,0
2016-01-11,6.35,6.45,6.51,6.56,6.61,6.68,6.77,6.88,7.03,0.50,0.50,0.12,Zona de Consolidação,1,0
2016-01-12,6.35,6.45,6.51,6.56,6.61,6.68,6.77,6.88,7.03,0.24,0.24,0.14,Suporte,1,0
2016-01-13,6.35,6.45,6.51,6.56,6.61,6.68,6.77,6.88,7.03,0.14,0.00,0.10,Suporte Forte,0,0
2016-01-14,6.27,6.39,6.46,6.52,6.58,6.66,6.77,6.91,7.08,0.30,0.24,0.08,Suporte,1,0
2016-01-15,6.27,6.39,6.46,6.52,6.58,6.66,6.77,6.91,7.08,0.38,0.24,0.00,Suporte,1,0
2016-01-19,6.27,6.41,6.50,6.57,6.64,6.74,6.87,7.03,7.24,0.38,0.24,0.00,Suporte,1,0
2016-01-20,6.27,6.41,6.50,6.57,6.64,6.74,6.87,7.03,7.24,0.20,0.00,0.04,Suporte Forte,0,0
2016-01-21,6.27,6.41,6.50,6.57,6.64,6.74,6.87,7.03,7.24,0.20,0.00,0.04,Suporte Forte,0,0
2016-01-22,6.27,6.41,6.50,6.57,6.64,6.74,6.87,7.03,7.24,0.45,0.38,0.05,Zona de Consolidação,1,0
2016-01-25,6.27,6.41,6.50,6.57,6.64,6.74,6.87,7.03,7.24,0.32,0.24,0.06,Suporte,1,0
2016-01-26,6.27,6.41,6.50,6.57,6.64,6.74,6.87,7.03,7.24,0.43,0.38,0.07,Zona de Consolidação,1,0
2016-01-27,6.27,6.41,6.50,6.57,6.64,6.74,6.87,7.03,7.24,0.82,0.79,0.18,Resistência Forte,0,1
2016-01-28,6.27,6.45,6.56,6.65,6.74,6.87,7.03,7.24,7.50,0.84,0.79,0.16,Resistência Forte,0,1
