Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,31.38,31.74,31.96,32.14,32.31,32.57,32.89,33.30,33.82,0.31,0.24,0.07,Suporte,1,0
2016-01-05,31.38,31.74,31.96,32.14,32.31,32.57,32.89,33.30,33.82,0.21,0.00,0.03,Suporte Forte,1,0
2016-01-06,31.02,31.46,31.73,31.96,32.18,32.49,32.89,33.40,34.05,0.33,0.24,0.05,Suporte,1,0
2016-01-07,30.26,30.88,31.26,31.58,31.89,32.33,32.89,33.61,34.52,0.05,0.00,0.19,Suporte Forte,0,0
2016-01-08,30.26,30.88,31.26,31.58,31.89,32.33,32.89,33.61,34.52,0.03,0.00,0.21,Suporte Forte,0,0
2016-01-11,29.93,30.63,31.06,31.41,31.76,32.26,32.89,33.70,34.72,0.32,0.24,0.06,Suporte,1,0
2016-01-12,29.93,30.63,31.06,31.41,31.76,32.26,32.89,33.70,34.72,0.32,0.24,0.06,Suporte,1,0
2016-01-13,28.96,29.89,30.46,30.92,31.39,32.05,32.89,33.96,35.32,0.03,0.00,0.21,Suporte Forte,0,0
2016-01-14,28.49,29.53,30.17,30.69,31.21,31.95,32.89,34.09,35.61,0.26,0.24,0.12,Suporte,0,0
2016-01-15,28.26,29.35,30.03,30.58,31.12,31.90,32.89,34.15,35.75,0.05,0.00,0.19,Suporte Forte,0,0
2016-01-19,28.26,29.35,30.03,30.58,31.12,31.90,32.89,34.15,35.75,0.10,0.00,0.14,Suporte Forte,0,0
2016-01-20,27.36,28.67,29.47,30.12,30.78,31.71,32.89,34.39,36.31,0.22,0.00,0.02,Suporte Forte,0,0
2016-01-21,27.36,28.67,29.47,30.12,30.78,31.71,32.89,34.39,36.31,0.25,0.24,0.13,Suporte,0,0
2016-01-22,27.36,28.67,29.47,30.12,30.78,31.71,32.89,34.39,36.31,0.44,0.38,0.06,Zona de Consolidação,0,0
2016-01-25,27.36,28.67,29.47,30.12,30.78,31.71,32.89,34.39,36.31,0.45,0.38,0.05,Zona de Consolidação,0,0
2016-01-26,27.36,28.67,29.47,30.12,30.78,31.71,32.89,34.39,36.31,0.49,0.38,0.01,Zona de Consolidação,0,0
2016-01-27,27.36,28.67,29.47,30.12,30.78,31.71,32.89,34.39,36.31,0.33,0.24,0.05,Suporte,0,0
2016-01-28,27.36,28.67,29.47,30.12,30.78,31.71,32.89,34.39,36.31,0.80,0.79,0.20,Resistência Forte,0,1
