Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2024-12-27,185.00,193.97,199.52,204.00,208.48,214.87,223.00,233.34,246.48,0.49,0.38,0.01,Zona de Consolidação,0,0
2024-12-30,185.00,202.70,213.65,222.50,231.35,243.95,260.00,280.40,306.35,0.77,0.62,0.02,Resistência,0,1
2024-12-31,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.81,0.79,0.19,Resistência Forte,0,0
2025-01-02,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.28,0.24,0.10,Suporte,0,0
2025-01-03,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.22,0.00,0.02,Suporte Forte,0,0
2025-01-06,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.32,0.24,0.06,Suporte,0,0
2025-01-07,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.40,0.38,0.10,Zona de Consolidação,0,0
2025-01-08,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.29,0.24,0.09,Suporte,0,0
2025-01-10,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.35,0.24,0.03,Suporte,0,0
2025-01-13,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.64,0.62,0.15,Resistência,0,0
2025-01-14,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.65,0.62,0.14,Resistência,0,0
2025-01-15,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.66,0.62,0.13,Resistência,0,0
2025-01-16,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.67,0.62,0.12,Resistência,0,0
2025-01-17,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.63,0.62,0.16,Resistência,1,0
2025-01-21,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.68,0.62,0.11,Resistência,0,0
2025-01-22,185.00,222.76,246.12,265.00,283.88,310.76,345.00,388.52,443.88,0.48,0.38,0.02,Zona de Consolidação,0,0
