Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2000-01-03,7.09,7.19,7.26,7.31,7.36,7.44,7.53,7.65,7.80,0.14,0.00,0.10,Suporte Forte,0,0
2000-01-04,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.21,0.00,0.03,Suporte Forte,0,0
2000-01-05,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.34,0.24,0.04,Suporte,1,0
2000-01-06,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.37,0.24,0.01,Suporte,1,0
2000-01-07,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.42,0.38,0.08,Zona de Consolidação,1,0
2000-01-10,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.26,0.24,0.12,Suporte,0,0
2000-01-11,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.21,0.00,0.03,Suporte Forte,0,0
2000-01-12,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.24,0.24,0.14,Suporte,0,0
2000-01-13,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.43,0.38,0.07,Zona de Consolidação,1,0
2000-01-14,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.45,0.38,0.05,Zona de Consolidação,1,0
2000-01-18,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.33,0.24,0.05,Suporte,1,0
2000-01-19,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.36,0.24,0.02,Suporte,1,0
2000-01-20,6.64,6.85,6.98,7.08,7.19,7.34,7.53,7.77,8.08,0.26,0.24,0.12,Suporte,0,0
2000-01-21,6.56,6.79,6.93,7.04,7.16,7.32,7.53,7.79,8.13,0.07,0.00,0.17,Suporte Forte,0,0
2000-01-24,6.56,6.79,6.93,7.04,7.16,7.32,7.53,7.79,8.13,0.04,0.00,0.20,Suporte Forte,0,0
2000-01-25,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.04,0.00,0.20,Suporte Forte,0,0
2000-01-26,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.05,0.00,0.19,Suporte Forte,0,0
2000-01-27,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.12,0.00,0.12,Suporte Forte,0,0
2000-01-28,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.08,0.00,0.16,Suporte Forte,0,0
2000-01-31,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.17,0.00,0.07,Suporte Forte,0,0
2000-02-01,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.21,0.00,0.03,Suporte Forte,0,0
2000-02-02,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.19,0.00,0.05,Suporte Forte,0,0
2000-02-03,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.06,0.00,0.18,Suporte Forte,0,0
2000-02-04,6.55,6.78,6.92,7.04,7.16,7.32,7.53,7.80,8.14,0.06,0.00,0.18,Suporte Forte,0,0
2000-02-07,6.52,6.76,6.91,7.02,7.14,7.31,7.53,7.80,8.15,0.23,0.00,0.01,Suporte Forte,0,0
2000-02-08,6.52,6.76,6.91,7.02,7.14,7.31,7.53,7.80,8.15,0.29,0.24,0.09,Suporte,0,0
2000-02-09,6.52,6.76,6.91,7.02,7.14,7.31,7.53,7.80,8.15,0.20,0.00,0.04,Suporte Forte,0,0
2000-02-10,6.52,6.76,6.91,7.02,7.14,7.31,7.53,7.80,8.15,0.08,0.00,0.16,Suporte Forte,0,0
2000-02-11,6.52,6.76,6.91,7.02,7.14,7.31,7.53,7.80,8.15,0.22,0.00,0.02,Suporte Forte,0,0
2000-02-14,6.44,6.70,6.86,6.98,7.11,7.30,7.53,7.83,8.20,0.02,0.00,0.22,Suporte Forte,0,0
2000-02-15,6.44,6.70,6.86,6.98,7.11,7.30,7.53,7.83,8.20,0.07,0.00,0.17,Suporte Forte,0,0
2000-02-16,6.44,6.70,6.86,6.98,7.11,7.30,7.53,7.83,8.20,0.11,0.00,0.13,Suporte Forte,0,0
2000-02-17,6.44,6.70,6.86,6.98,7.11,7.30,7.53,7.83,8.20,0.10,0.00,0.14,Suporte Forte,0,0
2000-02-18,6.26,6.56,6.75,6.90,7.04,7.26,7.53,7.88,8.31,0.08,0.00,0.16,Suporte Forte,0,0
2000-02-22,6.06,6.41,6.62,6.80,6.97,7.22,7.53,7.93,8.44,0.14,0.00,0.10,Suporte Forte,0,0
2000-02-23,6.06,6.41,6.62,6.80,6.97,7.22,7.53,7.93,8.44,0.07,0.00,0.17,Suporte Forte,0,0
2000-02-24,5.96,6.33,6.56,6.74,6.93,7.19,7.53,7.96,8.50,0.10,0.00,0.14,Suporte Forte,0,0
2000-02-25,5.96,6.33,6.56,6.74,6.93,7.19,7.53,7.96,8.50,0.11,0.00,0.13,Suporte Forte,0,0
2000-02-28,5.96,6.33,6.56,6.74,6.93,7.19,7.53,7.96,8.50,0.08,0.00,0.16,Suporte Forte,0,0
2000-02-29,5.96,6.33,6.56,6.74,6.93,7.19,7.53,7.96,8.50,0.20,0.00,0.04,Suporte Forte,0,0
2000-03-01,5.95,6.32,6.55,6.74,6.93,7.19,7.53,7.96,8.51,0.01,0.00,0.23,Suporte Forte,0,0
2000-03-02,5.93,6.31,6.54,6.73,6.92,7.19,7.53,7.97,8.52,0.08,0.00,0.16,Suporte Forte,0,0
2000-03-03,5.93,6.31,6.54,6.73,6.92,7.19,7.53,7.97,8.52,0.09,0.00,0.15,Suporte Forte,0,0
2000-03-06,5.93,6.31,6.54,6.73,6.92,7.19,7.53,7.97,8.52,0.08,0.00,0.16,Suporte Forte,0,0
2000-03-07,5.93,6.31,6.54,6.73,6.92,7.19,7.53,7.97,8.52,0.12,0.00,0.12,Suporte Forte,0,0
2000-03-08,5.93,6.31,6.54,6.73,6.92,7.19,7.53,7.97,8.52,0.09,0.00,0.15,Suporte Forte,0,0
2000-03-09,5.93,6.31,6.54,6.73,6.92,7.19,7.53,7.97,8.52,0.06,0.00,0.18,Suporte Forte,0,0
2000-03-10,5.93,6.31,6.54,6.73,6.92,7.19,7.53,7.97,8.52,0.03,0.00,0.21,Suporte Forte,0,0
2000-03-13,5.82,6.22,6.47,6.68,6.88,7.16,7.53,8.00,8.59,0.09,0.00,0.15,Suporte Forte,0,0
2000-03-14,5.79,6.20,6.45,6.66,6.87,7.16,7.53,8.00,8.61,0.06,0.00,0.18,Suporte Forte,0,0
2000-03-15,5.79,6.12,6.33,6.50,6.66,6.90,7.20,7.58,8.07,0.31,0.24,0.07,Suporte,0,0
2000-03-16,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.68,0.62,0.11,Resistência,0,0
2000-03-17,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.65,0.62,0.14,Resistência,1,0
2000-03-20,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.60,0.50,0.02,Zona de Consolidação,1,0
2000-03-21,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.58,0.50,0.04,Zona de Consolidação,1,0
2000-03-22,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.60,0.50,0.02,Zona de Consolidação,1,0
2000-03-23,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.79,0.79,0.21,Resistência Forte,0,1
2000-03-24,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.66,0.62,0.13,Resistência,1,0
2000-03-27,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.57,0.50,0.05,Zona de Consolidação,1,0
2000-03-28,5.79,6.11,6.31,6.47,6.63,6.86,7.15,7.52,7.99,0.62,0.62,0.17,Resistência,1,0
2000-03-29,5.79,6.10,6.29,6.44,6.59,6.81,7.09,7.44,7.89,0.59,0.50,0.03,Zona de Consolidação,1,0
2000-03-30,5.79,6.08,6.26,6.40,6.54,6.75,7.01,7.34,7.76,0.61,0.50,0.01,Zona de Consolidação,1,0
2000-03-31,5.79,6.07,6.24,6.38,6.51,6.71,6.96,7.28,7.68,0.90,0.79,0.10,Resistência Forte,0,0
2000-04-03,5.79,6.08,6.26,6.40,6.54,6.75,7.01,7.34,7.76,0.88,0.79,0.12,Resistência Forte,0,0
2000-04-04,5.79,6.08,6.26,6.40,6.55,6.76,7.02,7.35,7.78,0.89,0.79,0.11,Resistência Forte,0,0
2000-04-05,5.79,6.08,6.26,6.40,6.55,6.76,7.02,7.35,7.78,0.85,0.79,0.15,Resistência Forte,0,0
2000-04-06,5.79,6.08,6.26,6.40,6.55,6.76,7.02,7.35,7.78,0.81,0.79,0.19,Resistência Forte,0,1
