Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2000-01-03,61.04,63.58,65.15,66.42,67.70,69.51,71.81,74.74,78.47,0.84,0.79,0.16,Resistência Forte,0,1
2000-01-04,61.04,64.83,67.17,69.06,70.95,73.65,77.08,81.44,86.99,0.63,0.62,0.16,Resistência,1,0
2000-01-05,61.04,65.37,68.05,70.21,72.37,75.46,79.38,84.37,90.71,0.88,0.79,0.12,Resistência Forte,0,0
2000-01-06,61.04,66.65,70.12,72.93,75.74,79.73,84.82,91.29,99.52,0.75,0.62,0.04,Resistência,0,1
2000-01-07,61.04,66.65,70.12,72.93,75.74,79.73,84.82,91.29,99.52,0.44,0.38,0.06,Zona de Consolidação,0,0
2000-01-10,61.04,66.65,70.12,72.93,75.74,79.73,84.82,91.29,99.52,0.40,0.38,0.10,Zona de Consolidação,1,0
2000-01-11,61.04,66.65,70.12,72.93,75.74,79.73,84.82,91.29,99.52,0.45,0.38,0.05,Zona de Consolidação,0,0
2000-01-12,60.81,66.48,69.98,72.82,75.65,79.68,84.82,91.35,99.66,0.04,0.00,0.20,Suporte Forte,0,0
2000-01-13,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.23,0.00,0.01,Suporte Forte,0,0
2000-01-14,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.19,0.00,0.05,Suporte Forte,0,0
2000-01-18,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.14,0.00,0.10,Suporte Forte,0,0
2000-01-19,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.27,0.24,0.11,Suporte,0,0
2000-01-20,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.48,0.38,0.02,Zona de Consolidação,0,0
2000-01-21,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.38,0.24,0.00,Suporte,1,0
2000-01-24,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.31,0.24,0.07,Suporte,0,0
2000-01-25,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.31,0.24,0.07,Suporte,0,0
2000-01-26,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.38,0.24,0.00,Suporte,1,0
2000-01-27,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.34,0.24,0.04,Suporte,0,0
2000-01-28,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.22,0.00,0.02,Suporte Forte,0,0
2000-01-31,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.25,0.24,0.13,Suporte,0,0
2000-02-01,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.15,0.00,0.09,Suporte Forte,0,0
2000-02-02,56.66,63.31,67.42,70.74,74.06,78.79,84.82,92.48,102.22,0.10,0.00,0.14,Suporte Forte,0,0
2000-02-03,52.40,60.05,64.78,68.61,72.44,77.88,84.82,93.64,104.86,0.02,0.00,0.22,Suporte Forte,0,0
2000-02-04,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.04,0.00,0.20,Suporte Forte,0,0
2000-02-07,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.13,0.00,0.11,Suporte Forte,0,0
2000-02-08,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.09,0.00,0.15,Suporte Forte,0,0
2000-02-09,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.36,0.24,0.02,Suporte,0,0
2000-02-10,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.50,0.50,0.12,Zona de Consolidação,0,0
2000-02-11,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.71,0.62,0.08,Resistência,0,0
2000-02-14,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.64,0.62,0.15,Resistência,0,0
2000-02-15,47.46,56.28,61.73,66.14,70.55,76.82,84.82,94.98,107.91,0.77,0.62,0.02,Resistência,0,1
2000-02-16,47.46,57.02,62.93,67.71,72.49,79.29,87.96,98.98,112.99,0.88,0.79,0.12,Resistência Forte,0,0
2000-02-17,47.46,57.02,62.93,67.71,72.49,79.29,87.96,98.98,112.99,0.71,0.62,0.08,Resistência,0,0
2000-02-18,47.46,57.02,62.93,67.71,72.49,79.29,87.96,98.98,112.99,0.66,0.62,0.13,Resistência,0,0
2000-02-22,47.46,57.02,62.93,67.71,72.49,79.29,87.96,98.98,112.99,0.78,0.62,0.01,Resistência,0,1
2000-02-23,47.46,57.02,62.93,67.71,72.49,79.29,87.96,98.98,112.99,0.86,0.79,0.14,Resistência Forte,0,0
2000-02-24,47.46,57.02,62.93,67.71,72.49,79.29,87.96,98.98,112.99,0.79,0.79,0.21,Resistência Forte,0,1
2000-02-25,47.46,57.02,62.93,67.71,72.49,79.29,87.96,98.98,112.99,0.96,0.79,0.04,Resistência Forte,0,0
2000-02-28,47.46,59.56,67.05,73.10,79.15,87.77,98.74,112.69,130.43,0.86,0.79,0.14,Resistência Forte,0,0
2000-02-29,47.46,61.68,70.48,77.58,84.69,94.82,107.71,124.10,144.94,0.95,0.79,0.05,Resistência Forte,0,0
