Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2025-03-17,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,,N/A,0.00,Neutra,1,1
2025-03-18,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,,N/A,0.00,Neutra,1,1
2025-03-19,9.95,9.96,9.96,9.96,9.97,9.97,9.98,9.99,10.00,1.00,1.00,0.27,Resistência Forte,1,1
2025-03-20,9.95,9.96,9.97,9.98,9.98,9.99,10.00,10.01,10.03,0.40,0.38,0.10,Zona de Consolidação,1,1
2025-03-21,9.95,9.96,9.97,9.98,9.98,9.99,10.00,10.01,10.03,0.60,0.50,0.02,Zona de Consolidação,1,1
2025-03-24,9.95,9.96,9.97,9.98,9.98,9.99,10.00,10.01,10.03,0.40,0.38,0.10,Zona de Consolidação,1,1
2025-03-25,9.95,9.96,9.97,9.98,9.98,9.99,10.00,10.01,10.03,0.40,0.38,0.10,Zona de Consolidação,1,1
2025-03-26,9.95,9.96,9.97,9.98,9.98,9.99,10.00,10.01,10.03,0.40,0.38,0.10,Zona de Consolidação,1,1
2025-03-27,9.95,9.96,9.97,9.98,9.98,9.99,10.00,10.01,10.03,0.80,0.79,0.20,Resistência Forte,1,1
2025-03-28,9.95,9.96,9.97,9.98,9.98,9.99,10.00,10.01,10.03,0.40,0.38,0.10,Zona de Consolidação,1,1
2025-03-31,9.95,9.96,9.97,9.98,9.99,10.00,10.01,10.03,10.05,1.00,1.00,0.27,Resistência Forte,1,1
2025-04-01,9.95,9.96,9.97,9.98,9.99,10.00,10.01,10.03,10.05,1.00,1.00,0.27,Resistência Forte,1,1
2025-04-02,9.95,9.96,9.97,9.98,9.99,10.00,10.01,10.03,10.05,1.00,1.00,0.27,Resistência Forte,1,1
2025-04-03,9.95,9.96,9.97,9.98,9.99,10.00,10.01,10.03,10.05,1.00,1.00,0.27,Resistência Forte,1,1
