Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,24.38,24.42,24.45,24.47,24.49,24.52,24.56,24.61,24.67,0.00,0.00,0.24,Suporte Forte,1,1
2016-01-05,24.04,24.16,24.24,24.30,24.36,24.45,24.56,24.70,24.88,0.75,0.62,0.04,Resistência,1,1
2016-01-06,24.04,24.16,24.24,24.30,24.36,24.45,24.56,24.70,24.88,0.75,0.62,0.04,Resistência,1,1
2016-01-07,23.64,23.86,23.99,24.10,24.21,24.36,24.56,24.81,25.13,0.00,0.00,0.24,Suporte Forte,0,0
2016-01-08,23.64,23.86,23.99,24.10,24.21,24.36,24.56,24.81,25.13,0.00,0.00,0.24,Suporte Forte,0,0
2016-01-11,23.45,23.71,23.87,24.00,24.14,24.32,24.56,24.86,25.25,0.05,0.00,0.19,Suporte Forte,0,0
2016-01-12,23.45,23.71,23.87,24.00,24.14,24.32,24.56,24.86,25.25,0.26,0.24,0.12,Suporte,1,0
2016-01-13,23.40,23.67,23.84,23.98,24.12,24.31,24.56,24.88,25.28,0.00,0.00,0.24,Suporte Forte,0,0
2016-01-14,23.40,23.67,23.84,23.98,24.12,24.31,24.56,24.88,25.28,0.00,0.00,0.24,Suporte Forte,0,0
2016-01-15,22.53,23.01,23.31,23.54,23.78,24.13,24.56,25.11,25.81,0.00,0.00,0.24,Suporte Forte,0,0
2016-01-19,22.53,23.01,23.31,23.54,23.78,24.13,24.56,25.11,25.81,0.16,0.00,0.08,Suporte Forte,0,0
2016-01-20,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.08,0.00,0.16,Suporte Forte,0,0
2016-01-21,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.18,0.00,0.06,Suporte Forte,0,0
2016-01-22,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.18,0.00,0.06,Suporte Forte,0,0
2016-01-25,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.18,0.00,0.06,Suporte Forte,0,0
2016-01-26,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.52,0.50,0.10,Zona de Consolidação,0,0
2016-01-27,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.42,0.38,0.08,Zona de Consolidação,1,0
2016-01-28,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.42,0.38,0.08,Zona de Consolidação,1,0
2016-01-29,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.56,0.50,0.06,Zona de Consolidação,1,0
2016-02-01,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.63,0.62,0.16,Resistência,1,0
2016-02-02,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.51,0.50,0.11,Zona de Consolidação,0,0
2016-02-03,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.51,0.50,0.11,Zona de Consolidação,0,0
2016-02-04,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.49,0.38,0.01,Zona de Consolidação,0,0
2016-02-05,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.36,0.24,0.02,Suporte,1,0
2016-02-08,22.05,22.64,23.01,23.30,23.60,24.02,24.56,25.24,26.11,0.36,0.24,0.02,Suporte,1,0
2016-02-09,22.03,22.63,23.00,23.30,23.59,24.02,24.56,25.25,26.12,0.05,0.00,0.19,Suporte Forte,0,0
2016-02-10,22.03,22.63,23.00,23.30,23.59,24.02,24.56,25.25,26.12,0.09,0.00,0.15,Suporte Forte,0,0
2016-02-11,22.03,22.63,23.00,23.30,23.59,24.02,24.56,25.25,26.12,0.09,0.00,0.15,Suporte Forte,0,0
2016-02-12,22.03,22.63,23.00,23.30,23.59,24.02,24.56,25.25,26.12,0.01,0.00,0.23,Suporte Forte,0,0
2016-02-16,22.03,22.63,23.00,23.30,23.59,24.02,24.56,25.25,26.12,0.01,0.00,0.23,Suporte Forte,0,0
