Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2022-04-21,23.51,23.75,23.89,24.01,24.13,24.30,24.51,24.78,25.13,0.10,0.00,0.14,Suporte Forte,0,0
2022-04-22,23.24,23.54,23.73,23.88,24.02,24.24,24.51,24.86,25.29,0.11,0.00,0.13,Suporte Forte,0,0
2022-04-25,23.08,23.42,23.63,23.80,23.96,24.20,24.51,24.90,25.39,0.27,0.24,0.11,Suporte,1,0
2022-04-26,22.64,23.08,23.35,23.58,23.80,24.11,24.51,25.02,25.67,0.00,0.00,0.24,Suporte Forte,0,0
2022-04-27,22.33,22.84,23.16,23.42,23.68,24.04,24.51,25.10,25.86,0.07,0.00,0.17,Suporte Forte,0,0
2022-04-28,22.33,22.84,23.16,23.42,23.68,24.04,24.51,25.10,25.86,0.36,0.24,0.02,Suporte,1,0
2022-04-29,22.33,22.84,23.16,23.42,23.68,24.04,24.51,25.10,25.86,0.33,0.24,0.05,Suporte,1,0
2022-05-02,22.33,22.84,23.16,23.42,23.68,24.04,24.51,25.10,25.86,0.48,0.38,0.02,Zona de Consolidação,1,0
2022-05-03,22.33,22.84,23.16,23.42,23.68,24.04,24.51,25.10,25.86,0.48,0.38,0.02,Zona de Consolidação,1,0
2022-05-04,22.33,22.84,23.16,23.42,23.68,24.04,24.51,25.10,25.86,0.82,0.79,0.18,Resistência Forte,0,1
2022-05-05,22.33,22.84,23.16,23.42,23.68,24.04,24.51,25.10,25.86,0.33,0.24,0.05,Suporte,1,0
2022-05-06,22.28,22.81,23.13,23.40,23.66,24.03,24.51,25.12,25.89,0.05,0.00,0.19,Suporte Forte,0,0
2022-05-09,21.34,22.09,22.55,22.92,23.30,23.83,24.51,25.37,26.47,0.01,0.00,0.23,Suporte Forte,0,0
2022-05-10,21.33,22.08,22.54,22.92,23.30,23.83,24.51,25.37,26.48,0.07,0.00,0.17,Suporte Forte,0,0
2022-05-11,21.10,21.90,22.40,22.80,23.21,23.78,24.51,25.44,26.62,0.00,0.00,0.24,Suporte Forte,0,0
2022-05-12,20.82,21.69,22.23,22.66,23.10,23.72,24.51,25.51,26.79,0.11,0.00,0.13,Suporte Forte,0,0
2022-05-13,20.82,21.69,22.23,22.66,23.10,23.72,24.51,25.51,26.79,0.36,0.24,0.02,Suporte,1,0
