Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2021-10-05,6.17,6.28,6.35,6.40,6.45,6.53,6.63,6.76,6.91,1.00,1.00,0.27,Resistência Forte,0,1
2021-10-06,6.17,6.28,6.35,6.40,6.45,6.53,6.63,6.76,6.91,1.00,1.00,0.27,Resistência Forte,0,1
2021-10-07,5.91,6.08,6.19,6.27,6.35,6.48,6.63,6.83,7.07,0.15,0.00,0.09,Suporte Forte,0,0
2021-10-08,5.28,5.60,5.80,5.96,6.11,6.34,6.63,7.00,7.46,0.01,0.00,0.23,Suporte Forte,0,0
2021-10-11,5.28,5.60,5.80,5.96,6.11,6.34,6.63,7.00,7.46,0.17,0.00,0.07,Suporte Forte,0,0
2021-10-12,5.28,5.60,5.80,5.96,6.11,6.34,6.63,7.00,7.46,0.67,0.62,0.12,Resistência,0,0
2021-10-13,5.28,5.86,6.21,6.50,6.79,7.20,7.72,8.38,9.23,0.36,0.24,0.02,Suporte,1,0
2021-10-14,5.28,5.86,6.21,6.50,6.79,7.20,7.72,8.38,9.23,0.39,0.38,0.11,Zona de Consolidação,1,0
2021-10-15,5.28,5.86,6.21,6.50,6.79,7.20,7.72,8.38,9.23,0.41,0.38,0.09,Zona de Consolidação,0,0
2021-10-18,5.28,5.86,6.21,6.50,6.79,7.20,7.72,8.38,9.23,0.27,0.24,0.11,Suporte,0,0
2021-10-19,5.28,5.86,6.21,6.50,6.79,7.20,7.72,8.38,9.23,0.17,0.00,0.07,Suporte Forte,0,0
2021-10-20,5.28,5.86,6.21,6.50,6.79,7.20,7.72,8.38,9.23,0.11,0.00,0.13,Suporte Forte,0,0
2021-10-21,5.28,5.86,6.21,6.50,6.79,7.20,7.72,8.38,9.23,0.05,0.00,0.19,Suporte Forte,0,0
2021-10-22,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.09,0.00,0.15,Suporte Forte,0,0
2021-10-25,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.32,0.24,0.06,Suporte,0,0
2021-10-26,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.23,0.00,0.01,Suporte Forte,0,0
2021-10-27,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.18,0.00,0.06,Suporte Forte,0,0
2021-10-28,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.15,0.00,0.09,Suporte Forte,0,0
2021-10-29,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.11,0.00,0.13,Suporte Forte,0,0
2021-11-01,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.19,0.00,0.05,Suporte Forte,0,0
2021-11-02,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.11,0.00,0.13,Suporte Forte,0,0
2021-11-03,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.14,0.00,0.10,Suporte Forte,0,0
2021-11-04,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.10,0.00,0.14,Suporte Forte,0,0
2021-11-05,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.07,0.00,0.17,Suporte Forte,0,0
2021-11-08,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.06,0.00,0.18,Suporte Forte,0,0
2021-11-09,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.20,0.00,0.04,Suporte Forte,0,0
2021-11-10,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.14,0.00,0.10,Suporte Forte,0,0
2021-11-11,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.06,0.00,0.18,Suporte Forte,0,0
2021-11-12,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.07,0.00,0.17,Suporte Forte,0,0
2021-11-15,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.07,0.00,0.17,Suporte Forte,0,0
2021-11-16,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.07,0.00,0.17,Suporte Forte,0,0
2021-11-17,5.04,5.67,6.06,6.38,6.70,7.15,7.72,8.45,9.38,0.06,0.00,0.18,Suporte Forte,0,0
2021-11-18,4.97,5.62,6.02,6.34,6.67,7.13,7.72,8.47,9.42,0.01,0.00,0.23,Suporte Forte,0,0
2021-11-19,4.89,5.56,5.97,6.30,6.64,7.11,7.72,8.49,9.47,0.03,0.00,0.21,Suporte Forte,0,0
2021-11-22,4.70,5.41,5.85,6.21,6.57,7.07,7.72,8.54,9.59,0.00,0.00,0.24,Suporte Forte,0,0
2021-11-23,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.00,0.00,0.24,Suporte Forte,0,0
2021-11-24,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.03,0.00,0.21,Suporte Forte,0,0
2021-11-26,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.12,0.00,0.12,Suporte Forte,0,0
2021-11-29,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.12,0.00,0.12,Suporte Forte,0,0
2021-11-30,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.06,0.00,0.18,Suporte Forte,0,0
2021-12-01,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.05,0.00,0.19,Suporte Forte,0,0
2021-12-02,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.12,0.00,0.12,Suporte Forte,0,0
2021-12-03,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.13,0.00,0.11,Suporte Forte,0,0
2021-12-06,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.13,0.00,0.11,Suporte Forte,0,0
2021-12-07,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.11,0.00,0.13,Suporte Forte,0,0
2021-12-08,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.08,0.00,0.16,Suporte Forte,0,0
2021-12-09,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.13,0.00,0.11,Suporte Forte,0,0
2021-12-10,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.09,0.00,0.15,Suporte Forte,0,0
2021-12-13,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.14,0.00,0.10,Suporte Forte,0,0
2021-12-14,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.14,0.00,0.10,Suporte Forte,0,0
2021-12-15,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.09,0.00,0.15,Suporte Forte,0,0
2021-12-16,4.67,5.39,5.84,6.20,6.55,7.07,7.72,8.55,9.60,0.02,0.00,0.22,Suporte Forte,0,0
2021-12-17,4.61,5.34,5.80,6.16,6.53,7.05,7.72,8.57,9.64,0.00,0.00,0.24,Suporte Forte,0,0
2021-12-20,4.49,5.25,5.72,6.10,6.49,7.03,7.72,8.60,9.72,0.00,0.00,0.24,Suporte Forte,0,0
2021-12-21,4.46,5.23,5.71,6.09,6.47,7.02,7.72,8.61,9.73,0.05,0.00,0.19,Suporte Forte,0,0
