Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2024-05-09,10.06,10.07,10.07,10.07,10.08,10.08,10.09,10.10,10.11,1.00,1.00,0.27,Resistência Forte,1,1
2024-05-10,10.06,10.07,10.07,10.07,10.08,10.08,10.09,10.10,10.11,0.33,0.24,0.05,Suporte,1,1
2024-05-13,10.06,10.07,10.07,10.07,10.08,10.08,10.09,10.10,10.11,0.33,0.24,0.05,Suporte,1,1
2024-05-14,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.00,0.00,0.24,Suporte Forte,1,1
2024-05-15,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.50,0.50,0.12,Zona de Consolidação,1,1
2024-05-16,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.50,0.50,0.12,Zona de Consolidação,1,1
2024-05-17,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.50,0.50,0.12,Zona de Consolidação,1,1
2024-05-20,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.50,0.50,0.12,Zona de Consolidação,1,1
2024-05-21,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.50,0.50,0.12,Zona de Consolidação,1,1
2024-05-22,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.50,0.50,0.12,Zona de Consolidação,1,1
2024-05-23,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-05-24,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-05-28,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-05-29,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-05-30,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-05-31,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.50,0.50,0.12,Zona de Consolidação,1,1
2024-06-03,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-06-04,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-06-05,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-06-06,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-06-07,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-06-10,10.05,10.06,10.07,10.07,10.07,10.08,10.09,10.10,10.11,0.75,0.62,0.04,Resistência,1,1
2024-06-11,10.04,10.05,10.06,10.06,10.07,10.08,10.09,10.10,10.12,0.20,0.00,0.04,Suporte Forte,1,1
2024-06-12,10.04,10.05,10.06,10.06,10.07,10.08,10.09,10.10,10.12,0.40,0.38,0.10,Zona de Consolidação,1,1
2024-06-13,10.04,10.05,10.06,10.06,10.07,10.08,10.09,10.10,10.12,0.20,0.00,0.04,Suporte Forte,1,1
2024-06-14,10.04,10.05,10.06,10.06,10.07,10.08,10.09,10.10,10.12,0.00,0.00,0.24,Suporte Forte,1,1
2024-06-17,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-06-18,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-06-20,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.29,0.24,0.09,Suporte,1,1
2024-06-21,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.29,0.24,0.09,Suporte,1,1
2024-06-24,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.29,0.24,0.09,Suporte,1,1
2024-06-25,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-06-26,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.00,0.00,0.24,Suporte Forte,1,1
2024-06-27,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.00,0.00,0.24,Suporte Forte,1,1
2024-06-28,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.14,0.00,0.10,Suporte Forte,1,1
2024-07-01,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-07-02,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-07-03,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.57,0.50,0.05,Zona de Consolidação,1,1
2024-07-05,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.86,0.79,0.14,Resistência Forte,1,1
2024-07-08,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.86,0.79,0.14,Resistência Forte,1,1
2024-07-09,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.86,0.79,0.14,Resistência Forte,1,1
2024-07-10,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.86,0.79,0.14,Resistência Forte,1,1
2024-07-11,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.86,0.79,0.14,Resistência Forte,1,1
2024-07-12,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.57,0.50,0.05,Zona de Consolidação,1,1
2024-07-15,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-07-16,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-07-17,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-07-18,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.57,0.50,0.05,Zona de Consolidação,1,1
2024-07-19,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
2024-07-22,10.02,10.04,10.05,10.06,10.06,10.08,10.09,10.11,10.13,0.43,0.38,0.07,Zona de Consolidação,1,1
