Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-04-28,4.77,5.11,5.32,5.49,5.67,5.91,6.22,6.61,7.12,0.01,0.00,0.23,Suporte Forte,0,0
2016-04-29,4.77,5.11,5.32,5.49,5.67,5.91,6.22,6.61,7.12,0.08,0.00,0.16,Suporte Forte,0,0
2016-05-02,4.77,5.11,5.32,5.49,5.67,5.91,6.22,6.61,7.12,0.07,0.00,0.17,Suporte Forte,0,0
2016-05-03,4.77,5.11,5.32,5.49,5.67,5.91,6.22,6.61,7.12,0.08,0.00,0.16,Suporte Forte,0,0
2016-05-04,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.14,0.00,0.10,Suporte Forte,0,0
2016-05-05,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.40,0.38,0.10,Zona de Consolidação,1,0
2016-05-06,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.42,0.38,0.08,Zona de Consolidação,0,0
2016-05-09,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.51,0.50,0.11,Zona de Consolidação,0,0
2016-05-10,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.46,0.38,0.04,Zona de Consolidação,0,0
2016-05-11,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.43,0.38,0.07,Zona de Consolidação,0,0
2016-05-12,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.47,0.38,0.03,Zona de Consolidação,0,0
2016-05-13,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.47,0.38,0.03,Zona de Consolidação,0,0
2016-05-16,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.60,0.50,0.02,Zona de Consolidação,1,0
2016-05-17,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.55,0.50,0.07,Zona de Consolidação,0,0
2016-05-18,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.68,0.62,0.11,Resistência,0,0
2016-05-19,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.51,0.50,0.11,Zona de Consolidação,0,0
2016-05-20,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.68,0.62,0.11,Resistência,0,0
2016-05-23,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.64,0.62,0.15,Resistência,1,0
2016-05-24,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.66,0.62,0.13,Resistência,0,0
2016-05-25,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.57,0.50,0.05,Zona de Consolidação,0,0
2016-05-26,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.65,0.62,0.14,Resistência,1,0
2016-05-27,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.55,0.50,0.07,Zona de Consolidação,0,0
2016-05-31,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.60,0.50,0.02,Zona de Consolidação,1,0
2016-06-01,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.46,0.38,0.04,Zona de Consolidação,0,0
2016-06-02,4.76,5.10,5.32,5.49,5.66,5.91,6.22,6.62,7.12,0.49,0.38,0.01,Zona de Consolidação,0,0
