Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2020-12-23,20664.00,23852.83,25825.58,27420.00,29014.42,31284.43,34176.00,37851.26,42526.42,0.43,0.38,0.07,Zona de Consolidação,0,0
2020-12-24,20664.00,23852.83,25825.58,27420.00,29014.42,31284.43,34176.00,37851.26,42526.42,0.34,0.24,0.04,Suporte,0,0
2020-12-28,20664.00,23852.83,25825.58,27420.00,29014.42,31284.43,34176.00,37851.26,42526.42,0.17,0.00,0.07,Suporte Forte,0,0
2020-12-29,20040.00,23376.10,25439.95,27108.00,28776.05,31150.90,34176.00,38020.99,42912.05,0.04,0.00,0.20,Suporte Forte,0,0
2020-12-30,18264.00,22019.23,24342.38,26220.00,28097.62,30770.83,34176.00,38504.06,44009.62,0.01,0.00,0.23,Suporte Forte,0,0
2020-12-31,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.05,0.00,0.19,Suporte Forte,0,0
2021-01-04,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.07,0.00,0.17,Suporte Forte,0,0
2021-01-05,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.13,0.00,0.11,Suporte Forte,0,0
2021-01-06,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.09,0.00,0.15,Suporte Forte,0,0
2021-01-07,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.07,0.00,0.17,Suporte Forte,0,0
2021-01-08,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.06,0.00,0.18,Suporte Forte,0,0
2021-01-11,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.08,0.00,0.16,Suporte Forte,0,0
2021-01-12,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.12,0.00,0.12,Suporte Forte,0,0
2021-01-13,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.10,0.00,0.14,Suporte Forte,0,0
2021-01-14,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.13,0.00,0.11,Suporte Forte,0,0
2021-01-15,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.17,0.00,0.07,Suporte Forte,0,0
2021-01-19,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.14,0.00,0.10,Suporte Forte,0,0
2021-01-20,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.09,0.00,0.15,Suporte Forte,0,0
2021-01-21,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.12,0.00,0.12,Suporte Forte,0,0
2021-01-22,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.12,0.00,0.12,Suporte Forte,0,0
2021-01-25,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.12,0.00,0.12,Suporte Forte,0,0
2021-01-26,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.13,0.00,0.11,Suporte Forte,0,0
2021-01-27,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.09,0.00,0.15,Suporte Forte,0,0
2021-01-28,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.05,0.00,0.19,Suporte Forte,0,0
2021-01-29,16872.00,20955.74,23482.13,25524.00,27565.87,30472.94,34176.00,38882.69,44869.87,0.07,0.00,0.17,Suporte Forte,0,0
