Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,18.08,18.22,18.30,18.37,18.44,18.54,18.66,18.82,19.02,0.40,0.38,0.10,Zona de Consolidação,1,0
2016-01-05,18.08,18.22,18.30,18.37,18.44,18.54,18.66,18.82,19.02,0.43,0.38,0.07,Zona de Consolidação,1,0
2016-01-06,17.86,18.05,18.17,18.26,18.35,18.49,18.66,18.88,19.15,0.13,0.00,0.11,Suporte Forte,0,0
2016-01-07,17.61,17.86,18.01,18.13,18.26,18.44,18.66,18.95,19.31,0.06,0.00,0.18,Suporte Forte,0,0
2016-01-08,17.41,17.71,17.89,18.04,18.18,18.39,18.66,19.00,19.43,0.00,0.00,0.24,Suporte Forte,0,0
2016-01-11,17.36,17.67,17.86,18.01,18.16,18.38,18.66,19.01,19.46,0.06,0.00,0.18,Suporte Forte,0,0
2016-01-12,17.33,17.64,17.84,17.99,18.15,18.38,18.66,19.02,19.48,0.10,0.00,0.14,Suporte Forte,0,0
2016-01-13,17.12,17.48,17.71,17.89,18.07,18.33,18.66,19.08,19.61,0.02,0.00,0.22,Suporte Forte,0,0
2016-01-14,17.11,17.48,17.70,17.88,18.07,18.33,18.66,19.08,19.62,0.19,0.00,0.05,Suporte Forte,0,0
2016-01-15,16.78,17.22,17.50,17.72,17.94,18.26,18.66,19.17,19.82,0.03,0.00,0.21,Suporte Forte,0,0
2016-01-19,16.78,17.22,17.50,17.72,17.94,18.26,18.66,19.17,19.82,0.07,0.00,0.17,Suporte Forte,0,0
2016-01-20,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.16,0.00,0.08,Suporte Forte,0,0
2016-01-21,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.15,0.00,0.09,Suporte Forte,0,0
2016-01-22,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.37,0.24,0.01,Suporte,1,0
2016-01-25,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.26,0.24,0.12,Suporte,0,0
2016-01-26,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.34,0.24,0.04,Suporte,1,0
2016-01-27,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.40,0.38,0.10,Zona de Consolidação,1,0
2016-01-28,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.45,0.38,0.05,Zona de Consolidação,0,0
2016-01-29,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.59,0.50,0.03,Zona de Consolidação,1,0
2016-02-01,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.65,0.62,0.14,Resistência,1,0
2016-02-02,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.48,0.38,0.02,Zona de Consolidação,0,0
2016-02-03,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.63,0.62,0.16,Resistência,1,0
2016-02-04,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.63,0.62,0.16,Resistência,1,0
2016-02-05,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.57,0.50,0.05,Zona de Consolidação,1,0
2016-02-08,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.44,0.38,0.06,Zona de Consolidação,1,0
2016-02-09,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.42,0.38,0.08,Zona de Consolidação,1,0
2016-02-10,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.42,0.38,0.08,Zona de Consolidação,1,0
2016-02-11,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.35,0.24,0.03,Suporte,1,0
2016-02-12,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.43,0.38,0.07,Zona de Consolidação,1,0
2016-02-16,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.48,0.38,0.02,Zona de Consolidação,0,0
2016-02-17,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.62,0.62,0.17,Resistência,1,0
2016-02-18,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.63,0.62,0.16,Resistência,1,0
2016-02-19,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.59,0.50,0.03,Zona de Consolidação,1,0
2016-02-22,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.67,0.62,0.12,Resistência,1,0
2016-02-23,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.61,0.50,0.01,Zona de Consolidação,1,0
2016-02-24,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.63,0.62,0.16,Resistência,1,0
2016-02-25,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.70,0.62,0.09,Resistência,0,0
2016-02-26,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.71,0.62,0.08,Resistência,0,0
2016-02-29,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.71,0.62,0.08,Resistência,0,0
2016-03-01,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.91,0.79,0.09,Resistência Forte,0,0
2016-03-02,16.22,16.80,17.15,17.44,17.73,18.14,18.66,19.32,20.17,0.90,0.79,0.10,Resistência Forte,0,0
