Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,8.60,8.80,8.92,9.02,9.13,9.27,9.45,9.68,9.98,0.24,0.24,0.14,Suporte,0,0
2016-01-05,8.60,8.80,8.92,9.02,9.13,9.27,9.45,9.68,9.98,0.85,0.79,0.15,Resistência Forte,0,1
2016-01-06,8.60,8.80,8.92,9.02,9.13,9.27,9.45,9.68,9.98,0.95,0.79,0.05,Resistência Forte,0,1
2016-01-07,8.60,8.81,8.94,9.04,9.14,9.29,9.48,9.72,10.02,0.93,0.79,0.07,Resistência Forte,0,1
2016-01-08,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.31,0.24,0.07,Suporte,1,0
2016-01-11,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.56,0.50,0.06,Zona de Consolidação,1,0
2016-01-12,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.50,0.50,0.12,Zona de Consolidação,0,0
2016-01-13,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.45,0.38,0.05,Zona de Consolidação,1,0
2016-01-14,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.62,0.62,0.17,Resistência,1,0
2016-01-15,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.75,0.62,0.04,Resistência,0,1
2016-01-19,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.44,0.38,0.06,Zona de Consolidação,1,0
2016-01-20,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.41,0.38,0.09,Zona de Consolidação,1,0
2016-01-21,8.60,8.85,9.00,9.13,9.26,9.43,9.66,9.95,10.32,0.42,0.38,0.08,Zona de Consolidação,1,0
2016-01-22,7.50,8.01,8.33,8.58,8.83,9.20,9.66,10.25,10.99,0.71,0.62,0.08,Resistência,0,0
2016-01-25,7.50,8.01,8.33,8.58,8.83,9.20,9.66,10.25,10.99,0.69,0.62,0.10,Resistência,0,0
2016-01-26,7.50,8.01,8.33,8.58,8.83,9.20,9.66,10.25,10.99,0.69,0.62,0.10,Resistência,0,0
2016-01-27,7.50,8.01,8.33,8.58,8.83,9.20,9.66,10.25,10.99,0.70,0.62,0.09,Resistência,0,0
2016-01-28,7.50,8.01,8.33,8.58,8.83,9.20,9.66,10.25,10.99,0.92,0.79,0.08,Resistência Forte,0,0
2016-01-29,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.96,0.79,0.04,Resistência Forte,0,0
2016-02-01,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.96,0.79,0.04,Resistência Forte,0,0
2016-02-02,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.87,0.79,0.13,Resistência Forte,0,0
2016-02-03,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.80,0.79,0.20,Resistência Forte,0,1
2016-02-04,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.83,0.79,0.17,Resistência Forte,0,0
2016-02-05,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.74,0.62,0.05,Resistência,0,0
2016-02-08,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.68,0.62,0.11,Resistência,0,0
2016-02-09,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.66,0.62,0.13,Resistência,0,0
2016-02-10,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.69,0.62,0.10,Resistência,0,0
2016-02-11,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.69,0.62,0.10,Resistência,0,0
2016-02-12,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.78,0.62,0.01,Resistência,0,1
2016-02-16,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.81,0.79,0.19,Resistência Forte,0,1
2016-02-17,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.79,0.79,0.21,Resistência Forte,0,1
2016-02-18,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.84,0.79,0.16,Resistência Forte,0,0
2016-02-19,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.87,0.79,0.13,Resistência Forte,0,0
2016-02-22,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.88,0.79,0.12,Resistência Forte,0,0
2016-02-23,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.85,0.79,0.15,Resistência Forte,0,0
2016-02-24,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.95,0.79,0.05,Resistência Forte,0,0
2016-02-25,7.50,8.03,8.35,8.62,8.88,9.25,9.73,10.34,11.11,0.99,0.79,0.01,Resistência Forte,0,1
2016-02-26,7.50,8.13,8.52,8.84,9.16,9.61,10.18,10.91,11.84,0.96,0.79,0.04,Resistência Forte,0,0
2016-02-29,7.50,8.16,8.56,8.89,9.22,9.69,10.28,11.04,12.00,0.97,0.79,0.03,Resistência Forte,0,1
2016-03-01,7.50,8.18,8.60,8.94,9.28,9.76,10.38,11.16,12.16,0.98,0.79,0.02,Resistência Forte,0,1
2016-03-02,7.50,8.18,8.60,8.94,9.28,9.76,10.38,11.16,12.16,0.93,0.79,0.07,Resistência Forte,0,0
2016-03-03,7.50,8.18,8.60,8.94,9.28,9.76,10.38,11.16,12.16,0.91,0.79,0.09,Resistência Forte,0,0
2016-03-04,7.50,8.21,8.65,9.00,9.36,9.87,10.51,11.33,12.37,0.98,0.79,0.02,Resistência Forte,0,1
2016-03-07,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.97,0.79,0.03,Resistência Forte,0,1
2016-03-08,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.93,0.79,0.07,Resistência Forte,0,0
2016-03-09,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.92,0.79,0.08,Resistência Forte,0,0
2016-03-10,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.88,0.79,0.12,Resistência Forte,0,0
2016-03-11,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.90,0.79,0.10,Resistência Forte,0,0
2016-03-14,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.89,0.79,0.11,Resistência Forte,0,0
2016-03-15,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.90,0.79,0.10,Resistência Forte,0,0
2016-03-16,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.91,0.79,0.09,Resistência Forte,0,0
2016-03-17,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.90,0.79,0.10,Resistência Forte,0,0
2016-03-18,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.87,0.79,0.13,Resistência Forte,0,0
2016-03-21,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.87,0.79,0.13,Resistência Forte,0,0
2016-03-22,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.86,0.79,0.14,Resistência Forte,0,0
2016-03-23,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.76,0.62,0.03,Resistência,0,1
2016-03-24,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.82,0.79,0.18,Resistência Forte,0,0
2016-03-28,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.83,0.79,0.17,Resistência Forte,0,0
2016-03-29,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.86,0.79,0.14,Resistência Forte,0,0
2016-03-30,7.50,8.28,8.76,9.15,9.54,10.09,10.80,11.70,12.84,0.85,0.79,0.15,Resistência Forte,0,0
