Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2025-09-11,16.50,17.39,17.93,18.38,18.82,19.45,20.25,21.27,22.57,0.21,0.00,0.03,Suporte Forte,0,0
2025-09-12,15.79,16.84,17.49,18.02,18.55,19.30,20.25,21.46,23.01,0.23,0.00,0.01,Suporte Forte,0,0
2025-09-15,15.79,16.84,17.49,18.02,18.55,19.30,20.25,21.46,23.01,0.21,0.00,0.03,Suporte Forte,0,0
2025-09-16,15.34,16.50,17.22,17.80,18.37,19.20,20.25,21.59,23.28,0.09,0.00,0.15,Suporte Forte,0,0
2025-09-17,15.05,16.28,17.04,17.65,18.26,19.14,20.25,21.66,23.46,0.24,0.24,0.14,Suporte,0,0
2025-09-18,15.05,16.28,17.04,17.65,18.26,19.14,20.25,21.66,23.46,0.19,0.00,0.05,Suporte Forte,0,0
2025-09-19,14.97,16.22,16.99,17.61,18.23,19.12,20.25,21.69,23.51,0.17,0.00,0.07,Suporte Forte,0,0
2025-09-22,14.97,16.22,16.99,17.61,18.23,19.12,20.25,21.69,23.51,0.20,0.00,0.04,Suporte Forte,0,0
2025-09-23,14.30,15.70,16.57,17.27,17.98,18.98,20.25,21.87,23.93,0.10,0.00,0.14,Suporte Forte,0,0
2025-09-24,14.30,15.70,16.57,17.27,17.98,18.98,20.25,21.87,23.93,0.12,0.00,0.12,Suporte Forte,0,0
2025-09-25,14.30,15.70,16.57,17.27,17.98,18.98,20.25,21.87,23.93,0.11,0.00,0.13,Suporte Forte,0,0
2025-09-26,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.30,0.24,0.08,Suporte,0,0
2025-09-29,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.27,0.24,0.11,Suporte,0,0
2025-09-30,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.35,0.24,0.03,Suporte,0,0
2025-10-01,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.35,0.24,0.03,Suporte,0,0
2025-10-02,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.30,0.24,0.08,Suporte,0,0
2025-10-03,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.25,0.24,0.13,Suporte,0,0
2025-10-06,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.26,0.24,0.12,Suporte,0,0
2025-10-07,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.38,0.24,0.00,Suporte,1,0
2025-10-08,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.24,0.24,0.14,Suporte,0,0
2025-10-09,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.33,0.24,0.05,Suporte,0,0
2025-10-10,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.30,0.24,0.08,Suporte,0,0
2025-10-13,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.39,0.38,0.11,Zona de Consolidação,1,0
2025-10-14,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.33,0.24,0.05,Suporte,0,0
2025-10-15,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.46,0.38,0.04,Zona de Consolidação,0,0
2025-10-16,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.44,0.38,0.06,Zona de Consolidação,0,0
2025-10-17,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.33,0.24,0.05,Suporte,0,0
2025-10-20,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.38,0.24,0.00,Suporte,1,0
2025-10-21,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.38,0.24,0.00,Suporte,1,0
2025-10-22,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.34,0.24,0.04,Suporte,0,0
2025-10-23,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.36,0.24,0.02,Suporte,1,0
2025-10-24,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.38,0.24,0.00,Suporte,1,0
2025-10-27,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.48,0.38,0.02,Zona de Consolidação,0,0
2025-10-28,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.47,0.38,0.03,Zona de Consolidação,0,0
2025-10-29,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.33,0.24,0.05,Suporte,0,0
2025-10-30,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.42,0.38,0.08,Zona de Consolidação,0,0
2025-10-31,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.40,0.38,0.10,Zona de Consolidação,1,0
2025-11-03,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.41,0.38,0.09,Zona de Consolidação,0,0
2025-11-04,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.46,0.38,0.04,Zona de Consolidação,0,0
2025-11-05,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.41,0.38,0.09,Zona de Consolidação,0,0
2025-11-06,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.31,0.24,0.07,Suporte,0,0
2025-11-07,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.29,0.24,0.09,Suporte,0,0
2025-11-10,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.18,0.00,0.06,Suporte Forte,0,0
2025-11-11,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.38,0.24,0.00,Suporte,1,0
2025-11-12,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.25,0.24,0.13,Suporte,0,0
2025-11-13,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.22,0.00,0.02,Suporte Forte,0,0
2025-11-14,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.22,0.00,0.02,Suporte Forte,0,0
2025-11-17,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.54,0.50,0.08,Zona de Consolidação,0,0
2025-11-18,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.37,0.24,0.01,Suporte,1,0
2025-11-19,13.36,14.99,15.99,16.80,17.62,18.78,20.25,22.12,24.51,0.37,0.24,0.01,Suporte,1,0
2025-11-20,13.36,14.52,15.24,15.82,16.41,17.23,18.29,19.63,21.34,0.49,0.38,0.01,Zona de Consolidação,0,0
2025-11-21,13.36,14.52,15.24,15.82,16.41,17.23,18.29,19.63,21.34,0.40,0.38,0.10,Zona de Consolidação,1,0
2025-11-24,13.36,14.52,15.24,15.82,16.41,17.23,18.29,19.63,21.34,0.56,0.50,0.06,Zona de Consolidação,0,0
2025-11-25,13.36,14.52,15.24,15.82,16.41,17.23,18.29,19.63,21.34,0.58,0.50,0.04,Zona de Consolidação,0,0
2025-11-26,13.36,14.52,15.24,15.82,16.41,17.23,18.29,19.63,21.34,0.64,0.62,0.15,Resistência,1,0
