Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2025-01-31,15.25,15.66,15.92,16.12,16.33,16.63,17.00,17.48,18.08,0.40,0.38,0.10,Zona de Consolidação,1,0
2025-02-03,14.15,14.82,15.24,15.58,15.91,16.39,17.00,17.78,18.76,0.30,0.24,0.08,Suporte,0,0
2025-02-04,13.01,13.95,14.53,15.00,15.48,16.15,17.00,18.09,19.47,0.06,0.00,0.18,Suporte Forte,0,0
2025-02-05,11.86,13.07,13.82,14.43,15.04,15.90,17.00,18.40,20.18,0.19,0.00,0.05,Suporte Forte,0,0
2025-02-06,11.34,12.68,13.50,14.17,14.84,15.79,17.00,18.54,20.50,0.29,0.24,0.09,Suporte,0,0
2025-02-07,11.34,12.68,13.50,14.17,14.84,15.79,17.00,18.54,20.50,0.36,0.24,0.02,Suporte,1,0
2025-02-10,11.34,12.68,13.50,14.17,14.84,15.79,17.00,18.54,20.50,0.29,0.24,0.09,Suporte,0,0
2025-02-11,11.34,12.68,13.50,14.17,14.84,15.79,17.00,18.54,20.50,0.20,0.00,0.04,Suporte Forte,0,0
2025-02-12,11.34,12.68,13.50,14.17,14.84,15.79,17.00,18.54,20.50,0.11,0.00,0.13,Suporte Forte,0,0
2025-02-13,10.92,12.35,13.24,13.96,14.68,15.70,17.00,18.65,20.76,0.07,0.00,0.17,Suporte Forte,0,0
2025-02-14,10.92,12.35,13.24,13.96,14.68,15.70,17.00,18.65,20.76,0.18,0.00,0.06,Suporte Forte,0,0
2025-02-18,10.80,12.26,13.17,13.90,14.63,15.67,17.00,18.69,20.83,0.32,0.24,0.06,Suporte,0,0
2025-02-19,10.80,12.26,13.17,13.90,14.63,15.67,17.00,18.69,20.83,0.28,0.24,0.10,Suporte,0,0
2025-02-20,10.80,12.26,13.17,13.90,14.63,15.67,17.00,18.69,20.83,0.22,0.00,0.02,Suporte Forte,0,0
2025-02-21,10.80,12.26,13.17,13.90,14.63,15.67,17.00,18.69,20.83,0.21,0.00,0.03,Suporte Forte,0,0
2025-02-24,10.66,12.16,13.08,13.83,14.58,15.64,17.00,18.72,20.92,0.03,0.00,0.21,Suporte Forte,0,0
2025-02-25,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.07,0.00,0.17,Suporte Forte,0,0
2025-02-26,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.23,0.00,0.01,Suporte Forte,0,0
2025-02-27,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.38,0.24,0.00,Suporte,1,0
2025-02-28,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.31,0.24,0.07,Suporte,0,0
2025-03-03,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.14,0.00,0.10,Suporte Forte,0,0
2025-03-04,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.25,0.24,0.13,Suporte,0,0
2025-03-05,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.26,0.24,0.12,Suporte,0,0
2025-03-06,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.24,0.24,0.14,Suporte,0,0
2025-03-07,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.28,0.24,0.10,Suporte,0,0
2025-03-10,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.25,0.24,0.13,Suporte,0,0
2025-03-11,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.16,0.00,0.08,Suporte Forte,0,0
2025-03-12,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.18,0.00,0.06,Suporte Forte,0,0
2025-03-13,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.18,0.00,0.06,Suporte Forte,0,0
2025-03-14,10.08,11.71,12.72,13.54,14.36,15.52,17.00,18.88,21.28,0.13,0.00,0.11,Suporte Forte,0,0
2025-03-17,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.23,0.00,0.01,Suporte Forte,0,0
2025-03-18,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.31,0.24,0.07,Suporte,0,0
2025-03-19,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.32,0.24,0.06,Suporte,0,0
2025-03-20,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.29,0.24,0.09,Suporte,0,0
2025-03-21,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.18,0.00,0.06,Suporte Forte,0,0
2025-03-24,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.28,0.24,0.10,Suporte,0,0
2025-03-25,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.25,0.24,0.13,Suporte,0,0
2025-03-26,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.12,0.00,0.12,Suporte Forte,0,0
2025-03-27,9.88,11.56,12.60,13.44,14.28,15.48,17.00,18.94,21.40,0.20,0.00,0.04,Suporte Forte,0,0
