Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,7.05,7.12,7.16,7.20,7.24,7.29,7.35,7.43,7.54,0.67,0.62,0.12,Resistência,1,1
2016-01-05,3.50,4.41,4.97,5.42,5.88,6.53,7.35,8.40,9.73,0.06,0.00,0.18,Suporte Forte,0,0
2016-01-06,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.11,0.00,0.13,Suporte Forte,0,0
2016-01-07,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.06,0.00,0.18,Suporte Forte,0,0
2016-01-08,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.02,0.00,0.22,Suporte Forte,0,0
2016-01-11,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.04,0.00,0.20,Suporte Forte,0,0
2016-01-12,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.16,0.00,0.08,Suporte Forte,0,0
2016-01-13,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.22,0.00,0.02,Suporte Forte,0,0
2016-01-14,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.33,0.24,0.05,Suporte,0,0
2016-01-15,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.35,0.24,0.03,Suporte,0,0
2016-01-19,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.17,0.00,0.07,Suporte Forte,0,0
2016-01-20,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.18,0.00,0.06,Suporte Forte,0,0
2016-01-21,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.12,0.00,0.12,Suporte Forte,0,0
2016-01-22,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.23,0.00,0.01,Suporte Forte,0,0
2016-01-25,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.13,0.00,0.11,Suporte Forte,0,0
2016-01-26,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.34,0.24,0.04,Suporte,0,0
2016-01-27,3.20,4.18,4.79,5.28,5.76,6.46,7.35,8.48,9.91,0.49,0.38,0.01,Zona de Consolidação,0,0
