Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2021-04-28,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,N/A,0.00,Neutra,1,1
2021-04-29,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,N/A,0.00,Neutra,1,1
2021-04-30,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,N/A,0.00,Neutra,1,1
2021-05-03,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,N/A,0.00,Neutra,1,1
2021-05-04,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,N/A,0.00,Neutra,1,1
2021-05-05,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,N/A,0.00,Neutra,1,1
2021-05-06,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-07,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-10,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-11,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-12,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-13,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-14,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-17,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-18,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-19,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-20,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-21,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-24,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-25,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-26,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-27,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-05-28,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-06-01,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-06-02,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-06-03,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-06-04,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-06-07,23.15,23.35,23.47,23.58,23.68,23.82,24.00,24.23,24.53,0.00,0.00,0.24,Suporte Forte,0,0
2021-06-08,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-09,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-10,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-11,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-14,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-15,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-16,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-17,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-18,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-21,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-22,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-23,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
2021-06-24,23.15,24.06,24.62,25.08,25.53,26.18,27.00,28.05,29.38,1.00,1.00,0.27,Resistência Forte,0,1
