Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2020-05-18,16.34,16.37,16.39,16.40,16.42,16.44,16.47,16.51,16.55,0.77,0.62,0.02,Resistência,1,1
2020-05-19,16.34,16.37,16.39,16.40,16.42,16.44,16.47,16.51,16.55,0.46,0.38,0.04,Zona de Consolidação,1,1
2020-05-20,16.34,16.38,16.40,16.42,16.44,16.47,16.50,16.54,16.60,1.00,1.00,0.27,Resistência Forte,1,1
2020-05-21,16.34,16.39,16.43,16.45,16.48,16.52,16.57,16.63,16.71,1.00,1.00,0.27,Resistência Forte,1,1
2020-05-22,16.34,16.43,16.49,16.54,16.58,16.65,16.73,16.84,16.97,0.64,0.62,0.15,Resistência,1,1
2020-05-26,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.86,0.79,0.14,Resistência Forte,1,1
2020-05-27,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.76,0.62,0.03,Resistência,1,1
2020-05-28,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.76,0.62,0.03,Resistência,1,1
2020-05-29,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.96,0.79,0.04,Resistência Forte,0,1
2020-06-01,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,1.00,1.00,0.27,Resistência Forte,0,1
2020-06-02,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.94,0.79,0.06,Resistência Forte,1,1
2020-06-03,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.73,0.62,0.06,Resistência,1,1
2020-06-04,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.71,0.62,0.08,Resistência,1,1
2020-06-05,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.88,0.79,0.12,Resistência Forte,1,1
2020-06-08,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.84,0.79,0.16,Resistência Forte,1,1
2020-06-09,16.34,16.46,16.53,16.58,16.64,16.73,16.83,16.96,17.13,0.88,0.79,0.12,Resistência Forte,1,1
2020-06-10,16.34,16.48,16.57,16.63,16.70,16.80,16.93,17.09,17.29,0.78,0.62,0.01,Resistência,1,1
2020-06-11,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.37,0.24,0.01,Suporte,1,0
2020-06-12,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.45,0.38,0.05,Zona de Consolidação,1,0
2020-06-15,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.35,0.24,0.03,Suporte,1,0
2020-06-16,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.71,0.62,0.08,Resistência,1,1
2020-06-17,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.44,0.38,0.06,Zona de Consolidação,1,0
2020-06-18,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.57,0.50,0.05,Zona de Consolidação,1,0
2020-06-19,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.62,0.62,0.17,Resistência,1,1
2020-06-22,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.90,0.79,0.10,Resistência Forte,0,1
2020-06-23,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.95,0.79,0.05,Resistência Forte,0,1
2020-06-24,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.93,0.79,0.07,Resistência Forte,0,1
2020-06-25,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.93,0.79,0.07,Resistência Forte,0,1
2020-06-26,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.83,0.79,0.17,Resistência Forte,0,1
2020-06-29,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.88,0.79,0.12,Resistência Forte,0,1
2020-06-30,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.27,0.24,0.11,Suporte,1,0
2020-07-01,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.35,0.24,0.03,Suporte,1,0
2020-07-02,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.33,0.24,0.05,Suporte,1,0
2020-07-06,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.30,0.24,0.08,Suporte,1,0
2020-07-07,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.26,0.24,0.12,Suporte,1,0
2020-07-08,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.23,0.00,0.01,Suporte Forte,1,0
2020-07-09,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.27,0.24,0.11,Suporte,1,0
2020-07-10,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.29,0.24,0.09,Suporte,1,0
2020-07-13,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.18,0.00,0.06,Suporte Forte,0,0
2020-07-14,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.23,0.00,0.01,Suporte Forte,1,0
2020-07-15,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.49,0.38,0.01,Zona de Consolidação,1,0
2020-07-16,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.62,0.62,0.17,Resistência,1,1
2020-07-17,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.73,0.62,0.06,Resistência,1,1
2020-07-20,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.73,0.62,0.06,Resistência,1,1
2020-07-21,16.09,16.29,16.41,16.51,16.61,16.75,16.93,17.16,17.45,0.64,0.62,0.15,Resistência,1,1
