Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,11.64,11.67,11.69,11.70,11.71,11.73,11.76,11.79,11.83,0.92,0.79,0.08,Resistência Forte,1,1
2016-01-05,11.64,11.68,11.71,11.74,11.76,11.79,11.83,11.88,11.95,0.63,0.62,0.16,Resistência,1,1
2016-01-06,11.51,11.59,11.63,11.67,11.71,11.76,11.83,11.92,12.03,0.09,0.00,0.15,Suporte Forte,1,0
2016-01-07,11.20,11.35,11.44,11.52,11.59,11.70,11.83,12.00,12.22,0.00,0.00,0.24,Suporte Forte,0,0
2016-01-08,11.09,11.26,11.37,11.46,11.55,11.67,11.83,12.03,12.29,0.01,0.00,0.23,Suporte Forte,0,0
2016-01-11,10.97,11.17,11.30,11.40,11.50,11.65,11.83,12.06,12.36,0.12,0.00,0.12,Suporte Forte,0,0
2016-01-12,10.97,11.17,11.30,11.40,11.50,11.65,11.83,12.06,12.36,0.16,0.00,0.08,Suporte Forte,0,0
2016-01-13,10.95,11.16,11.29,11.39,11.49,11.64,11.83,12.07,12.37,0.03,0.00,0.21,Suporte Forte,0,0
2016-01-14,10.89,11.11,11.25,11.36,11.47,11.63,11.83,12.09,12.41,0.19,0.00,0.05,Suporte Forte,0,0
2016-01-15,10.64,10.92,11.09,11.24,11.38,11.58,11.83,12.15,12.57,0.08,0.00,0.16,Suporte Forte,0,0
2016-01-19,10.64,10.92,11.09,11.24,11.38,11.58,11.83,12.15,12.57,0.26,0.24,0.12,Suporte,0,0
2016-01-20,10.60,10.89,11.07,11.22,11.36,11.57,11.83,12.16,12.59,0.15,0.00,0.09,Suporte Forte,0,0
2016-01-21,10.60,10.89,11.07,11.22,11.36,11.57,11.83,12.16,12.59,0.16,0.00,0.08,Suporte Forte,0,0
