Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2026-05-20,9.86,9.87,9.88,9.88,9.88,9.89,9.90,9.91,9.92,0.75,0.62,0.04,Resistência,1,1
2026-05-21,9.85,9.86,9.87,9.88,9.88,9.89,9.90,9.91,9.93,0.00,0.00,0.24,Suporte Forte,1,1
2026-05-22,9.85,9.86,9.87,9.88,9.88,9.89,9.90,9.91,9.93,0.60,0.50,0.02,Zona de Consolidação,1,1
2026-05-26,9.85,9.86,9.87,9.88,9.88,9.89,9.90,9.91,9.93,0.40,0.38,0.10,Zona de Consolidação,1,1
2026-05-27,9.85,9.86,9.87,9.88,9.88,9.89,9.90,9.91,9.93,0.40,0.38,0.10,Zona de Consolidação,1,1
2026-05-28,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.10,0.00,0.14,Suporte Forte,0,0
2026-05-29,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.10,0.00,0.14,Suporte Forte,0,0
2026-06-01,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.11,0.00,0.13,Suporte Forte,0,0
2026-06-02,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.11,0.00,0.13,Suporte Forte,0,0
2026-06-03,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.11,0.00,0.13,Suporte Forte,0,0
2026-06-04,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.11,0.00,0.13,Suporte Forte,0,0
2026-06-05,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.09,0.00,0.15,Suporte Forte,0,0
2026-06-08,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
2026-06-09,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.06,0.00,0.18,Suporte Forte,0,0
2026-06-10,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
2026-06-11,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
2026-06-12,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.11,0.00,0.13,Suporte Forte,0,0
2026-06-15,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.06,0.00,0.18,Suporte Forte,0,0
2026-06-16,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
2026-06-17,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
2026-06-18,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
2026-06-22,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
2026-06-23,9.85,10.07,10.21,10.32,10.43,10.59,10.79,11.05,11.37,0.05,0.00,0.19,Suporte Forte,0,0
