Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2000-01-03,3.38,3.47,3.52,3.56,3.61,3.67,3.75,3.85,3.98,0.86,0.79,0.14,Resistência Forte,0,1
2000-01-04,3.38,3.47,3.52,3.56,3.61,3.67,3.75,3.85,3.98,0.00,0.00,0.24,Suporte Forte,0,0
2000-01-05,3.26,3.38,3.45,3.50,3.56,3.65,3.75,3.88,4.05,0.59,0.50,0.03,Zona de Consolidação,1,0
2000-01-06,3.26,3.38,3.45,3.50,3.56,3.65,3.75,3.88,4.05,0.47,0.38,0.03,Zona de Consolidação,0,0
2000-01-07,3.26,3.38,3.45,3.51,3.57,3.65,3.76,3.90,4.07,1.00,1.00,0.27,Resistência Forte,0,1
2000-01-10,3.26,3.38,3.45,3.51,3.57,3.65,3.76,3.90,4.07,0.58,0.50,0.04,Zona de Consolidação,1,0
2000-01-11,3.26,3.38,3.45,3.51,3.57,3.65,3.76,3.90,4.07,0.58,0.50,0.04,Zona de Consolidação,1,0
2000-01-12,3.26,3.38,3.45,3.51,3.57,3.65,3.76,3.90,4.07,0.70,0.62,0.09,Resistência,0,0
2000-01-13,3.26,3.38,3.45,3.51,3.57,3.65,3.76,3.90,4.07,0.76,0.62,0.03,Resistência,0,1
2000-01-14,3.26,3.39,3.46,3.52,3.59,3.68,3.79,3.93,4.12,0.77,0.62,0.02,Resistência,0,1
2000-01-18,3.26,3.39,3.47,3.54,3.61,3.70,3.82,3.97,4.17,0.95,0.79,0.05,Resistência Forte,0,1
2000-01-19,3.26,3.41,3.50,3.57,3.64,3.75,3.88,4.05,4.26,1.00,1.00,0.27,Resistência Forte,0,1
2000-01-20,3.26,3.41,3.51,3.58,3.66,3.77,3.91,4.09,4.31,0.91,0.79,0.09,Resistência Forte,0,0
