Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2025-04-11,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.31,0.24,0.07,Suporte,0,0
2025-04-14,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.19,0.00,0.05,Suporte Forte,0,0
2025-04-15,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.14,0.00,0.10,Suporte Forte,0,0
2025-04-16,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.09,0.00,0.15,Suporte Forte,0,0
2025-04-17,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.10,0.00,0.14,Suporte Forte,0,0
2025-04-21,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.10,0.00,0.14,Suporte Forte,0,0
2025-04-22,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.08,0.00,0.16,Suporte Forte,0,0
2025-04-23,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.07,0.00,0.17,Suporte Forte,0,0
2025-04-24,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.08,0.00,0.16,Suporte Forte,0,0
2025-04-25,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.07,0.00,0.17,Suporte Forte,0,0
2025-04-28,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.07,0.00,0.17,Suporte Forte,0,0
2025-04-29,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.06,0.00,0.18,Suporte Forte,0,0
2025-04-30,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.06,0.00,0.18,Suporte Forte,0,0
2025-05-01,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.06,0.00,0.18,Suporte Forte,0,0
2025-05-02,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.05,0.00,0.19,Suporte Forte,0,0
2025-05-05,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.05,0.00,0.19,Suporte Forte,0,0
2025-05-06,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.05,0.00,0.19,Suporte Forte,0,0
2025-05-07,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.05,0.00,0.19,Suporte Forte,0,0
2025-05-08,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.07,0.00,0.17,Suporte Forte,0,0
2025-05-09,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.06,0.00,0.18,Suporte Forte,0,0
2025-05-12,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.07,0.00,0.17,Suporte Forte,0,0
2025-05-13,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.06,0.00,0.18,Suporte Forte,0,0
2025-05-14,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.06,0.00,0.18,Suporte Forte,0,0
2025-05-15,6.60,34.13,51.16,64.92,78.69,98.29,123.25,154.98,195.34,0.06,0.00,0.18,Suporte Forte,0,0
