Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2016-01-04,8.33,8.45,8.52,8.57,8.63,8.72,8.82,8.95,9.12,0.41,0.38,0.09,Zona de Consolidação,1,0
2016-01-05,8.31,8.43,8.50,8.57,8.63,8.71,8.82,8.96,9.14,0.37,0.24,0.01,Suporte,1,0
2016-01-06,8.10,8.27,8.38,8.46,8.54,8.67,8.82,9.02,9.26,0.25,0.24,0.13,Suporte,0,0
2016-01-07,7.67,7.94,8.11,8.25,8.38,8.57,8.82,9.13,9.53,0.08,0.00,0.16,Suporte Forte,0,0
2016-01-08,7.65,7.93,8.10,8.24,8.37,8.57,8.82,9.14,9.54,0.03,0.00,0.21,Suporte Forte,0,0
2016-01-11,7.55,7.85,8.04,8.18,8.33,8.55,8.82,9.17,9.60,0.05,0.00,0.19,Suporte Forte,0,0
2016-01-12,7.43,7.76,7.96,8.12,8.29,8.52,8.82,9.20,9.68,0.09,0.00,0.15,Suporte Forte,0,0
2016-01-13,7.40,7.74,7.94,8.11,8.28,8.52,8.82,9.21,9.70,0.04,0.00,0.20,Suporte Forte,0,0
2016-01-14,7.37,7.71,7.92,8.10,8.27,8.51,8.82,9.21,9.72,0.10,0.00,0.14,Suporte Forte,0,0
2016-01-15,7.30,7.66,7.88,8.06,8.24,8.49,8.82,9.23,9.76,0.05,0.00,0.19,Suporte Forte,0,0
2016-01-19,7.01,7.44,7.70,7.92,8.13,8.43,8.82,9.31,9.94,0.03,0.00,0.21,Suporte Forte,0,0
2016-01-20,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.31,0.24,0.07,Suporte,0,0
2016-01-21,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.32,0.24,0.06,Suporte,0,0
2016-01-22,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.39,0.38,0.11,Zona de Consolidação,1,0
2016-01-25,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.29,0.24,0.09,Suporte,0,0
2016-01-26,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.37,0.24,0.01,Suporte,1,0
2016-01-27,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.28,0.24,0.10,Suporte,0,0
2016-01-28,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.29,0.24,0.09,Suporte,0,0
2016-01-29,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.45,0.38,0.05,Zona de Consolidação,0,0
2016-02-01,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.44,0.38,0.06,Zona de Consolidação,0,0
2016-02-02,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.34,0.24,0.04,Suporte,0,0
2016-02-03,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.35,0.24,0.03,Suporte,0,0
2016-02-04,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.45,0.38,0.05,Zona de Consolidação,0,0
2016-02-05,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.41,0.38,0.09,Zona de Consolidação,1,0
2016-02-08,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.44,0.38,0.06,Zona de Consolidação,0,0
2016-02-09,6.59,7.12,7.44,7.70,7.97,8.34,8.82,9.43,10.20,0.34,0.24,0.04,Suporte,0,0
2016-02-10,6.22,6.83,7.21,7.52,7.83,8.26,8.82,9.53,10.43,0.02,0.00,0.22,Suporte Forte,0,0
2016-02-11,5.64,6.39,6.85,7.23,7.61,8.14,8.82,9.68,10.79,0.07,0.00,0.17,Suporte Forte,0,0
2016-02-12,5.64,6.39,6.85,7.23,7.61,8.14,8.82,9.68,10.79,0.14,0.00,0.10,Suporte Forte,0,0
2016-02-16,5.64,6.39,6.85,7.23,7.61,8.14,8.82,9.68,10.79,0.30,0.24,0.08,Suporte,0,0
2016-02-17,5.64,6.39,6.85,7.23,7.61,8.14,8.82,9.68,10.79,0.34,0.24,0.04,Suporte,0,0
2016-02-18,5.64,6.39,6.85,7.23,7.61,8.14,8.82,9.68,10.79,0.35,0.24,0.03,Suporte,0,0
