Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2000-01-03,894.67,947.95,980.91,1007.54,1034.18,1072.11,1120.42,1181.82,1259.93,0.96,0.79,0.04,Resistência Forte,0,1
2000-01-04,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.73,0.62,0.06,Resistência,0,0
2000-01-05,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.40,0.38,0.10,Zona de Consolidação,1,0
2000-01-06,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.26,0.24,0.12,Suporte,0,0
2000-01-07,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.45,0.38,0.05,Zona de Consolidação,0,0
2000-01-10,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.47,0.38,0.03,Zona de Consolidação,0,0
2000-01-11,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.26,0.24,0.12,Suporte,0,0
2000-01-12,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.33,0.24,0.05,Suporte,0,0
2000-01-13,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.23,0.00,0.01,Suporte Forte,0,0
2000-01-14,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.27,0.24,0.11,Suporte,0,0
2000-01-18,894.67,1004.83,1072.98,1128.06,1183.14,1261.56,1361.45,1488.41,1649.92,0.15,0.00,0.09,Suporte Forte,0,0
2000-01-19,889.11,1000.58,1069.54,1125.28,1181.02,1260.37,1361.45,1489.93,1653.36,0.05,0.00,0.19,Suporte Forte,0,0
2000-01-20,889.11,1000.58,1069.54,1125.28,1181.02,1260.37,1361.45,1489.93,1653.36,0.30,0.24,0.08,Suporte,0,0
2000-01-21,889.11,1000.58,1069.54,1125.28,1181.02,1260.37,1361.45,1489.93,1653.36,0.13,0.00,0.11,Suporte Forte,0,0
2000-01-24,861.32,979.35,1052.37,1111.38,1170.40,1254.42,1361.45,1497.49,1670.53,0.01,0.00,0.23,Suporte Forte,0,0
2000-01-25,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.10,0.00,0.14,Suporte Forte,0,0
2000-01-26,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.08,0.00,0.16,Suporte Forte,0,0
2000-01-27,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.26,0.24,0.12,Suporte,0,0
2000-01-28,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.15,0.00,0.09,Suporte Forte,0,0
2000-01-31,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.13,0.00,0.11,Suporte Forte,0,0
2000-02-01,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.32,0.24,0.06,Suporte,0,0
2000-02-02,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.47,0.38,0.03,Zona de Consolidação,0,0
2000-02-03,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.52,0.50,0.10,Zona de Consolidação,0,0
2000-02-04,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.45,0.38,0.05,Zona de Consolidação,0,0
2000-02-07,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.57,0.50,0.05,Zona de Consolidação,0,0
2000-02-08,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.69,0.62,0.10,Resistência,0,0
2000-02-09,777.97,915.67,1000.86,1069.71,1138.56,1236.59,1361.45,1520.16,1722.04,0.90,0.79,0.10,Resistência Forte,0,0
2000-02-10,777.97,1021.90,1172.80,1294.76,1416.73,1590.37,1811.56,2092.70,2450.32,0.86,0.79,0.14,Resistência Forte,0,0
2000-02-11,777.97,1136.65,1358.54,1537.88,1717.22,1972.55,2297.79,2711.18,3237.04,0.88,0.79,0.12,Resistência Forte,0,0
2000-02-14,777.97,1136.65,1358.54,1537.88,1717.22,1972.55,2297.79,2711.18,3237.04,0.66,0.62,0.13,Resistência,0,0
2000-02-15,777.97,1136.65,1358.54,1537.88,1717.22,1972.55,2297.79,2711.18,3237.04,0.48,0.38,0.02,Zona de Consolidação,0,0
2000-02-16,777.97,1136.65,1358.54,1537.88,1717.22,1972.55,2297.79,2711.18,3237.04,0.70,0.62,0.09,Resistência,0,0
2000-02-17,777.97,1136.65,1358.54,1537.88,1717.22,1972.55,2297.79,2711.18,3237.04,0.72,0.62,0.07,Resistência,0,0
2000-02-18,777.97,1136.65,1358.54,1537.88,1717.22,1972.55,2297.79,2711.18,3237.04,0.78,0.62,0.01,Resistência,0,1
2000-02-22,777.97,1136.65,1358.54,1537.88,1717.22,1972.55,2297.79,2711.18,3237.04,0.88,0.79,0.12,Resistência Forte,0,0
2000-02-23,777.97,1166.15,1406.30,1600.40,1794.49,2070.82,2422.82,2870.22,3439.34,0.96,0.79,0.04,Resistência Forte,0,0
2000-02-24,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.83,0.79,0.17,Resistência Forte,0,0
2000-02-25,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.75,0.62,0.04,Resistência,0,0
2000-02-28,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.76,0.62,0.03,Resistência,0,0
2000-02-29,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.77,0.62,0.02,Resistência,0,0
2000-03-01,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.73,0.62,0.06,Resistência,0,0
2000-03-02,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.70,0.62,0.09,Resistência,0,0
2000-03-03,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.75,0.62,0.04,Resistência,0,0
2000-03-06,777.97,1187.14,1440.27,1644.85,1849.43,2140.71,2511.73,2983.31,3583.19,0.77,0.62,0.02,Resistência,0,0
