Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2022-08-10,2089.06,2107.68,2119.19,2128.50,2137.81,2151.06,2167.94,2189.40,2216.69,0.02,0.00,0.22,Suporte Forte,0,0
2022-08-11,2069.55,2092.77,2107.13,2118.74,2130.36,2146.88,2167.94,2194.70,2228.75,0.75,0.62,0.04,Resistência,1,1
2022-08-12,2042.41,2072.04,2090.36,2105.18,2119.99,2141.08,2167.94,2202.08,2245.52,0.01,0.00,0.23,Suporte Forte,0,0
2022-08-15,1955.89,2005.93,2036.89,2061.92,2086.94,2122.56,2167.94,2225.62,2298.99,0.10,0.00,0.14,Suporte Forte,0,0
2022-08-16,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.19,0.00,0.05,Suporte Forte,0,0
2022-08-17,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.29,0.24,0.09,Suporte,0,0
2022-08-18,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.34,0.24,0.04,Suporte,1,0
2022-08-19,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.51,0.50,0.11,Zona de Consolidação,0,0
2022-08-22,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.75,0.62,0.04,Resistência,0,1
2022-08-23,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.52,0.50,0.10,Zona de Consolidação,1,0
2022-08-24,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.51,0.50,0.11,Zona de Consolidação,0,0
2022-08-25,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.52,0.50,0.10,Zona de Consolidação,0,0
2022-08-26,1949.11,2000.75,2032.70,2058.52,2084.35,2121.11,2167.94,2227.46,2303.18,0.78,0.62,0.01,Resistência,0,1
2022-08-29,1949.11,2002.15,2034.97,2061.49,2088.01,2125.77,2173.87,2235.00,2312.77,0.87,0.79,0.13,Resistência Forte,0,1
2022-08-30,1949.11,2017.17,2059.27,2093.30,2127.33,2175.78,2237.49,2315.93,2415.71,0.87,0.79,0.13,Resistência Forte,0,0
2022-08-31,1949.11,2018.57,2061.54,2096.26,2130.99,2180.44,2243.42,2323.47,2425.30,0.90,0.79,0.10,Resistência Forte,0,0
2022-09-01,1949.11,2029.98,2080.01,2120.44,2160.87,2218.44,2291.77,2384.97,2503.53,0.75,0.62,0.04,Resistência,0,1
2022-09-02,1949.11,2029.98,2080.01,2120.44,2160.87,2218.44,2291.77,2384.97,2503.53,0.91,0.79,0.09,Resistência Forte,0,0
2022-09-06,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.80,0.79,0.20,Resistência Forte,0,1
2022-09-07,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.58,0.50,0.04,Zona de Consolidação,1,0
2022-09-08,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.46,0.38,0.04,Zona de Consolidação,0,0
2022-09-09,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.24,0.24,0.14,Suporte,0,0
2022-09-12,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.15,0.00,0.09,Suporte Forte,0,0
2022-09-13,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.39,0.38,0.11,Zona de Consolidação,1,0
2022-09-14,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.17,0.00,0.07,Suporte Forte,0,0
2022-09-15,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.15,0.00,0.09,Suporte Forte,0,0
2022-09-16,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.16,0.00,0.08,Suporte Forte,0,0
2022-09-19,1949.11,2031.18,2081.95,2122.98,2164.02,2222.44,2296.86,2391.45,2511.77,0.04,0.00,0.20,Suporte Forte,0,0
2022-09-20,1938.31,2022.93,2075.28,2117.58,2159.89,2220.13,2296.86,2394.39,2518.44,0.08,0.00,0.16,Suporte Forte,0,0
2022-09-21,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.24,0.24,0.14,Suporte,0,0
2022-09-22,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.46,0.38,0.04,Zona de Consolidação,0,0
2022-09-23,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.73,0.62,0.06,Resistência,0,1
2022-09-26,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.70,0.62,0.09,Resistência,0,0
2022-09-27,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.55,0.50,0.07,Zona de Consolidação,0,0
2022-09-28,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.46,0.38,0.04,Zona de Consolidação,0,0
2022-09-29,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.86,0.79,0.14,Resistência Forte,0,0
2022-09-30,1934.92,2020.34,2073.18,2115.89,2158.60,2219.40,2296.86,2395.31,2520.54,0.92,0.79,0.08,Resistência Forte,0,0
2022-10-03,1934.92,2061.75,2140.21,2203.63,2267.05,2357.33,2472.34,2618.52,2804.47,0.96,0.79,0.04,Resistência Forte,0,1
2022-10-04,1934.92,2061.75,2140.21,2203.63,2267.05,2357.33,2472.34,2618.52,2804.47,0.86,0.79,0.14,Resistência Forte,0,0
2022-10-05,1934.92,2079.39,2168.76,2240.99,2313.22,2416.06,2547.06,2713.56,2925.36,0.89,0.79,0.11,Resistência Forte,0,0
2022-10-06,1934.92,2079.39,2168.76,2240.99,2313.22,2416.06,2547.06,2713.56,2925.36,0.93,0.79,0.07,Resistência Forte,0,0
2022-10-07,1934.92,2109.22,2217.05,2304.20,2391.35,2515.43,2673.48,2874.37,3129.91,0.98,0.79,0.02,Resistência Forte,0,1
