Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2000-01-03,92.45,94.61,95.94,97.02,98.10,99.63,101.59,104.08,107.24,0.22,0.00,0.02,Suporte Forte,0,0
2000-01-04,92.45,97.24,100.21,102.60,105.00,108.41,112.76,118.28,125.31,0.55,0.50,0.07,Zona de Consolidação,0,0
2000-01-05,92.45,97.24,100.21,102.60,105.00,108.41,112.76,118.28,125.31,0.65,0.62,0.14,Resistência,1,0
2000-01-06,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.55,0.50,0.07,Zona de Consolidação,0,0
2000-01-07,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.46,0.38,0.04,Zona de Consolidação,0,0
2000-01-10,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.46,0.38,0.04,Zona de Consolidação,0,0
2000-01-11,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.43,0.38,0.07,Zona de Consolidação,0,0
2000-01-12,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.65,0.62,0.14,Resistência,0,0
2000-01-13,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.59,0.50,0.03,Zona de Consolidação,1,0
2000-01-14,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.68,0.62,0.11,Resistência,0,0
2000-01-18,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.46,0.38,0.04,Zona de Consolidação,0,0
2000-01-19,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.34,0.24,0.04,Suporte,0,0
2000-01-20,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.35,0.24,0.03,Suporte,0,0
2000-01-21,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.32,0.24,0.06,Suporte,0,0
2000-01-24,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.19,0.00,0.05,Suporte Forte,0,0
2000-01-25,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.57,0.50,0.05,Zona de Consolidação,0,0
2000-01-26,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.32,0.24,0.06,Suporte,0,0
2000-01-27,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.30,0.24,0.08,Suporte,0,0
2000-01-28,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.19,0.00,0.05,Suporte Forte,0,0
2000-01-31,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.11,0.00,0.13,Suporte Forte,0,0
2000-02-01,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.22,0.00,0.02,Suporte Forte,0,0
2000-02-02,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.14,0.00,0.10,Suporte Forte,0,0
2000-02-03,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.05,0.00,0.19,Suporte Forte,0,0
2000-02-04,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.03,0.00,0.21,Suporte Forte,0,0
2000-02-07,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.46,0.38,0.04,Zona de Consolidação,0,0
2000-02-08,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.35,0.24,0.03,Suporte,0,0
2000-02-09,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.24,0.24,0.14,Suporte,0,0
2000-02-10,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.38,0.24,0.00,Suporte,1,0
2000-02-11,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.30,0.24,0.08,Suporte,0,0
2000-02-14,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.30,0.24,0.08,Suporte,0,0
2000-02-15,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.16,0.00,0.08,Suporte Forte,0,0
2000-02-16,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.16,0.00,0.08,Suporte Forte,0,0
2000-02-17,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.43,0.38,0.07,Zona de Consolidação,0,0
2000-02-18,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.38,0.24,0.00,Suporte,1,0
2000-02-22,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.22,0.00,0.02,Suporte Forte,0,0
2000-02-23,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.41,0.38,0.09,Zona de Consolidação,1,0
2000-02-24,92.45,101.32,106.81,111.24,115.67,121.99,130.03,140.25,153.25,0.46,0.38,0.04,Zona de Consolidação,0,0
2000-02-25,92.45,104.44,111.85,117.84,123.84,132.37,143.24,157.05,174.63,0.72,0.62,0.07,Resistência,0,0
2000-02-28,92.45,117.86,133.58,146.29,159.00,177.09,200.13,229.42,266.68,0.73,0.62,0.06,Resistência,0,0
2000-02-29,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.78,0.62,0.01,Resistência,0,1
2000-03-01,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.60,0.50,0.02,Zona de Consolidação,0,0
2000-03-02,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.67,0.62,0.12,Resistência,0,0
2000-03-03,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.58,0.50,0.04,Zona de Consolidação,0,0
2000-03-06,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.50,0.50,0.12,Zona de Consolidação,0,0
2000-03-07,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.52,0.50,0.10,Zona de Consolidação,0,0
2000-03-08,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.67,0.62,0.12,Resistência,0,0
2000-03-09,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.66,0.62,0.13,Resistência,0,0
2000-03-10,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.57,0.50,0.05,Zona de Consolidação,0,0
2000-03-13,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.47,0.38,0.03,Zona de Consolidação,0,0
2000-03-14,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.35,0.24,0.03,Suporte,0,0
2000-03-15,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.37,0.24,0.01,Suporte,1,0
2000-03-16,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.31,0.24,0.07,Suporte,0,0
2000-03-17,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.31,0.24,0.07,Suporte,0,0
2000-03-20,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.30,0.24,0.08,Suporte,0,0
2000-03-21,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.30,0.24,0.08,Suporte,0,0
2000-03-22,92.45,129.13,151.82,170.17,188.51,214.62,247.88,290.16,343.94,0.25,0.24,0.13,Suporte,0,0
