Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2023-03-30,0.00,0.00,0.00,Neutro
2023-03-31,-216.98,-43.40,-173.58,Venda
2023-04-03,-505.76,-135.87,-369.89,Venda
2023-04-04,-917.70,-292.24,-625.46,Venda
2023-04-05,-1383.15,-510.42,-872.73,Venda
2023-04-06,-1808.64,-770.06,-1038.58,Venda
2023-04-10,-2223.49,-1060.75,-1162.74,Venda
2023-04-11,-2440.22,-1336.64,-1103.58,Venda
2023-04-12,-2601.36,-1589.59,-1011.77,Venda
2023-04-13,-2697.96,-1811.26,-886.70,Venda
2023-04-14,-2790.77,-2007.16,-783.61,Venda
2023-04-17,-2847.62,-2175.25,-672.37,Venda
2023-04-18,-2846.96,-2309.60,-537.36,Venda
2023-04-19,-2737.41,-2395.16,-342.25,Venda
2023-04-20,-2467.22,-2409.57,-57.65,Venda
2023-04-21,-2252.95,-2378.25,125.30,Compra
2023-04-24,-1989.20,-2300.44,311.24,Compra
2023-04-25,-1804.56,-2201.26,396.70,Compra
2023-04-26,-1601.04,-2081.22,480.18,Compra
2023-04-27,-1492.27,-1963.43,471.16,Compra
2023-04-28,-1321.12,-1834.97,513.85,Compra
2023-05-01,-935.85,-1655.14,719.29,Compra
2023-05-02,-668.00,-1457.71,789.71,Compra
2023-05-03,-380.34,-1242.24,861.90,Compra
2023-05-04,-176.16,-1029.02,852.86,Compra
2023-05-05,-78.00,-838.82,760.82,Compra
2023-05-08,-124.64,-695.98,571.34,Compra
2023-05-09,-175.73,-591.93,416.20,Compra
2023-05-10,-22.29,-478.00,455.71,Compra
2023-05-11,168.38,-348.73,517.11,Compra
2023-05-12,315.84,-215.81,531.65,Compra
2023-05-15,332.05,-106.24,438.29,Compra
2023-05-16,366.49,-11.69,378.18,Compra
2023-05-17,363.77,63.40,300.37,Compra
2023-05-18,357.49,122.22,235.27,Compra
2023-05-19,354.88,168.75,186.13,Compra
2023-05-22,367.94,208.59,159.35,Compra
2023-05-23,393.12,245.49,147.63,Compra
2023-05-24,401.99,276.79,125.20,Compra
2023-05-25,436.26,308.69,127.57,Compra
2023-05-26,419.86,330.92,88.94,Compra
2023-05-30,357.54,336.24,21.30,Compra
2023-05-31,298.27,328.65,-30.38,Venda
2023-06-01,248.43,312.61,-64.18,Venda
2023-06-02,263.98,302.88,-38.90,Venda
2023-06-05,228.49,288.00,-59.51,Venda
2023-06-06,223.60,275.12,-51.52,Venda
2023-06-07,293.81,278.86,14.95,Compra
2023-06-08,294.41,281.97,12.44,Compra
2023-06-09,291.53,283.88,7.65,Compra
2023-06-12,292.33,285.57,6.76,Compra
2023-06-13,296.01,287.66,8.35,Compra
2023-06-14,289.13,287.95,1.18,Compra
2023-06-15,280.45,286.45,-6.00,Venda
2023-06-16,225.78,274.32,-48.54,Venda
2023-06-20,135.71,246.60,-110.89,Venda
2023-06-21,117.83,220.84,-103.01,Venda
2023-06-22,67.38,190.15,-122.77,Venda
2023-06-23,-100.54,132.01,-232.55,Venda
2023-06-26,-179.91,69.63,-249.54,Venda
2023-06-27,-233.66,8.97,-242.63,Venda
2023-06-28,-238.01,-40.43,-197.58,Venda
2023-06-29,-165.32,-65.40,-99.92,Venda
2023-06-30,-199.01,-92.13,-106.88,Venda
2023-07-03,-229.53,-119.61,-109.92,Venda
2023-07-05,-324.21,-160.53,-163.68,Venda
2023-07-06,-375.55,-203.53,-172.02,Venda
2023-07-07,-462.55,-255.34,-207.21,Venda
2023-07-10,-563.73,-317.01,-246.72,Venda
2023-07-11,-566.38,-366.89,-199.49,Venda
2023-07-12,-357.78,-365.07,7.29,Compra
2023-07-13,-241.33,-340.32,98.99,Compra
2023-07-14,-140.96,-300.45,159.49,Compra
2023-07-17,-86.24,-257.61,171.37,Compra
2023-07-18,-10.48,-208.18,197.70,Compra
2023-07-19,42.61,-158.02,200.63,Compra
2023-07-20,115.63,-103.29,218.92,Compra
2023-07-21,120.47,-58.54,179.01,Compra
2023-07-24,173.94,-12.04,185.98,Compra
2023-07-25,150.04,20.37,129.67,Compra
2023-07-26,145.55,45.41,100.14,Compra
2023-07-27,86.14,53.55,32.59,Compra
2023-07-28,64.13,55.67,8.46,Compra
2023-07-31,27.01,49.94,-22.93,Venda
2023-08-01,-40.67,31.82,-72.49,Venda
2023-08-02,-105.99,4.26,-110.25,Venda
2023-08-03,-149.59,-26.51,-123.08,Venda
2023-08-04,-182.03,-57.62,-124.41,Venda
2023-08-07,-215.59,-89.21,-126.38,Venda
2023-08-08,-165.40,-104.45,-60.95,Venda
2023-08-09,-277.35,-139.03,-138.32,Venda
2023-08-10,-240.65,-159.35,-81.30,Venda
2023-08-11,-298.50,-187.18,-111.32,Venda
2023-08-14,-302.12,-210.17,-91.95,Venda
2023-08-15,-199.42,-208.02,8.60,Compra
2023-08-16,-237.93,-214.00,-23.93,Venda
2023-08-17,-215.61,-214.32,-1.29,Venda
2023-08-18,-137.60,-198.98,61.38,Compra
2023-08-21,-42.36,-167.66,125.30,Compra
2023-08-22,128.47,-108.43,236.90,Compra
2023-08-23,260.84,-34.58,295.42,Compra
2023-08-24,491.13,70.57,420.56,Compra
2023-08-25,1142.68,284.99,857.69,Compra
2023-08-28,1384.86,504.96,879.90,Compra
2023-08-29,1469.47,697.86,771.61,Compra
2023-08-30,1557.31,869.75,687.56,Compra
2023-08-31,1665.82,1028.97,636.85,Compra
2023-09-01,1878.63,1198.90,679.73,Compra
2023-09-05,1896.31,1338.38,557.93,Compra
2023-09-06,1888.56,1448.42,440.14,Compra
2023-09-07,1918.40,1542.41,375.99,Compra
2023-09-08,1945.44,1623.02,322.42,Compra
2023-09-11,1995.52,1697.52,298.00,Compra
2023-09-12,2012.00,1760.42,251.58,Compra
2023-09-13,2065.81,1821.49,244.32,Compra
2023-09-14,2243.97,1905.99,337.98,Compra
2023-09-15,2453.71,2015.53,438.18,Compra
2023-09-18,2360.33,2084.49,275.84,Compra
2023-09-19,2049.67,2077.53,-27.86,Venda
2023-09-20,1661.66,1994.35,-332.69,Venda
