Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2024-07-23,0.00,0.00,0.00,Neutro
2024-07-24,-0.06,-0.01,-0.05,Venda
2024-07-25,-0.25,-0.06,-0.19,Venda
2024-07-26,-0.30,-0.11,-0.19,Venda
2024-07-29,-0.32,-0.15,-0.17,Venda
2024-07-30,-0.35,-0.19,-0.16,Venda
2024-07-31,-0.38,-0.23,-0.15,Venda
2024-08-01,-0.47,-0.28,-0.19,Venda
2024-08-02,-0.62,-0.35,-0.27,Venda
2024-08-05,-1.09,-0.49,-0.60,Venda
2024-08-06,-1.39,-0.67,-0.72,Venda
2024-08-07,-1.70,-0.88,-0.82,Venda
2024-08-08,-1.79,-1.06,-0.73,Venda
2024-08-09,-1.83,-1.21,-0.62,Venda
2024-08-12,-1.79,-1.33,-0.46,Venda
2024-08-13,-1.72,-1.41,-0.31,Venda
2024-08-14,-1.66,-1.46,-0.20,Venda
2024-08-15,-1.67,-1.50,-0.17,Venda
2024-08-16,-1.62,-1.52,-0.10,Venda
2024-08-19,-1.57,-1.53,-0.04,Venda
2024-08-20,-1.51,-1.53,0.02,Compra
2024-08-21,-1.42,-1.51,0.09,Compra
2024-08-22,-1.36,-1.48,0.12,Compra
2024-08-23,-1.21,-1.42,0.21,Compra
2024-08-26,-1.13,-1.37,0.24,Compra
2024-08-27,-1.10,-1.31,0.21,Compra
2024-08-28,-1.12,-1.27,0.15,Compra
2024-08-29,-1.11,-1.24,0.13,Compra
2024-08-30,-1.09,-1.21,0.12,Compra
2024-09-03,-1.11,-1.19,0.08,Compra
2024-09-04,-1.11,-1.17,0.06,Compra
2024-09-05,-1.14,-1.17,0.03,Compra
2024-09-06,-1.25,-1.18,-0.07,Venda
2024-09-09,-1.24,-1.20,-0.04,Venda
2024-09-10,-1.19,-1.19,0.00,Neutro
2024-09-11,-1.17,-1.19,0.02,Compra
2024-09-12,-1.13,-1.18,0.05,Compra
2024-09-13,-1.04,-1.15,0.11,Compra
2024-09-16,-1.06,-1.13,0.07,Compra
2024-09-17,-1.01,-1.11,0.10,Compra
2024-09-18,-0.98,-1.08,0.10,Compra
2024-09-19,-0.86,-1.04,0.18,Compra
2024-09-20,-0.70,-0.97,0.27,Compra
2024-09-23,-0.50,-0.88,0.38,Compra
2024-09-24,-0.34,-0.77,0.43,Compra
2024-09-25,-0.26,-0.67,0.41,Compra
2024-09-26,-0.15,-0.56,0.41,Compra
2024-09-27,-0.03,-0.46,0.43,Compra
2024-09-30,-0.00,-0.37,0.37,Compra
2024-10-01,-0.05,-0.30,0.25,Compra
2024-10-02,-0.15,-0.27,0.12,Compra
2024-10-03,-0.24,-0.27,0.03,Compra
2024-10-04,-0.26,-0.26,0.00,Neutro
2024-10-07,-0.26,-0.26,0.00,Neutro
2024-10-08,-0.27,-0.26,-0.01,Venda
2024-10-09,-0.28,-0.27,-0.01,Venda
2024-10-10,-0.32,-0.28,-0.04,Venda
2024-10-11,-0.29,-0.28,-0.01,Venda
2024-10-14,-0.16,-0.26,0.10,Compra
2024-10-15,-0.08,-0.22,0.14,Compra
2024-10-16,-0.00,-0.18,0.18,Compra
2024-10-17,0.05,-0.13,0.18,Compra
2024-10-18,0.12,-0.08,0.20,Compra
2024-10-21,0.19,-0.03,0.22,Compra
2024-10-22,0.22,0.02,0.20,Compra
2024-10-23,0.16,0.05,0.11,Compra
2024-10-24,0.13,0.07,0.06,Compra
2024-10-25,0.07,0.07,0.00,Neutro
2024-10-28,0.04,0.06,-0.02,Venda
2024-10-29,0.09,0.07,0.02,Compra
2024-10-30,0.14,0.08,0.06,Compra
2024-10-31,0.09,0.08,0.01,Compra
2024-11-01,0.06,0.08,-0.02,Venda
2024-11-04,-0.03,0.06,-0.09,Venda
2024-11-05,-0.09,0.03,-0.12,Venda
2024-11-06,0.02,0.03,-0.01,Venda
2024-11-07,0.24,0.07,0.17,Compra
2024-11-08,0.43,0.14,0.29,Compra
2024-11-11,0.83,0.28,0.55,Compra
2024-11-12,1.09,0.44,0.65,Compra
2024-11-13,1.20,0.59,0.61,Compra
2024-11-14,1.24,0.72,0.52,Compra
2024-11-15,1.24,0.83,0.41,Compra
2024-11-18,1.28,0.92,0.36,Compra
2024-11-19,1.26,0.99,0.27,Compra
2024-11-20,1.21,1.03,0.18,Compra
2024-11-21,1.33,1.09,0.24,Compra
2024-11-22,1.37,1.15,0.22,Compra
2024-11-25,1.51,1.22,0.29,Compra
2024-11-26,1.50,1.28,0.22,Compra
2024-11-27,1.66,1.35,0.31,Compra
2024-11-29,1.74,1.43,0.31,Compra
2024-12-02,1.80,1.50,0.30,Compra
2024-12-03,1.82,1.57,0.25,Compra
2024-12-04,1.99,1.65,0.34,Compra
2024-12-05,2.05,1.73,0.32,Compra
2024-12-06,2.22,1.83,0.39,Compra
2024-12-09,2.14,1.89,0.25,Compra
2024-12-10,1.99,1.91,0.08,Compra
2024-12-11,1.97,1.92,0.05,Compra
2024-12-12,1.96,1.93,0.03,Compra
2024-12-13,1.95,1.93,0.02,Compra
2024-12-16,2.00,1.95,0.05,Compra
2024-12-17,1.94,1.95,-0.01,Venda
2024-12-18,1.73,1.90,-0.17,Venda
2024-12-19,1.35,1.79,-0.44,Venda
2024-12-20,1.08,1.65,-0.57,Venda
2024-12-23,0.83,1.49,-0.66,Venda
2024-12-24,0.69,1.33,-0.64,Venda
2024-12-26,0.46,1.15,-0.69,Venda
2024-12-27,0.28,0.98,-0.70,Venda
2024-12-30,0.17,0.82,-0.65,Venda
2024-12-31,0.05,0.66,-0.61,Venda
2025-01-02,0.03,0.54,-0.51,Venda
2025-01-03,0.11,0.45,-0.34,Venda
2025-01-06,0.21,0.40,-0.19,Venda
2025-01-07,0.11,0.34,-0.23,Venda
2025-01-08,-0.04,0.27,-0.31,Venda
2025-01-10,-0.17,0.18,-0.35,Venda
2025-01-13,-0.37,0.07,-0.44,Venda
2025-01-14,-0.44,-0.03,-0.41,Venda
2025-01-15,-0.36,-0.10,-0.26,Venda
2025-01-16,-0.35,-0.15,-0.20,Venda
2025-01-17,-0.23,-0.16,-0.07,Venda
2025-01-21,-0.26,-0.18,-0.08,Venda
2025-01-22,-0.32,-0.21,-0.11,Venda
