Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2025-01-02,0.00,0.00,0.00,Neutro
2025-01-03,0.83,0.17,0.66,Compra
2025-01-06,1.27,0.39,0.88,Compra
2025-01-07,1.53,0.62,0.91,Compra
2025-01-08,1.38,0.77,0.61,Compra
2025-01-10,1.30,0.87,0.43,Compra
2025-01-13,1.59,1.02,0.57,Compra
2025-01-14,1.63,1.14,0.49,Compra
2025-01-15,2.05,1.32,0.73,Compra
2025-01-16,2.81,1.62,1.19,Compra
2025-01-17,3.21,1.94,1.27,Compra
2025-01-21,3.35,2.22,1.13,Compra
2025-01-22,3.22,2.42,0.80,Compra
2025-01-23,3.18,2.57,0.61,Compra
2025-01-24,2.75,2.61,0.14,Compra
2025-01-27,2.20,2.53,-0.33,Venda
2025-01-28,1.80,2.38,-0.58,Venda
2025-01-29,1.57,2.22,-0.65,Venda
2025-01-30,0.65,1.91,-1.26,Venda
2025-01-31,-0.10,1.50,-1.60,Venda
2025-02-03,-0.98,1.01,-1.99,Venda
2025-02-04,-1.27,0.55,-1.82,Venda
2025-02-05,-1.06,0.23,-1.29,Venda
2025-02-06,-1.01,-0.02,-0.99,Venda
2025-02-07,-0.58,-0.13,-0.45,Venda
2025-02-10,-0.29,-0.16,-0.13,Venda
2025-02-11,-0.35,-0.20,-0.15,Venda
2025-02-12,1.34,0.11,1.23,Compra
2025-02-13,6.51,1.39,5.12,Compra
2025-02-14,19.82,5.07,14.75,Compra
2025-02-18,13.51,6.76,6.75,Compra
2025-02-19,8.11,7.03,1.08,Compra
2025-02-20,3.28,6.28,-3.00,Venda
2025-02-21,-0.95,4.83,-5.78,Venda
2025-02-24,-4.56,2.96,-7.52,Venda
2025-02-25,-7.58,0.85,-8.43,Venda
2025-02-26,-9.92,-1.31,-8.61,Venda
2025-02-27,-11.86,-3.42,-8.44,Venda
2025-02-28,-13.37,-5.41,-7.96,Venda
2025-03-03,-14.33,-7.19,-7.14,Venda
2025-03-04,-14.88,-8.73,-6.15,Venda
2025-03-05,-15.15,-10.01,-5.14,Venda
2025-03-06,-15.12,-11.03,-4.09,Venda
2025-03-07,-14.88,-11.80,-3.08,Venda
2025-03-10,-15.07,-12.46,-2.61,Venda
2025-03-11,-14.81,-12.93,-1.88,Venda
2025-03-12,-14.34,-13.21,-1.13,Venda
2025-03-13,-13.89,-13.35,-0.54,Venda
2025-03-14,-13.30,-13.34,0.04,Compra
2025-03-17,-12.61,-13.19,0.58,Compra
2025-03-18,-11.90,-12.93,1.03,Compra
2025-03-19,-10.92,-12.53,1.61,Compra
2025-03-20,-9.65,-11.95,2.30,Compra
2025-03-21,-8.91,-11.35,2.44,Compra
2025-03-24,-8.29,-10.73,2.44,Compra
2025-03-25,-8.02,-10.19,2.17,Compra
2025-03-26,-7.77,-9.71,1.94,Compra
2025-03-27,-7.57,-9.28,1.71,Compra
