Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2016-01-04,0.00,0.00,0.00,Neutro
2016-01-05,-0.10,-0.02,-0.08,Venda
2016-01-06,-0.34,-0.08,-0.26,Venda
2016-01-07,-0.89,-0.25,-0.64,Venda
2016-01-08,-1.29,-0.45,-0.84,Venda
2016-01-11,-1.99,-0.76,-1.23,Venda
2016-01-12,-2.33,-1.08,-1.25,Venda
2016-01-13,-2.92,-1.44,-1.48,Venda
2016-01-14,-3.36,-1.83,-1.53,Venda
2016-01-15,-3.62,-2.19,-1.43,Venda
2016-01-19,-4.06,-2.56,-1.50,Venda
2016-01-20,-4.30,-2.91,-1.39,Venda
2016-01-21,-4.36,-3.20,-1.16,Venda
2016-01-22,-4.35,-3.43,-0.92,Venda
2016-01-25,-4.23,-3.59,-0.64,Venda
2016-01-26,-3.99,-3.67,-0.32,Venda
2016-01-27,-3.63,-3.66,0.03,Compra
2016-01-28,-2.92,-3.51,0.59,Compra
2016-01-29,-1.46,-3.10,1.64,Compra
2016-02-01,-0.26,-2.53,2.27,Compra
2016-02-02,0.47,-1.93,2.40,Compra
2016-02-03,0.59,-1.43,2.02,Compra
2016-02-04,0.89,-0.96,1.85,Compra
2016-02-05,0.88,-0.60,1.48,Compra
2016-02-08,0.85,-0.31,1.16,Compra
2016-02-09,0.66,-0.11,0.77,Compra
2016-02-10,0.45,-0.00,0.45,Compra
2016-02-11,0.67,0.13,0.54,Compra
2016-02-12,0.91,0.29,0.62,Compra
2016-02-16,1.38,0.51,0.87,Compra
2016-02-17,2.07,0.82,1.25,Compra
2016-02-18,2.13,1.08,1.05,Compra
2016-02-19,2.15,1.30,0.85,Compra
2016-02-22,2.37,1.51,0.86,Compra
2016-02-23,2.28,1.66,0.62,Compra
2016-02-24,2.20,1.77,0.43,Compra
2016-02-25,2.13,1.84,0.29,Compra
2016-02-26,2.08,1.89,0.19,Compra
2016-02-29,1.82,1.88,-0.06,Venda
2016-03-01,1.87,1.88,-0.01,Venda
2016-03-02,2.25,1.95,0.30,Compra
2016-03-03,2.60,2.08,0.52,Compra
2016-03-04,2.80,2.22,0.58,Compra
2016-03-07,3.39,2.46,0.93,Compra
2016-03-08,3.25,2.62,0.63,Compra
2016-03-09,3.22,2.74,0.48,Compra
2016-03-10,2.86,2.76,0.10,Compra
2016-03-11,2.71,2.75,-0.04,Venda
2016-03-14,2.38,2.68,-0.30,Venda
2016-03-15,1.95,2.53,-0.58,Venda
2016-03-16,1.63,2.35,-0.72,Venda
2016-03-17,1.75,2.23,-0.48,Venda
2016-03-18,1.96,2.18,-0.22,Venda
2016-03-21,2.22,2.19,0.03,Compra
2016-03-22,2.97,2.34,0.63,Compra
2016-03-23,3.31,2.54,0.77,Compra
2016-03-24,3.81,2.79,1.02,Compra
2016-03-28,4.26,3.08,1.18,Compra
2016-03-29,4.69,3.41,1.28,Compra
2016-03-30,5.44,3.81,1.63,Compra
2016-03-31,6.04,4.26,1.78,Compra
2016-04-01,6.96,4.80,2.16,Compra
2016-04-04,7.99,5.44,2.55,Compra
2016-04-05,7.98,5.95,2.03,Compra
