Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2025-06-24,0.00,0.00,0.00,Neutro
2025-06-25,1.26,0.25,1.01,Compra
2025-06-26,0.56,0.31,0.25,Compra
2025-06-27,0.35,0.32,0.03,Compra
2025-06-30,-1.16,0.02,-1.18,Venda
2025-07-01,-1.23,-0.23,-1.00,Venda
2025-07-02,-3.42,-0.86,-2.56,Venda
2025-07-03,-4.98,-1.69,-3.29,Venda
2025-07-07,-6.41,-2.63,-3.78,Venda
2025-07-08,-7.46,-3.60,-3.86,Venda
2025-07-09,-8.36,-4.55,-3.81,Venda
2025-07-10,-9.08,-5.46,-3.62,Venda
2025-07-11,-8.32,-6.03,-2.29,Venda
2025-07-14,-7.87,-6.40,-1.47,Venda
2025-07-15,-7.04,-6.53,-0.51,Venda
2025-07-16,-7.14,-6.65,-0.49,Venda
2025-07-17,-7.57,-6.83,-0.74,Venda
2025-07-18,-8.33,-7.13,-1.20,Venda
2025-07-21,-8.27,-7.36,-0.91,Venda
2025-07-22,-7.40,-7.37,-0.03,Venda
2025-07-23,-7.07,-7.31,0.24,Compra
2025-07-24,-6.98,-7.24,0.26,Compra
2025-07-25,-6.60,-7.11,0.51,Compra
2025-07-28,-5.96,-6.88,0.92,Compra
2025-07-29,-4.76,-6.46,1.70,Compra
2025-07-30,-3.48,-5.86,2.38,Compra
2025-07-31,-2.40,-5.17,2.77,Compra
2025-08-01,-0.82,-4.30,3.48,Compra
2025-08-04,-0.42,-3.52,3.10,Compra
2025-08-05,-1.00,-3.02,2.02,Compra
2025-08-06,-1.16,-2.65,1.49,Compra
2025-08-07,-0.99,-2.32,1.33,Compra
2025-08-08,-1.39,-2.13,0.74,Compra
2025-08-11,-2.77,-2.26,-0.51,Venda
2025-08-12,-3.30,-2.47,-0.83,Venda
2025-08-13,-3.10,-2.59,-0.51,Venda
2025-08-14,-2.86,-2.65,-0.21,Venda
2025-08-15,-2.35,-2.59,0.24,Compra
2025-08-18,-1.95,-2.46,0.51,Compra
2025-08-19,-0.26,-2.02,1.76,Compra
2025-08-20,1.09,-1.40,2.49,Compra
2025-08-21,1.96,-0.73,2.69,Compra
2025-08-22,1.33,-0.32,1.65,Compra
2025-08-25,1.25,-0.00,1.25,Compra
2025-08-26,0.29,0.06,0.23,Compra
2025-08-27,-0.70,-0.09,-0.61,Venda
2025-08-28,-2.08,-0.49,-1.59,Venda
2025-08-29,-3.02,-1.00,-2.02,Venda
2025-09-02,-3.77,-1.55,-2.22,Venda
2025-09-03,-3.73,-1.99,-1.74,Venda
2025-09-04,-4.04,-2.40,-1.64,Venda
2025-09-05,-4.14,-2.75,-1.39,Venda
2025-09-08,-3.91,-2.98,-0.93,Venda
2025-09-09,-4.69,-3.32,-1.37,Venda
2025-09-10,-5.24,-3.71,-1.53,Venda
2025-09-11,-6.47,-4.26,-2.21,Venda
2025-09-12,-9.23,-5.25,-3.98,Venda
2025-09-15,-11.73,-6.55,-5.18,Venda
2025-09-16,-13.87,-8.01,-5.86,Venda
2025-09-17,-15.65,-9.54,-6.11,Venda
2025-09-18,-16.97,-11.03,-5.94,Venda
2025-09-19,-18.04,-12.43,-5.61,Venda
2025-09-22,-18.77,-13.70,-5.07,Venda
2025-09-23,-19.29,-14.82,-4.47,Venda
2025-09-24,-19.42,-15.74,-3.68,Venda
2025-09-25,-19.10,-16.41,-2.69,Venda
2025-09-26,-18.51,-16.83,-1.68,Venda
2025-09-29,-17.66,-17.00,-0.66,Venda
2025-09-30,-16.60,-16.92,0.32,Compra
2025-10-01,-15.72,-16.68,0.96,Compra
2025-10-02,-15.32,-16.41,1.09,Compra
2025-10-03,-15.05,-16.13,1.08,Compra
2025-10-06,-14.91,-15.89,0.98,Compra
2025-10-07,-14.65,-15.64,0.99,Compra
2025-10-08,-14.12,-15.34,1.22,Compra
2025-10-09,-13.67,-15.00,1.33,Compra
2025-10-10,-12.93,-14.59,1.66,Compra
