Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2025-09-10,0.00,0.00,0.00,Neutro
2025-09-11,0.02,0.00,0.02,Compra
2025-09-12,0.01,0.01,0.00,Neutro
2025-09-15,0.07,0.02,0.05,Compra
2025-09-16,0.09,0.03,0.06,Compra
2025-09-17,0.09,0.04,0.05,Compra
2025-09-18,0.09,0.05,0.04,Compra
2025-09-19,0.13,0.07,0.06,Compra
2025-09-22,0.21,0.10,0.11,Compra
2025-09-23,0.27,0.13,0.14,Compra
2025-09-24,0.31,0.17,0.14,Compra
2025-09-25,0.35,0.20,0.15,Compra
2025-09-26,0.39,0.24,0.15,Compra
2025-09-29,0.44,0.28,0.16,Compra
2025-09-30,0.47,0.32,0.15,Compra
2025-10-01,0.50,0.35,0.15,Compra
2025-10-02,0.53,0.39,0.14,Compra
2025-10-03,0.56,0.42,0.14,Compra
2025-10-06,0.60,0.46,0.14,Compra
2025-10-07,0.62,0.49,0.13,Compra
2025-10-08,0.70,0.53,0.17,Compra
2025-10-09,0.71,0.57,0.14,Compra
2025-10-10,0.68,0.59,0.09,Compra
2025-10-13,0.77,0.63,0.14,Compra
2025-10-14,0.82,0.67,0.15,Compra
2025-10-15,0.88,0.71,0.17,Compra
2025-10-16,0.92,0.75,0.17,Compra
2025-10-17,0.81,0.76,0.05,Compra
2025-10-20,0.77,0.76,0.01,Compra
2025-10-21,0.59,0.73,-0.14,Venda
2025-10-22,0.44,0.67,-0.23,Venda
2025-10-23,0.34,0.61,-0.27,Venda
2025-10-24,0.28,0.54,-0.26,Venda
2025-10-27,0.18,0.47,-0.29,Venda
2025-10-28,0.16,0.41,-0.25,Venda
2025-10-29,0.18,0.36,-0.18,Venda
2025-10-30,0.19,0.33,-0.14,Venda
2025-10-31,0.19,0.30,-0.11,Venda
2025-11-03,0.14,0.27,-0.13,Venda
2025-11-04,0.01,0.22,-0.21,Venda
2025-11-05,-0.06,0.16,-0.22,Venda
2025-11-06,-0.16,0.10,-0.26,Venda
2025-11-07,-0.21,0.04,-0.25,Venda
2025-11-10,-0.16,-0.00,-0.16,Venda
2025-11-11,-0.15,-0.03,-0.12,Venda
2025-11-12,-0.10,-0.05,-0.05,Venda
2025-11-13,-0.12,-0.06,-0.06,Venda
2025-11-14,-0.13,-0.07,-0.06,Venda
2025-11-17,-0.15,-0.09,-0.06,Venda
2025-11-18,-0.17,-0.11,-0.06,Venda
2025-11-19,-0.13,-0.11,-0.02,Venda
2025-11-20,-0.19,-0.13,-0.06,Venda
2025-11-21,-0.24,-0.15,-0.09,Venda
2025-11-24,-0.21,-0.16,-0.05,Venda
2025-11-25,-0.15,-0.16,0.01,Compra
2025-11-26,-0.03,-0.13,0.10,Compra
2025-11-28,0.13,-0.08,0.21,Compra
2025-12-01,0.23,-0.02,0.25,Compra
2025-12-02,0.30,0.05,0.25,Compra
2025-12-03,0.40,0.12,0.28,Compra
2025-12-04,0.48,0.19,0.29,Compra
2025-12-05,0.53,0.26,0.27,Compra
2025-12-08,0.52,0.31,0.21,Compra
2025-12-09,0.55,0.36,0.19,Compra
2025-12-10,0.59,0.40,0.19,Compra
2025-12-11,0.67,0.46,0.21,Compra
2025-12-12,0.68,0.50,0.18,Compra
2025-12-15,0.66,0.53,0.13,Compra
2025-12-16,0.63,0.55,0.08,Compra
2025-12-17,0.60,0.56,0.04,Compra
2025-12-18,0.57,0.56,0.01,Compra
2025-12-19,0.61,0.57,0.04,Compra
2025-12-22,0.70,0.60,0.10,Compra
2025-12-23,0.78,0.63,0.15,Compra
