Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2025-03-28,0.00,0.00,0.00,Neutro
2025-03-31,-2.25,-0.45,-1.80,Venda
2025-04-01,-4.63,-1.29,-3.34,Venda
2025-04-02,-6.44,-2.32,-4.12,Venda
2025-04-03,-7.09,-3.27,-3.82,Venda
2025-04-04,-7.42,-4.10,-3.32,Venda
2025-04-07,-8.01,-4.88,-3.13,Venda
2025-04-08,-8.40,-5.59,-2.81,Venda
2025-04-09,-8.37,-6.14,-2.23,Venda
2025-04-10,-8.55,-6.62,-1.93,Venda
2025-04-11,-8.39,-6.98,-1.41,Venda
2025-04-14,-8.08,-7.20,-0.88,Venda
2025-04-15,-3.13,-6.38,3.25,Compra
2025-04-16,-2.53,-5.61,3.08,Compra
2025-04-17,-2.93,-5.08,2.15,Compra
2025-04-21,-4.28,-4.92,0.64,Compra
2025-04-22,-3.96,-4.73,0.77,Compra
2025-04-23,-3.14,-4.41,1.27,Compra
2025-04-24,-3.48,-4.22,0.74,Compra
2025-04-25,-4.21,-4.22,0.01,Compra
2025-04-28,-6.80,-4.74,-2.06,Venda
2025-04-29,-8.74,-5.54,-3.20,Venda
2025-04-30,-10.62,-6.55,-4.07,Venda
2025-05-01,-12.40,-7.72,-4.68,Venda
2025-05-02,-13.74,-8.93,-4.81,Venda
2025-05-05,-14.65,-10.07,-4.58,Venda
2025-05-06,-15.90,-11.24,-4.66,Venda
2025-05-07,-17.21,-12.43,-4.78,Venda
2025-05-08,-18.13,-13.57,-4.56,Venda
2025-05-09,-18.38,-14.53,-3.85,Venda
2025-05-12,-17.76,-15.18,-2.58,Venda
2025-05-13,-16.06,-15.35,-0.71,Venda
2025-05-14,-15.25,-15.33,0.08,Compra
2025-05-15,-14.27,-15.12,0.85,Compra
2025-05-16,-13.03,-14.70,1.67,Compra
2025-05-19,-12.07,-14.18,2.11,Compra
2025-05-20,-10.30,-13.40,3.10,Compra
2025-05-21,-8.17,-12.35,4.18,Compra
2025-05-22,-7.04,-11.29,4.25,Compra
2025-05-23,-6.26,-10.29,4.03,Compra
2025-05-27,-5.13,-9.25,4.12,Compra
2025-05-28,-5.04,-8.41,3.37,Compra
2025-05-29,-5.31,-7.79,2.48,Compra
2025-05-30,-5.56,-7.34,1.78,Compra
2025-06-02,-6.07,-7.09,1.02,Compra
2025-06-03,-5.51,-6.77,1.26,Compra
2025-06-04,-5.24,-6.47,1.23,Compra
2025-06-05,-4.91,-6.16,1.25,Compra
2025-06-06,-4.92,-5.91,0.99,Compra
