Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2024-05-21,0.00,0.00,0.00,Neutro
2024-05-22,-0.02,-0.00,-0.02,Venda
2024-05-23,-0.05,-0.01,-0.04,Venda
2024-05-24,-0.07,-0.02,-0.05,Venda
2024-05-28,-0.08,-0.04,-0.04,Venda
2024-05-29,-0.11,-0.05,-0.06,Venda
2024-05-30,-0.12,-0.06,-0.06,Venda
2024-05-31,-0.12,-0.08,-0.04,Venda
2024-06-03,-0.07,-0.07,0.00,Neutro
2024-06-04,-0.02,-0.06,0.04,Compra
2024-06-05,0.05,-0.04,0.09,Compra
2024-06-06,0.10,-0.01,0.11,Compra
2024-06-07,0.13,0.02,0.11,Compra
2024-06-10,0.16,0.04,0.12,Compra
2024-06-11,0.17,0.07,0.10,Compra
2024-06-12,0.18,0.09,0.09,Compra
2024-06-13,0.20,0.11,0.09,Compra
2024-06-14,0.21,0.13,0.08,Compra
2024-06-17,0.20,0.15,0.05,Compra
2024-06-18,0.19,0.15,0.04,Compra
2024-06-20,0.18,0.16,0.02,Compra
2024-06-21,0.20,0.17,0.03,Compra
2024-06-24,0.24,0.18,0.06,Compra
2024-06-25,0.30,0.21,0.09,Compra
2024-06-26,0.30,0.22,0.08,Compra
2024-06-27,0.32,0.24,0.08,Compra
2024-06-28,0.32,0.26,0.06,Compra
2024-07-01,0.36,0.28,0.08,Compra
2024-07-02,0.35,0.29,0.06,Compra
2024-07-03,0.33,0.30,0.03,Compra
2024-07-05,0.35,0.31,0.04,Compra
2024-07-08,0.38,0.32,0.06,Compra
2024-07-09,0.40,0.34,0.06,Compra
2024-07-10,0.44,0.36,0.08,Compra
2024-07-11,0.48,0.38,0.10,Compra
2024-07-12,0.55,0.42,0.13,Compra
2024-07-15,0.60,0.45,0.15,Compra
2024-07-16,0.64,0.49,0.15,Compra
2024-07-17,0.59,0.51,0.08,Compra
2024-07-18,0.48,0.50,-0.02,Venda
2024-07-19,0.39,0.48,-0.09,Venda
2024-07-22,0.34,0.45,-0.11,Venda
2024-07-23,0.31,0.42,-0.11,Venda
2024-07-24,0.26,0.39,-0.13,Venda
2024-07-25,0.22,0.36,-0.14,Venda
2024-07-26,0.19,0.32,-0.13,Venda
2024-07-29,0.15,0.29,-0.14,Venda
2024-07-30,0.10,0.25,-0.15,Venda
2024-07-31,0.09,0.22,-0.13,Venda
2024-08-01,0.08,0.19,-0.11,Venda
2024-08-02,0.03,0.16,-0.13,Venda
2024-08-05,-0.07,0.11,-0.18,Venda
2024-08-06,-0.12,0.07,-0.19,Venda
2024-08-07,-0.21,0.01,-0.22,Venda
2024-08-08,-0.19,-0.03,-0.16,Venda
2024-08-09,-0.13,-0.05,-0.08,Venda
2024-08-12,-0.09,-0.06,-0.03,Venda
2024-08-13,-0.02,-0.05,0.03,Compra
2024-08-14,0.05,-0.03,0.08,Compra
2024-08-15,0.13,0.00,0.13,Compra
2024-08-16,0.20,0.04,0.16,Compra
2024-08-19,0.29,0.09,0.20,Compra
2024-08-20,0.37,0.15,0.22,Compra
2024-08-21,0.42,0.20,0.22,Compra
2024-08-22,0.46,0.25,0.21,Compra
2024-08-23,0.49,0.30,0.19,Compra
2024-08-26,0.51,0.34,0.17,Compra
2024-08-27,0.51,0.38,0.13,Compra
2024-08-28,0.49,0.40,0.09,Compra
2024-08-29,0.48,0.42,0.06,Compra
2024-08-30,0.49,0.43,0.06,Compra
2024-09-03,0.43,0.43,0.00,Neutro
2024-09-04,0.38,0.42,-0.04,Venda
2024-09-05,0.29,0.39,-0.10,Venda
2024-09-06,0.20,0.36,-0.16,Venda
2024-09-09,0.14,0.31,-0.17,Venda
2024-09-10,0.11,0.27,-0.16,Venda
2024-09-11,0.13,0.24,-0.11,Venda
2024-09-12,0.15,0.22,-0.07,Venda
2024-09-13,0.18,0.22,-0.04,Venda
2024-09-16,0.21,0.21,0.00,Neutro
2024-09-17,0.20,0.21,-0.01,Venda
2024-09-18,0.18,0.21,-0.03,Venda
2024-09-19,0.20,0.20,0.00,Neutro
2024-09-20,0.20,0.20,0.00,Neutro
2024-09-23,0.16,0.19,-0.03,Venda
2024-09-24,0.14,0.18,-0.04,Venda
2024-09-25,0.12,0.17,-0.05,Venda
2024-09-26,0.10,0.16,-0.06,Venda
2024-09-27,0.04,0.13,-0.09,Venda
2024-09-30,-0.00,0.11,-0.11,Venda
2024-10-01,-0.06,0.07,-0.13,Venda
2024-10-02,-0.10,0.04,-0.14,Venda
2024-10-03,-0.16,-0.00,-0.16,Venda
