Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2025-11-18,0.00,0.00,0.00,Neutro
2025-11-19,-0.55,-0.11,-0.44,Venda
2025-11-20,1.45,0.20,1.25,Compra
2025-11-21,2.35,0.63,1.72,Compra
2025-11-24,1.50,0.81,0.69,Compra
2025-11-25,0.78,0.80,-0.02,Venda
2025-11-26,0.61,0.76,-0.15,Venda
2025-11-28,0.32,0.67,-0.35,Venda
2025-12-01,1.17,0.77,0.40,Compra
2025-12-02,0.78,0.77,0.01,Compra
2025-12-03,-1.28,0.36,-1.64,Venda
2025-12-04,-5.24,-0.76,-4.48,Venda
2025-12-05,-8.20,-2.25,-5.95,Venda
2025-12-08,-11.28,-4.05,-7.23,Venda
2025-12-09,-14.17,-6.08,-8.09,Venda
2025-12-10,-17.45,-8.35,-9.10,Venda
2025-12-11,-21.13,-10.91,-10.22,Venda
2025-12-12,-23.47,-13.42,-10.05,Venda
2025-12-15,-23.98,-15.53,-8.45,Venda
2025-12-16,-24.11,-17.25,-6.86,Venda
2025-12-17,-23.59,-18.52,-5.07,Venda
2025-12-18,-24.39,-19.69,-4.70,Venda
2025-12-19,-26.62,-21.08,-5.54,Venda
2025-12-22,-28.75,-22.61,-6.14,Venda
2025-12-23,-30.06,-24.10,-5.96,Venda
2025-12-24,-30.75,-25.43,-5.32,Venda
2025-12-26,-30.47,-26.44,-4.03,Venda
2025-12-29,-29.86,-27.12,-2.74,Venda
2025-12-30,-29.08,-27.51,-1.57,Venda
2025-12-31,-28.08,-27.63,-0.45,Venda
2026-01-02,-27.54,-27.61,0.07,Compra
2026-01-05,-26.97,-27.48,0.51,Compra
2026-01-06,-26.73,-27.33,0.60,Compra
2026-01-07,-26.15,-27.10,0.95,Compra
2026-01-08,-25.35,-26.75,1.40,Compra
2026-01-09,-24.53,-26.30,1.77,Compra
2026-01-12,-23.76,-25.79,2.03,Compra
2026-01-13,-22.82,-25.20,2.38,Compra
2026-01-14,-22.06,-24.57,2.51,Compra
2026-01-15,-21.18,-23.89,2.71,Compra
2026-01-16,-20.47,-23.21,2.74,Compra
2026-01-20,-19.45,-22.46,3.01,Compra
2026-01-21,-18.39,-21.64,3.25,Compra
2026-01-22,-17.35,-20.78,3.43,Compra
2026-01-23,-16.38,-19.90,3.52,Compra
2026-01-26,-15.09,-18.94,3.85,Compra
2026-01-27,-14.26,-18.00,3.74,Compra
2026-01-28,-13.51,-17.11,3.60,Compra
2026-01-29,-12.66,-16.22,3.56,Compra
2026-01-30,-11.61,-15.30,3.69,Compra
2026-02-02,-10.36,-14.31,3.95,Compra
2026-02-03,-9.72,-13.39,3.67,Compra
2026-02-04,-8.72,-12.46,3.74,Compra
2026-02-05,-7.41,-11.45,4.04,Compra
2026-02-06,-6.80,-10.52,3.72,Compra
2026-02-09,-6.46,-9.71,3.25,Compra
2026-02-10,-5.92,-8.95,3.03,Compra
2026-02-11,-5.29,-8.22,2.93,Compra
2026-02-12,-4.49,-7.47,2.98,Compra
2026-02-13,-3.93,-6.76,2.83,Compra
2026-02-17,-3.64,-6.14,2.50,Compra
2026-02-18,-3.66,-5.64,1.98,Compra
2026-02-19,-3.75,-5.26,1.51,Compra
2026-02-20,-3.51,-4.91,1.40,Compra
2026-02-23,-3.23,-4.58,1.35,Compra
2026-02-24,-2.96,-4.25,1.29,Compra
2026-02-25,-2.74,-3.95,1.21,Compra
2026-02-26,-2.70,-3.70,1.00,Compra
2026-02-27,-2.44,-3.45,1.01,Compra
2026-03-02,-2.34,-3.23,0.89,Compra
2026-03-03,-2.18,-3.02,0.84,Compra
2026-03-04,-2.14,-2.84,0.70,Compra
2026-03-05,-1.98,-2.67,0.69,Compra
2026-03-06,-1.85,-2.51,0.66,Compra
2026-03-09,-1.81,-2.37,0.56,Compra
2026-03-10,-1.61,-2.22,0.61,Compra
2026-03-11,-1.63,-2.10,0.47,Compra
2026-03-12,-1.42,-1.96,0.54,Compra
2026-03-13,-1.27,-1.82,0.55,Compra
2026-03-16,-1.31,-1.72,0.41,Compra
2026-03-17,-1.74,-1.72,-0.02,Venda
2026-03-18,-1.69,-1.72,0.03,Compra
2026-03-19,-1.77,-1.73,-0.04,Venda
2026-03-20,-1.58,-1.70,0.12,Compra
2026-03-23,-1.45,-1.65,0.20,Compra
2026-03-24,-1.23,-1.57,0.34,Compra
2026-03-25,-1.47,-1.55,0.08,Compra
2026-03-26,-1.33,-1.50,0.17,Compra
2026-03-27,-0.92,-1.39,0.47,Compra
2026-03-30,-0.31,-1.17,0.86,Compra
2026-03-31,-0.44,-1.02,0.58,Compra
2026-04-01,-0.62,-0.94,0.32,Compra
2026-04-02,-0.89,-0.93,0.04,Compra
2026-04-06,-1.07,-0.96,-0.11,Venda
2026-04-07,-1.17,-1.00,-0.17,Venda
2026-04-08,-1.37,-1.08,-0.29,Venda
2026-04-09,-1.42,-1.14,-0.28,Venda
2026-04-10,-1.50,-1.22,-0.28,Venda
2026-04-13,-1.69,-1.31,-0.38,Venda
2026-04-14,-1.90,-1.43,-0.47,Venda
2026-04-15,-2.09,-1.56,-0.53,Venda
2026-04-16,-2.56,-1.76,-0.80,Venda
2026-04-17,-2.95,-2.00,-0.95,Venda
2026-04-20,-3.34,-2.27,-1.07,Venda
2026-04-21,-3.55,-2.52,-1.03,Venda
2026-04-22,-3.75,-2.77,-0.98,Venda
2026-04-23,-3.76,-2.97,-0.79,Venda
2026-04-24,-3.61,-3.10,-0.51,Venda
2026-04-27,-3.53,-3.18,-0.35,Venda
2026-04-28,-3.33,-3.21,-0.12,Venda
2026-04-29,-3.10,-3.19,0.09,Compra
2026-04-30,-3.04,-3.16,0.12,Compra
2026-05-01,-2.88,-3.10,0.22,Compra
2026-05-04,-2.76,-3.03,0.27,Compra
2026-05-05,-2.59,-2.95,0.36,Compra
2026-05-06,-2.59,-2.87,0.28,Compra
2026-05-07,-2.44,-2.79,0.35,Compra
2026-05-08,-2.99,-2.83,-0.16,Venda
2026-05-11,-3.46,-2.95,-0.51,Venda
2026-05-12,-3.79,-3.12,-0.67,Venda
2026-05-13,-4.04,-3.31,-0.73,Venda
2026-05-14,-4.22,-3.49,-0.73,Venda
2026-05-15,-4.28,-3.65,-0.63,Venda
2026-05-18,-4.31,-3.78,-0.53,Venda
2026-05-19,-4.27,-3.88,-0.39,Venda
2026-05-20,-4.21,-3.94,-0.27,Venda
2026-05-21,-4.10,-3.98,-0.12,Venda
2026-05-22,-3.99,-3.98,-0.01,Venda
2026-05-26,-3.88,-3.96,0.08,Compra
2026-05-27,-3.77,-3.92,0.15,Compra
2026-05-28,-3.63,-3.86,0.23,Compra
2026-05-29,-3.48,-3.79,0.31,Compra
2026-06-01,-3.27,-3.68,0.41,Compra
2026-06-02,-3.08,-3.56,0.48,Compra
2026-06-03,-2.86,-3.42,0.56,Compra
2026-06-04,-2.68,-3.27,0.59,Compra
2026-06-05,-2.48,-3.11,0.63,Compra
2026-06-08,-2.30,-2.95,0.65,Compra
2026-06-09,-2.12,-2.79,0.67,Compra
2026-06-10,-1.94,-2.62,0.68,Compra
2026-06-11,-1.82,-2.46,0.64,Compra
2026-06-12,-1.67,-2.30,0.63,Compra
2026-06-15,-1.56,-2.15,0.59,Compra
2026-06-16,-1.44,-2.01,0.57,Compra
2026-06-17,-1.34,-1.88,0.54,Compra
2026-06-18,-1.25,-1.75,0.50,Compra
2026-06-22,-1.14,-1.63,0.49,Compra
2026-06-23,-1.01,-1.50,0.49,Compra
