Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2024-12-05,0.00,0.00,0.00,Neutro
2024-12-06,-0.00,0.00,-0.00,Neutro
2024-12-09,-0.05,-0.01,-0.04,Venda
2024-12-10,-0.11,-0.03,-0.08,Venda
2024-12-11,-0.12,-0.05,-0.07,Venda
2024-12-12,-0.16,-0.07,-0.09,Venda
2024-12-13,-0.19,-0.09,-0.10,Venda
2024-12-16,-0.19,-0.11,-0.08,Venda
2024-12-17,-0.22,-0.13,-0.09,Venda
2024-12-18,-0.32,-0.17,-0.15,Venda
2024-12-19,-0.39,-0.22,-0.17,Venda
2024-12-20,-0.41,-0.25,-0.16,Venda
2024-12-23,-0.44,-0.29,-0.15,Venda
2024-12-24,-0.43,-0.32,-0.11,Venda
2024-12-26,-0.42,-0.34,-0.08,Venda
2024-12-27,-0.43,-0.36,-0.07,Venda
2024-12-30,-0.45,-0.38,-0.07,Venda
2024-12-31,-0.47,-0.39,-0.08,Venda
2025-01-02,-0.47,-0.41,-0.06,Venda
2025-01-03,-0.42,-0.41,-0.01,Venda
2025-01-06,-0.35,-0.40,0.05,Compra
2025-01-07,-0.32,-0.38,0.06,Compra
2025-01-08,-0.30,-0.37,0.07,Compra
2025-01-10,-0.32,-0.36,0.04,Compra
2025-01-13,-0.34,-0.35,0.01,Compra
2025-01-14,-0.31,-0.35,0.04,Compra
2025-01-15,-0.25,-0.33,0.08,Compra
2025-01-16,-0.19,-0.30,0.11,Compra
2025-01-17,-0.12,-0.26,0.14,Compra
2025-01-21,0.01,-0.21,0.22,Compra
2025-01-22,0.13,-0.14,0.27,Compra
2025-01-23,0.23,-0.07,0.30,Compra
2025-01-24,0.29,0.00,0.29,Compra
2025-01-27,0.12,0.03,0.09,Compra
2025-01-28,-0.01,0.02,-0.03,Venda
2025-01-29,-0.10,-0.00,-0.10,Venda
2025-01-30,-0.13,-0.03,-0.10,Venda
2025-01-31,-0.16,-0.06,-0.10,Venda
2025-02-03,-0.22,-0.09,-0.13,Venda
2025-02-04,-0.27,-0.12,-0.15,Venda
2025-02-05,-0.27,-0.15,-0.12,Venda
2025-02-06,-0.26,-0.17,-0.09,Venda
2025-02-07,-0.25,-0.19,-0.06,Venda
2025-02-10,-0.22,-0.20,-0.02,Venda
2025-02-11,-0.23,-0.20,-0.03,Venda
2025-02-12,-0.25,-0.21,-0.04,Venda
2025-02-13,-0.25,-0.22,-0.03,Venda
2025-02-14,-0.26,-0.23,-0.03,Venda
2025-02-18,-0.24,-0.23,-0.01,Venda
2025-02-19,-0.22,-0.23,0.01,Compra
2025-02-20,-0.22,-0.23,0.01,Compra
2025-02-21,-0.27,-0.24,-0.03,Venda
2025-02-24,-0.34,-0.26,-0.08,Venda
2025-02-25,-0.39,-0.28,-0.11,Venda
2025-02-26,-0.39,-0.30,-0.09,Venda
2025-02-27,-0.43,-0.33,-0.10,Venda
2025-02-28,-0.43,-0.35,-0.08,Venda
2025-03-03,-0.46,-0.37,-0.09,Venda
2025-03-04,-0.51,-0.40,-0.11,Venda
2025-03-05,-0.52,-0.42,-0.10,Venda
2025-03-06,-0.57,-0.45,-0.12,Venda
2025-03-07,-0.58,-0.48,-0.10,Venda
2025-03-10,-0.60,-0.50,-0.10,Venda
2025-03-11,-0.60,-0.52,-0.08,Venda
2025-03-12,-0.58,-0.53,-0.05,Venda
2025-03-13,-0.57,-0.54,-0.03,Venda
2025-03-14,-0.51,-0.53,0.02,Compra
2025-03-17,-0.45,-0.52,0.07,Compra
2025-03-18,-0.41,-0.50,0.09,Compra
2025-03-19,-0.34,-0.46,0.12,Compra
2025-03-20,-0.29,-0.43,0.14,Compra
2025-03-21,-0.26,-0.40,0.14,Compra
2025-03-24,-0.20,-0.36,0.16,Compra
2025-03-25,-0.17,-0.32,0.15,Compra
2025-03-26,-0.17,-0.29,0.12,Compra
2025-03-27,-0.19,-0.27,0.08,Compra
2025-03-28,-0.21,-0.26,0.05,Compra
2025-03-31,-0.23,-0.25,0.02,Compra
2025-04-01,-0.22,-0.25,0.03,Compra
2025-04-02,-0.19,-0.23,0.04,Compra
2025-04-03,-0.24,-0.24,0.00,Neutro
2025-04-04,-0.37,-0.26,-0.11,Venda
2025-04-07,-0.46,-0.30,-0.16,Venda
2025-04-08,-0.54,-0.35,-0.19,Venda
2025-04-09,-0.48,-0.38,-0.10,Venda
2025-04-10,-0.47,-0.39,-0.08,Venda
2025-04-11,-0.42,-0.40,-0.02,Venda
2025-04-14,-0.35,-0.39,0.04,Compra
2025-04-15,-0.29,-0.37,0.08,Compra
2025-04-16,-0.27,-0.35,0.08,Compra
2025-04-17,-0.24,-0.33,0.09,Compra
2025-04-21,-0.25,-0.31,0.06,Compra
2025-04-22,-0.21,-0.29,0.08,Compra
2025-04-23,-0.15,-0.26,0.11,Compra
2025-04-24,-0.06,-0.22,0.16,Compra
2025-04-25,0.01,-0.18,0.19,Compra
2025-04-28,0.08,-0.12,0.20,Compra
2025-04-29,0.13,-0.07,0.20,Compra
2025-04-30,0.17,-0.03,0.20,Compra
2025-05-01,0.21,0.02,0.19,Compra
2025-05-02,0.26,0.07,0.19,Compra
2025-05-05,0.30,0.12,0.18,Compra
2025-05-06,0.32,0.16,0.16,Compra
2025-05-07,0.34,0.19,0.15,Compra
2025-05-08,0.35,0.22,0.13,Compra
2025-05-09,0.37,0.25,0.12,Compra
2025-05-12,0.39,0.28,0.11,Compra
2025-05-13,0.44,0.31,0.13,Compra
2025-05-14,0.46,0.34,0.12,Compra
2025-05-15,0.49,0.37,0.12,Compra
2025-05-16,0.52,0.40,0.12,Compra
2025-05-19,0.54,0.43,0.11,Compra
2025-05-20,0.56,0.46,0.10,Compra
2025-05-21,0.53,0.47,0.06,Compra
2025-05-22,0.49,0.47,0.02,Compra
2025-05-23,0.48,0.48,0.00,Neutro
2025-05-27,0.49,0.48,0.01,Compra
2025-05-28,0.47,0.48,-0.01,Venda
2025-05-29,0.47,0.48,-0.01,Venda
2025-05-30,0.46,0.47,-0.01,Venda
2025-06-02,0.45,0.47,-0.02,Venda
2025-06-03,0.46,0.47,-0.01,Venda
2025-06-04,0.45,0.46,-0.01,Venda
2025-06-05,0.44,0.46,-0.02,Venda
2025-06-06,0.45,0.46,-0.01,Venda
2025-06-09,0.45,0.46,-0.01,Venda
2025-06-10,0.44,0.45,-0.01,Venda
2025-06-11,0.45,0.45,0.00,Neutro
2025-06-12,0.47,0.46,0.01,Compra
2025-06-13,0.46,0.46,0.00,Neutro
2025-06-16,0.47,0.46,0.01,Compra
2025-06-17,0.45,0.46,-0.01,Venda
2025-06-18,0.44,0.45,-0.01,Venda
2025-06-20,0.42,0.45,-0.03,Venda
2025-06-23,0.42,0.44,-0.02,Venda
2025-06-24,0.44,0.44,0.00,Neutro
2025-06-25,0.44,0.44,0.00,Neutro
2025-06-26,0.45,0.44,0.01,Compra
2025-06-27,0.47,0.45,0.02,Compra
2025-06-30,0.49,0.46,0.03,Compra
2025-07-01,0.50,0.47,0.03,Compra
2025-07-02,0.50,0.47,0.03,Compra
2025-07-03,0.52,0.48,0.04,Compra
2025-07-07,0.52,0.49,0.03,Compra
2025-07-08,0.51,0.49,0.02,Compra
2025-07-09,0.51,0.50,0.01,Compra
2025-07-10,0.50,0.50,0.00,Neutro
2025-07-11,0.49,0.50,-0.01,Venda
2025-07-14,0.48,0.49,-0.01,Venda
2025-07-15,0.47,0.49,-0.02,Venda
2025-07-16,0.46,0.48,-0.02,Venda
2025-07-17,0.50,0.49,0.01,Compra
2025-07-18,0.53,0.49,0.04,Compra
2025-07-21,0.54,0.50,0.04,Compra
2025-07-22,0.55,0.51,0.04,Compra
2025-07-23,0.57,0.52,0.05,Compra
2025-07-24,0.58,0.54,0.04,Compra
2025-07-25,0.62,0.55,0.07,Compra
2025-07-28,0.65,0.57,0.08,Compra
2025-07-29,0.65,0.59,0.06,Compra
2025-07-30,0.66,0.60,0.06,Compra
2025-07-31,0.65,0.61,0.04,Compra
2025-08-01,0.62,0.61,0.01,Compra
2025-08-04,0.61,0.61,0.00,Neutro
2025-08-05,0.59,0.61,-0.02,Venda
2025-08-06,0.57,0.60,-0.03,Venda
2025-08-07,0.56,0.59,-0.03,Venda
2025-08-08,0.54,0.58,-0.04,Venda
2025-08-11,0.52,0.57,-0.05,Venda
2025-08-12,0.53,0.56,-0.03,Venda
2025-08-13,0.52,0.55,-0.03,Venda
2025-08-14,0.49,0.54,-0.05,Venda
2025-08-15,0.45,0.52,-0.07,Venda
2025-08-18,0.42,0.50,-0.08,Venda
2025-08-19,0.38,0.48,-0.10,Venda
2025-08-20,0.34,0.45,-0.11,Venda
2025-08-21,0.30,0.42,-0.12,Venda
2025-08-22,0.29,0.39,-0.10,Venda
2025-08-25,0.27,0.37,-0.10,Venda
2025-08-26,0.27,0.35,-0.08,Venda
2025-08-27,0.27,0.33,-0.06,Venda
2025-08-28,0.26,0.32,-0.06,Venda
2025-08-29,0.21,0.30,-0.09,Venda
2025-09-02,0.16,0.27,-0.11,Venda
2025-09-03,0.12,0.24,-0.12,Venda
2025-09-04,0.11,0.21,-0.10,Venda
2025-09-05,0.09,0.19,-0.10,Venda
2025-09-08,0.07,0.17,-0.10,Venda
2025-09-09,0.07,0.15,-0.08,Venda
2025-09-10,0.11,0.14,-0.03,Venda
2025-09-11,0.15,0.14,0.01,Compra
2025-09-12,0.17,0.15,0.02,Compra
2025-09-15,0.20,0.16,0.04,Compra
2025-09-16,0.20,0.17,0.03,Compra
2025-09-17,0.19,0.17,0.02,Compra
2025-09-18,0.22,0.18,0.04,Compra
2025-09-19,0.23,0.19,0.04,Compra
2025-09-22,0.27,0.21,0.06,Compra
2025-09-23,0.28,0.22,0.06,Compra
2025-09-24,0.29,0.23,0.06,Compra
2025-09-25,0.28,0.24,0.04,Compra
2025-09-26,0.29,0.25,0.04,Compra
2025-09-29,0.31,0.26,0.05,Compra
2025-09-30,0.34,0.28,0.06,Compra
2025-10-01,0.38,0.30,0.08,Compra
2025-10-02,0.41,0.32,0.09,Compra
2025-10-03,0.43,0.34,0.09,Compra
2025-10-06,0.46,0.37,0.09,Compra
2025-10-07,0.48,0.39,0.09,Compra
2025-10-08,0.53,0.42,0.11,Compra
2025-10-09,0.54,0.44,0.10,Compra
2025-10-10,0.58,0.47,0.11,Compra
2025-10-13,0.58,0.49,0.09,Compra
2025-10-14,0.59,0.51,0.08,Compra
2025-10-15,0.62,0.53,0.09,Compra
2025-10-16,0.63,0.55,0.08,Compra
2025-10-17,0.61,0.56,0.05,Compra
2025-10-20,0.62,0.58,0.04,Compra
2025-10-21,0.60,0.58,0.02,Compra
2025-10-22,0.55,0.57,-0.02,Venda
2025-10-23,0.55,0.57,-0.02,Venda
2025-10-24,0.57,0.57,0.00,Neutro
2025-10-27,0.60,0.58,0.02,Compra
2025-10-28,0.61,0.58,0.03,Compra
2025-10-29,0.64,0.59,0.05,Compra
2025-10-30,0.61,0.60,0.01,Compra
2025-10-31,0.57,0.59,-0.02,Venda
2025-11-03,0.56,0.59,-0.03,Venda
2025-11-04,0.49,0.57,-0.08,Venda
2025-11-05,0.47,0.55,-0.08,Venda
2025-11-06,0.42,0.52,-0.10,Venda
2025-11-07,0.38,0.49,-0.11,Venda
2025-11-10,0.37,0.47,-0.10,Venda
2025-11-11,0.34,0.44,-0.10,Venda
2025-11-12,0.31,0.42,-0.11,Venda
2025-11-13,0.20,0.37,-0.17,Venda
2025-11-14,0.12,0.32,-0.20,Venda
2025-11-17,0.04,0.27,-0.23,Venda
2025-11-18,-0.04,0.20,-0.24,Venda
2025-11-19,-0.10,0.14,-0.24,Venda
2025-11-20,-0.19,0.08,-0.27,Venda
2025-11-21,-0.26,0.01,-0.27,Venda
2025-11-24,-0.26,-0.04,-0.22,Venda
2025-11-25,-0.24,-0.08,-0.16,Venda
2025-11-26,-0.19,-0.10,-0.09,Venda
2025-11-28,-0.12,-0.11,-0.01,Venda
2025-12-01,-0.11,-0.11,0.00,Neutro
2025-12-02,-0.09,-0.10,0.01,Compra
2025-12-03,-0.08,-0.10,0.02,Compra
2025-12-04,-0.05,-0.09,0.04,Compra
2025-12-05,-0.02,-0.08,0.06,Compra
2025-12-08,-0.00,-0.06,0.06,Compra
2025-12-09,-0.01,-0.05,0.04,Compra
2025-12-10,0.03,-0.03,0.06,Compra
2025-12-11,0.06,-0.02,0.08,Compra
2025-12-12,0.02,-0.01,0.03,Compra
2025-12-15,-0.01,-0.01,0.00,Neutro
2025-12-16,-0.04,-0.01,-0.03,Venda
2025-12-17,-0.13,-0.04,-0.09,Venda
2025-12-18,-0.16,-0.06,-0.10,Venda
2025-12-19,-0.16,-0.08,-0.08,Venda
2025-12-22,-0.15,-0.10,-0.05,Venda
2025-12-23,-0.12,-0.10,-0.02,Venda
