Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2020-08-21,97.00,97.00,97.00,97.00,97.00,-1,-1
2020-08-24,97.00,97.00,97.00,97.00,97.00,-1,-1
2020-08-25,97.00,97.00,97.00,97.00,97.00,-1,-1
2020-08-26,97.15,97.15,97.15,97.15,97.15,-1,-1
2020-08-27,97.44,97.44,97.44,97.44,97.44,-1,-1
2020-08-28,97.45,97.45,97.45,97.45,97.45,-1,-1
2020-08-31,97.50,97.50,97.50,97.50,97.50,-1,-1
2020-09-01,97.61,97.54,97.54,97.54,97.54,1,-1
2020-09-02,97.73,97.57,97.57,97.57,97.57,1,-1
2020-09-03,97.84,97.59,97.59,97.59,97.59,1,-1
2020-09-04,97.91,97.64,97.64,97.64,97.64,1,-1
2020-09-08,97.84,97.68,97.68,97.68,97.68,1,-1
2020-09-09,97.93,97.71,97.71,97.71,97.71,1,-1
2020-09-10,97.97,97.74,97.74,97.74,97.74,1,-1
2020-09-11,98.00,97.81,97.75,97.75,97.75,1,-1
2020-09-14,98.03,97.88,97.77,97.77,97.77,1,-1
2020-09-15,98.10,97.97,97.80,97.80,97.80,1,-1
2020-09-16,98.09,98.00,97.81,97.81,97.81,1,-1
2020-09-17,98.11,97.98,97.83,97.83,97.83,1,-1
2020-09-18,98.11,98.02,97.85,97.85,97.85,1,-1
2020-09-21,98.15,98.06,97.87,97.87,97.87,1,-1
2020-09-22,98.21,98.10,97.90,97.90,97.90,1,-1
2020-09-23,98.21,98.12,97.90,97.90,97.90,1,-1
2020-09-24,98.25,98.17,97.93,97.93,97.93,1,-1
2020-09-25,98.34,98.21,97.96,97.96,97.96,1,-1
2020-09-28,98.33,98.22,97.97,97.97,97.97,1,-1
2020-09-29,98.36,98.23,97.98,97.98,97.98,1,-1
2020-09-30,98.36,98.25,97.99,97.99,97.99,1,-1
2020-10-01,98.39,98.30,98.02,98.02,98.02,1,-1
