Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2022-04-13,4.85,4.85,4.85,4.85,4.85,-1,-1
2022-04-14,4.81,4.81,4.81,4.81,4.81,-1,-1
2022-04-18,4.71,4.71,4.71,4.71,4.71,-1,-1
2022-04-19,4.72,4.72,4.72,4.72,4.72,-1,-1
2022-04-20,4.72,4.72,4.72,4.72,4.72,-1,-1
2022-04-21,4.62,4.62,4.62,4.62,4.62,-1,-1
2022-04-22,4.53,4.53,4.53,4.53,4.53,-1,-1
2022-04-25,4.41,4.46,4.46,4.46,4.46,-1,-1
2022-04-26,4.27,4.39,4.39,4.39,4.39,-1,-1
2022-04-27,4.14,4.31,4.31,4.31,4.31,-1,-1
2022-04-28,3.95,4.23,4.23,4.23,4.23,-1,-1
2022-04-29,3.76,4.16,4.16,4.16,4.16,-1,-1
2022-05-02,3.59,4.06,4.06,4.06,4.06,-1,-1
2022-05-03,3.44,3.98,3.98,3.98,3.98,-1,-1
2022-05-04,3.33,3.87,3.93,3.93,3.93,-1,-1
2022-05-05,3.27,3.77,3.90,3.90,3.90,-1,-1
2022-05-06,3.26,3.70,3.88,3.88,3.88,-1,-1
2022-05-09,3.17,3.56,3.82,3.82,3.82,-1,-1
2022-05-10,3.06,3.41,3.75,3.75,3.75,-1,-1
2022-05-11,2.99,3.29,3.69,3.69,3.69,-1,-1
2022-05-12,2.83,3.13,3.60,3.60,3.60,-1,-1
2022-05-13,2.62,2.98,3.52,3.52,3.52,-1,-1
2022-05-16,2.45,2.86,3.46,3.46,3.46,-1,-1
2022-05-17,2.31,2.78,3.42,3.42,3.42,-1,-1
2022-05-18,2.27,2.72,3.38,3.38,3.38,-1,-1
2022-05-19,2.34,2.70,3.37,3.37,3.37,-1,-1
2022-05-20,2.51,2.75,3.38,3.38,3.38,-1,-1
2022-05-23,2.76,2.79,3.39,3.39,3.39,-1,-1
2022-05-24,3.03,2.82,3.40,3.40,3.40,1,-1
2022-05-25,3.25,2.85,3.41,3.41,3.41,1,-1
2022-05-26,3.44,2.87,3.38,3.42,3.42,1,-1
2022-05-27,3.73,3.00,3.37,3.46,3.46,1,-1
2022-05-31,3.98,3.16,3.38,3.50,3.50,1,-1
2022-06-01,4.15,3.33,3.38,3.54,3.54,1,-1
2022-06-02,4.33,3.55,3.39,3.58,3.58,1,-1
2022-06-03,4.43,3.73,3.40,3.60,3.60,1,-1
2022-06-06,4.43,3.84,3.39,3.60,3.60,1,-1
2022-06-07,4.44,3.94,3.38,3.61,3.61,1,-1
2022-06-08,4.35,4.04,3.39,3.62,3.62,1,-1
2022-06-09,4.15,4.07,3.38,3.62,3.62,1,-1
2022-06-10,3.85,4.00,3.36,3.59,3.59,-1,-1
2022-06-13,3.35,3.84,3.29,3.54,3.54,-1,-1
2022-06-14,2.88,3.65,3.23,3.48,3.48,-1,-1
2022-06-15,2.48,3.46,3.16,3.42,3.42,-1,-1
2022-06-16,2.08,3.26,3.09,3.37,3.37,-1,-1
2022-06-17,1.66,3.01,3.01,3.32,3.32,-1,-1
2022-06-21,1.34,2.75,2.94,3.28,3.28,-1,-1
2022-06-22,1.12,2.49,2.88,3.23,3.23,-1,-1
2022-06-23,1.09,2.22,2.83,3.19,3.19,-1,-1
2022-06-24,1.11,1.99,2.79,3.15,3.15,-1,-1
2022-06-27,1.12,1.80,2.77,3.07,3.11,-1,-1
2022-06-28,1.14,1.61,2.74,3.00,3.07,-1,-1
2022-06-29,1.14,1.40,2.71,2.93,3.03,-1,-1
2022-06-30,1.12,1.23,2.66,2.86,3.00,-1,-1
2022-07-01,1.08,1.10,2.61,2.78,2.96,-1,-1
2022-07-05,1.07,1.08,2.54,2.72,2.93,-1,-1
2022-07-06,1.05,1.08,2.45,2.66,2.89,-1,-1
2022-07-07,1.05,1.09,2.37,2.60,2.86,-1,-1
2022-07-08,1.04,1.09,2.28,2.55,2.83,-1,-1
2022-07-11,1.03,1.09,2.19,2.50,2.80,-1,-1
2022-07-12,1.03,1.07,2.10,2.45,2.77,-1,-1
2022-07-13,1.01,1.05,1.97,2.40,2.74,-1,-1
2022-07-14,1.00,1.04,1.84,2.36,2.71,-1,-1
2022-07-15,1.00,1.03,1.71,2.32,2.69,-1,-1
2022-07-18,1.00,1.03,1.59,2.28,2.66,-1,-1
2022-07-19,1.15,1.10,1.52,2.25,2.65,1,-1
2022-07-20,1.35,1.19,1.47,2.23,2.65,1,-1
2022-07-21,1.53,1.28,1.42,2.22,2.64,1,-1
2022-07-22,1.71,1.36,1.36,2.21,2.64,1,-1
2022-07-25,1.86,1.43,1.31,2.20,2.63,1,-1
2022-07-26,1.98,1.49,1.28,2.20,2.62,1,-1
2022-07-27,2.14,1.57,1.31,2.21,2.61,1,-1
2022-07-28,2.15,1.65,1.35,2.21,2.60,1,-1
2022-07-29,2.09,1.72,1.38,2.20,2.60,1,-1
