Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2000-01-03,36.45,36.45,36.45,36.45,36.45,-1,-1
2000-01-04,35.24,35.24,35.24,35.24,35.24,-1,-1
2000-01-05,34.52,34.52,34.52,34.52,34.52,-1,-1
2000-01-06,33.66,33.66,33.66,33.66,33.66,-1,-1
2000-01-07,33.28,33.28,33.28,33.28,33.28,-1,-1
2000-01-10,33.52,33.52,33.52,33.52,33.52,-1,-1
2000-01-11,33.54,33.54,33.54,33.54,33.54,-1,-1
2000-01-12,33.23,33.63,33.63,33.63,33.63,-1,-1
2000-01-13,33.48,33.87,33.87,33.87,33.87,-1,-1
2000-01-14,34.35,34.40,34.40,34.40,34.40,-1,-1
2000-01-18,35.59,34.89,34.89,34.89,34.89,1,-1
2000-01-19,36.82,35.35,35.35,35.35,35.35,1,-1
2000-01-20,38.19,36.04,36.04,36.04,36.04,1,-1
2000-01-21,39.60,36.57,36.57,36.57,36.57,1,-1
2000-01-24,40.55,36.89,36.86,36.86,36.86,1,-1
2000-01-25,41.40,37.44,37.16,37.16,37.16,1,-1
2000-01-26,41.30,37.83,37.24,37.24,37.24,1,-1
2000-01-27,41.10,38.34,37.30,37.30,37.30,1,-1
2000-01-28,40.58,38.70,37.27,37.27,37.27,1,-1
2000-01-31,39.75,38.97,37.33,37.33,37.33,1,-1
2000-02-01,39.26,39.43,37.47,37.47,37.47,-1,-1
2000-02-02,39.37,39.96,37.66,37.66,37.66,-1,-1
2000-02-03,39.67,40.54,37.93,37.93,37.93,-1,-1
2000-02-04,40.31,40.80,38.14,38.14,38.14,-1,-1
2000-02-07,40.96,41.03,38.32,38.32,38.32,-1,-1
2000-02-08,42.24,41.41,38.61,38.61,38.61,1,-1
2000-02-09,43.11,41.43,38.83,38.83,38.83,1,-1
2000-02-10,43.82,41.54,39.06,39.06,39.06,1,-1
2000-02-11,43.88,41.62,39.16,39.16,39.16,1,-1
2000-02-14,43.60,41.64,39.25,39.25,39.25,1,-1
2000-02-15,43.40,41.85,39.42,39.33,39.33,1,-1
2000-02-16,43.19,42.07,39.66,39.39,39.39,1,-1
2000-02-17,42.66,42.45,39.96,39.47,39.47,1,-1
2000-02-18,41.98,42.55,40.26,39.48,39.48,-1,-1
2000-02-22,41.31,42.56,40.54,39.51,39.51,-1,-1
2000-02-23,41.35,42.61,40.80,39.58,39.58,-1,-1
2000-02-24,41.18,42.39,41.03,39.62,39.62,-1,-1
2000-02-25,40.79,42.09,41.18,39.59,39.59,-1,-1
2000-02-28,40.56,41.87,41.32,39.60,39.60,-1,-1
2000-02-29,40.28,41.47,41.35,39.61,39.61,-1,-1
2000-03-01,40.97,41.47,41.51,39.73,39.73,-1,-1
2000-03-02,41.53,41.42,41.64,39.84,39.84,1,-1
2000-03-03,42.21,41.78,41.73,40.01,40.01,1,-1
2000-03-06,42.75,41.97,41.77,40.12,40.12,1,-1
2000-03-07,43.35,42.07,41.84,40.18,40.18,1,-1
2000-03-08,43.62,42.09,41.83,40.21,40.21,1,-1
2000-03-09,44.03,42.16,41.98,40.27,40.27,1,-1
2000-03-10,44.36,42.66,42.27,40.41,40.41,1,-1
2000-03-13,44.44,42.98,42.54,40.50,40.50,1,-1
2000-03-14,43.90,43.06,42.70,40.56,40.56,1,-1
2000-03-15,43.39,43.07,42.73,40.65,40.56,1,1
2000-03-16,43.17,43.26,42.72,40.80,40.58,-1,1
2000-03-17,43.37,43.49,42.70,40.99,40.63,-1,1
2000-03-20,43.33,43.68,42.69,41.23,40.67,-1,1
2000-03-21,42.42,43.39,42.61,41.40,40.66,-1,1
2000-03-22,41.93,43.18,42.47,41.54,40.68,-1,1
2000-03-23,41.75,42.83,42.39,41.71,40.70,-1,1
2000-03-24,41.81,42.60,42.26,41.85,40.71,-1,1
2000-03-27,42.01,42.59,42.29,41.99,40.75,-1,1
2000-03-28,41.93,42.65,42.31,42.05,40.78,-1,1
2000-03-29,41.03,42.18,42.14,41.99,40.71,-1,1
2000-03-30,40.18,41.30,41.91,41.87,40.61,-1,1
2000-03-31,39.26,40.59,41.68,41.69,40.52,-1,1
2000-04-03,37.72,39.73,41.39,41.44,40.38,-1,1
2000-04-04,36.61,39.21,41.17,41.30,40.27,-1,1
2000-04-05,35.81,38.91,41.00,41.21,40.23,-1,1
2000-04-06,35.60,38.77,41.01,41.26,40.24,-1,1
2000-04-07,36.20,38.62,41.07,41.30,40.24,-1,1
2000-04-10,36.67,38.42,41.00,41.33,40.21,-1,1
2000-04-11,36.92,38.09,40.89,41.29,40.16,-1,1
2000-04-12,37.31,37.51,40.54,41.17,40.07,-1,1
2000-04-13,37.38,37.00,40.20,41.02,39.99,1,1
2000-04-14,36.39,36.10,39.64,40.75,39.86,1,1
