Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,2.38,2.38,2.38,2.38,2.38,-1,-1
2016-01-05,2.41,2.41,2.41,2.41,2.41,-1,-1
2016-01-06,2.44,2.44,2.44,2.44,2.44,-1,-1
2016-01-07,2.44,2.44,2.44,2.44,2.44,-1,-1
2016-01-08,2.44,2.44,2.44,2.44,2.44,-1,-1
2016-01-11,2.44,2.44,2.44,2.44,2.44,-1,-1
2016-01-12,2.42,2.42,2.42,2.42,2.42,-1,-1
2016-01-13,2.42,2.42,2.42,2.42,2.42,-1,-1
2016-01-14,2.42,2.42,2.42,2.42,2.42,-1,-1
2016-01-15,2.39,2.41,2.41,2.41,2.41,-1,-1
2016-01-19,2.36,2.39,2.39,2.39,2.39,-1,-1
2016-01-20,2.34,2.38,2.38,2.38,2.38,-1,-1
2016-01-21,2.32,2.38,2.38,2.38,2.38,-1,-1
2016-01-22,2.32,2.37,2.37,2.37,2.37,-1,-1
2016-01-25,2.31,2.37,2.37,2.37,2.37,-1,-1
2016-01-26,2.29,2.35,2.36,2.36,2.36,-1,-1
2016-01-27,2.29,2.34,2.36,2.36,2.36,-1,-1
2016-01-28,2.30,2.33,2.36,2.36,2.36,-1,-1
2016-01-29,2.31,2.32,2.35,2.35,2.35,-1,-1
2016-02-01,2.31,2.32,2.35,2.35,2.35,-1,-1
2016-02-02,2.31,2.32,2.35,2.35,2.35,-1,-1
2016-02-03,2.31,2.31,2.35,2.35,2.35,-1,-1
2016-02-04,2.33,2.31,2.35,2.35,2.35,1,-1
2016-02-05,2.33,2.31,2.35,2.35,2.35,1,-1
2016-02-08,2.33,2.32,2.35,2.35,2.35,1,-1
2016-02-09,2.33,2.32,2.35,2.35,2.35,1,-1
2016-02-10,2.32,2.31,2.34,2.34,2.34,1,-1
2016-02-11,2.31,2.31,2.34,2.34,2.34,-1,-1
2016-02-12,2.30,2.31,2.34,2.34,2.34,-1,-1
2016-02-16,2.29,2.31,2.34,2.34,2.34,-1,-1
2016-02-17,2.28,2.30,2.33,2.33,2.33,-1,-1
2016-02-18,2.27,2.30,2.33,2.33,2.33,-1,-1
2016-02-19,2.27,2.30,2.32,2.33,2.33,-1,-1
2016-02-22,2.27,2.29,2.32,2.33,2.33,-1,-1
2016-02-23,2.28,2.29,2.31,2.33,2.33,-1,-1
2016-02-24,2.28,2.29,2.30,2.33,2.33,-1,-1
2016-02-25,2.28,2.28,2.30,2.33,2.33,-1,-1
2016-02-26,2.29,2.28,2.30,2.32,2.32,1,-1
2016-02-29,2.29,2.28,2.30,2.32,2.32,1,-1
2016-03-01,2.29,2.28,2.29,2.32,2.32,1,-1
2016-03-02,2.28,2.28,2.30,2.32,2.32,-1,-1
2016-03-03,2.28,2.28,2.30,2.32,2.32,-1,-1
2016-03-04,2.28,2.28,2.29,2.32,2.32,-1,-1
2016-03-07,2.28,2.28,2.29,2.32,2.32,-1,-1
2016-03-08,2.28,2.28,2.29,2.32,2.32,-1,-1
2016-03-09,2.28,2.28,2.29,2.32,2.32,-1,-1
2016-03-10,2.28,2.29,2.29,2.32,2.32,-1,-1
2016-03-11,2.29,2.29,2.29,2.32,2.32,-1,-1
2016-03-14,2.30,2.29,2.29,2.32,2.32,1,-1
2016-03-15,2.30,2.29,2.29,2.32,2.32,1,-1
2016-03-16,2.31,2.29,2.29,2.32,2.32,1,-1
2016-03-17,2.31,2.29,2.29,2.31,2.32,1,-1
2016-03-18,2.29,2.28,2.29,2.31,2.31,1,-1
2016-03-21,2.28,2.28,2.28,2.30,2.31,-1,-1
2016-03-22,2.28,2.28,2.28,2.30,2.31,-1,-1
2016-03-23,2.27,2.28,2.28,2.30,2.31,-1,-1
2016-03-24,2.26,2.28,2.28,2.29,2.31,-1,-1
2016-03-28,2.25,2.28,2.28,2.29,2.31,-1,-1
2016-03-29,2.25,2.28,2.28,2.29,2.31,-1,-1
2016-03-30,2.25,2.27,2.28,2.29,2.31,-1,-1
2016-03-31,2.25,2.27,2.28,2.29,2.30,-1,-1
2016-04-01,2.24,2.26,2.27,2.28,2.30,-1,-1
2016-04-04,2.23,2.25,2.27,2.28,2.30,-1,-1
2016-04-05,2.23,2.24,2.27,2.28,2.30,-1,-1
2016-04-06,2.23,2.24,2.27,2.28,2.30,-1,-1
2016-04-07,2.22,2.23,2.27,2.28,2.30,-1,-1
2016-04-08,2.22,2.24,2.26,2.28,2.30,-1,-1
2016-04-11,2.22,2.23,2.26,2.27,2.30,-1,-1
2016-04-12,2.22,2.23,2.26,2.27,2.30,-1,-1
2016-04-13,2.22,2.23,2.26,2.27,2.29,-1,-1
2016-04-14,2.22,2.23,2.25,2.27,2.29,-1,-1
