Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2008-09-25,3746341.50,3746341.50,3746341.50,3746341.50,3746341.50,-1,-1
2008-09-26,3746341.50,3746341.50,3746341.50,3746341.50,3746341.50,-1,-1
2008-09-29,3746341.50,3746341.50,3746341.50,3746341.50,3746341.50,-1,-1
2008-09-30,3746341.50,3746341.50,3746341.50,3746341.50,3746341.50,-1,-1
2008-10-01,3746341.50,3746341.50,3746341.50,3746341.50,3746341.50,-1,-1
2008-10-02,3512195.17,3512195.17,3512195.17,3512195.17,3512195.17,-1,-1
2008-10-03,3512195.14,3512195.14,3512195.14,3512195.14,3512195.14,-1,-1
2008-10-06,3478745.64,3512195.12,3512195.12,3512195.12,3512195.12,-1,-1
2008-10-07,3445296.14,3512195.11,3512195.11,3512195.11,3512195.11,-1,-1
2008-10-08,3411846.64,3512195.10,3512195.10,3512195.10,3512195.10,-1,-1
2008-10-09,3261324.00,3437694.00,3437694.00,3437694.00,3437694.00,-1,-1
2008-10-10,3110801.36,3375609.75,3375609.75,3375609.75,3375609.75,-1,-1
2008-10-13,3160975.57,3323076.92,3323076.92,3323076.92,3323076.92,-1,-1
2008-10-14,3043902.43,3278048.79,3278048.79,3278048.79,3278048.79,-1,-1
2008-10-15,2960278.75,3219512.20,3254634.15,3254634.15,3254634.15,-1,-1
2008-10-16,2793031.39,3119163.77,3197560.98,3197560.98,3197560.98,-1,-1
2008-10-17,2625784.04,3018815.34,3147202.31,3147202.31,3147202.31,-1,-1
2008-10-20,2575609.82,2918466.91,3102439.04,3102439.04,3102439.04,-1,-1
2008-10-21,2525435.61,2818118.48,3062387.70,3062387.70,3062387.70,-1,-1
2008-10-22,3829965.18,3495470.38,3500487.81,3500487.81,3500487.81,1,-1
2008-10-23,5134494.75,4089198.59,3896864.11,3896864.11,3896864.11,1,-1
2008-10-24,6405574.86,4682926.80,4257206.19,4257206.19,4257206.19,1,-1
2008-10-27,7760278.64,5276655.02,4586214.18,4586214.18,4586214.18,1,-1
2008-10-28,9114982.43,5870383.23,4887804.84,4887804.84,4887804.84,1,-1
2008-10-29,10469686.21,6522648.02,5165268.25,5165268.25,5165268.25,1,-1
2008-10-30,11824390.00,7174912.80,5421388.32,5421388.32,5421388.32,1,-1
2008-10-31,11824390.00,7827177.59,5658536.53,5658536.53,5658536.53,1,-1
2008-11-03,11824390.00,8479442.38,5878745.58,5878745.58,5878745.58,1,-1
2008-11-04,11824390.00,9114982.43,6083767.80,6083767.80,6083767.80,1,-1
2008-11-05,11824390.00,9792334.32,6275121.88,6275121.88,6275121.88,1,-1
2008-11-06,10988153.07,10051567.75,6349268.21,6265302.83,6265302.83,1,-1
2008-11-07,10151916.14,10310801.18,6423414.54,6256097.48,6256097.48,-1,-1
2008-11-10,9315679.21,10570034.61,6497560.88,6247450.02,6247450.02,-1,-1
2008-11-11,8479442.29,10151916.14,6571707.21,6239311.24,6239311.24,-1,-1
2008-11-12,7643205.36,9733797.68,6645853.54,6231637.54,6231637.54,-1,-1
2008-11-13,6806968.43,9315679.21,6766829.14,6224390.15,6224390.15,-1,-1
2008-11-14,5970731.50,8897560.75,6848780.36,6217534.51,6217534.51,-1,-1
2008-11-17,5970731.50,8479442.29,6930731.58,6211039.69,6211039.69,-1,-1
2008-11-18,5970731.50,8061323.82,7012682.79,6204877.94,6204877.94,-1,-1
2008-11-19,5970731.50,7643205.36,7094634.01,6199024.28,6199024.28,-1,-1
2008-11-20,5970731.50,7225086.89,7203902.29,6193456.16,6193456.16,-1,-1
2008-11-21,5970731.50,6806968.43,7313170.58,6188153.20,6188153.20,-1,-1
2008-11-24,5970731.50,6388849.96,7422438.86,6183096.88,6183096.88,-1,-1
2008-11-25,5970731.50,5970731.50,7531707.14,6178270.39,6178270.39,-1,-1
2008-11-26,5970731.50,5970731.50,7633170.55,6173658.42,6173658.42,-1,-1
2008-11-28,5970731.50,5970731.50,7754146.15,6169246.96,6169246.96,-1,-1
2008-12-01,5970731.50,5970731.50,7875121.75,6165023.23,6165023.23,-1,-1
2008-12-02,5970731.50,5970731.50,7996097.35,6160975.48,6160975.48,-1,-1
2008-12-03,5970731.50,5970731.50,8117072.95,6157092.95,6157092.95,-1,-1
2008-12-04,5970731.50,5970731.50,7921951.00,6153365.72,6153365.72,-1,-1
2008-12-05,5970731.50,5970731.50,7726829.05,6197853.52,6149784.66,-1,1
2008-12-08,5970731.50,5970731.50,7531707.10,6242341.32,6146341.33,-1,1
2008-12-09,5970731.50,5970731.50,7336585.15,6286829.12,6143027.94,-1,1
2008-12-10,5970731.50,5970731.50,7141463.20,6331316.92,6139837.26,-1,1
2008-12-11,5970731.50,5970731.50,6946341.25,6375804.72,6136762.61,-1,1
2008-12-12,5970731.50,5970731.50,6751219.30,6448390.08,6133797.77,-1,1
2008-12-15,5970731.50,5970731.50,6556097.35,6497560.82,6130936.96,-1,1
2008-12-16,5970731.50,5970731.50,6360975.40,6546731.54,6128174.80,-1,1
2008-12-17,5970731.50,5970731.50,6165853.45,6595902.28,6125506.27,-1,1
2008-12-18,5970731.50,5970731.50,5970731.50,6645073.00,6122926.69,-1,1
2008-12-19,5970731.50,5970731.50,5970731.50,6710633.98,6120431.68,-1,1
2008-12-22,5970731.50,5970731.50,5970731.50,6776194.94,6118017.17,-1,1
2008-12-23,5970731.50,5970731.50,5970731.50,6841755.92,6115679.30,-1,1
2008-12-24,5970731.50,5970731.50,5970731.50,6907316.88,6113414.49,-1,1
2008-12-26,5970731.50,5970731.50,5970731.50,6968194.93,6111219.37,-1,1
2008-12-29,5970731.50,5970731.50,5970731.50,7040780.29,6109090.76,-1,1
2008-12-30,5970731.50,5970731.50,5970731.50,7113365.65,6107025.70,-1,1
2008-12-31,5970731.50,5970731.50,5970731.50,7185951.01,6105021.37,-1,1
2009-01-02,5970731.50,5970731.50,5970731.50,7258536.37,6103075.14,-1,1
2009-01-05,5970731.50,5970731.50,5970731.50,7141463.20,6101184.52,-1,1
2009-01-06,5970731.50,5970731.50,5970731.50,7024390.03,6099347.15,-1,1
2009-01-07,5970731.50,5970731.50,5970731.50,6907316.86,6097560.82,-1,1
2009-01-08,5970731.50,5970731.50,5970731.50,6790243.69,6095823.43,-1,1
2009-01-09,5970731.50,5970731.50,5970731.50,6673170.52,6094133.00,-1,1
2009-01-12,5970731.50,5970731.50,5970731.50,6556097.35,6092487.65,-1,1
2009-01-13,5970731.50,5970731.50,5970731.50,6439024.18,6090885.60,-1,1
2009-01-14,5970731.50,5970731.50,5970731.50,6321951.01,6089325.15,-1,1
2009-01-15,5970731.50,5970731.50,5970731.50,6204877.84,6087804.72,-1,1
2009-01-16,5970731.50,5970731.50,5970731.50,6087804.67,6086322.78,-1,1
2009-01-20,5970731.50,5970731.50,5970731.50,5970731.50,6084877.89,-1,-1
2009-01-21,5970731.50,5970731.50,5970731.50,5970731.50,6083468.68,-1,-1
2009-01-22,5970731.50,5970731.50,5970731.50,5970731.50,6082093.83,-1,-1
2009-01-23,5970731.50,5970731.50,5970731.50,5970731.50,6080752.12,-1,-1
2009-01-26,5970731.50,5970731.50,5970731.50,5970731.50,6079442.35,-1,-1
2009-01-27,5970731.50,5970731.50,5970731.50,5970731.50,6078163.40,-1,-1
2009-01-28,5970731.50,5970731.50,5970731.50,5970731.50,6076914.19,-1,-1
2009-01-29,5970731.50,5970731.50,5970731.50,5970731.50,6075693.70,-1,-1
2009-01-30,5970731.50,5970731.50,5970731.50,5970731.50,6074500.95,-1,-1
2009-02-02,5970731.50,5970731.50,5970731.50,5970731.50,6073335.00,-1,-1
2009-02-03,5970731.50,5970731.50,5970731.50,5970731.50,6072194.96,-1,-1
2009-02-04,5970731.50,5970731.50,5970731.50,5970731.50,6071079.98,-1,-1
2009-02-05,5970731.50,5970731.50,5970731.50,5970731.50,6069989.23,-1,-1
2009-02-06,5970731.50,5970731.50,5970731.50,5970731.50,6068921.94,-1,-1
2009-02-09,5970731.50,5970731.50,5970731.50,5970731.50,6067877.36,-1,-1
2009-02-10,5970731.50,5970731.50,5970731.50,5970731.50,6066854.78,-1,-1
2009-02-11,5970731.50,5970731.50,5970731.50,5970731.50,6065853.49,-1,-1
2009-02-12,5970731.50,5970731.50,5970731.50,5970731.50,6064872.85,-1,-1
2009-02-13,5970731.50,5970731.50,5970731.50,5970731.50,6063912.23,-1,-1
2009-02-17,5970731.50,5970731.50,5970731.50,5970731.50,6062971.01,-1,-1
2009-02-18,5970731.50,5970731.50,5970731.50,5970731.50,6062048.61,-1,-1
2009-02-19,5970731.50,5970731.50,5970731.50,5970731.50,6061144.48,-1,-1
2009-02-20,5970731.50,5970731.50,5970731.50,5970731.50,6060258.08,-1,-1
2009-02-23,5970731.50,5970731.50,5970731.50,5970731.50,6059388.89,-1,-1
2009-02-24,5970731.50,5970731.50,5970731.50,5970731.50,6058536.42,-1,-1
2009-02-25,5970731.50,5970731.50,5970731.50,5970731.50,6057700.18,-1,-1
2009-02-26,5970731.50,5970731.50,5970731.50,5970731.50,6056879.72,-1,-1
2009-02-27,5970731.50,5970731.50,5970731.50,5970731.50,6056074.60,-1,-1
2009-03-02,5970731.50,5970731.50,5970731.50,5970731.50,6055284.38,-1,-1
2009-03-03,5970731.50,5970731.50,5970731.50,5970731.50,6054508.67,-1,-1
2009-03-04,5970731.50,5970731.50,5970731.50,5970731.50,6053747.06,-1,-1
2009-03-05,5970731.50,5970731.50,5970731.50,5970731.50,6052999.17,-1,-1
2009-03-06,5970731.50,5970731.50,5970731.50,5970731.50,6052264.64,-1,-1
2009-03-09,5970731.50,5970731.50,5970731.50,5970731.50,6051543.10,-1,-1
2009-03-10,5970731.50,5970731.50,5970731.50,5970731.50,6050834.23,-1,-1
2009-03-11,5970731.50,5970731.50,5970731.50,5970731.50,6050137.68,-1,-1
2009-03-12,5970731.50,5970731.50,5970731.50,5970731.50,6049453.15,-1,-1
2009-03-13,5970731.50,5970731.50,5970731.50,5970731.50,6048780.31,-1,-1
2009-03-16,5970731.50,5970731.50,5970731.50,5970731.50,6048118.88,-1,-1
2009-03-17,5970731.50,5970731.50,5970731.50,5970731.50,6047468.57,-1,-1
2009-03-18,5970731.50,5970731.50,5970731.50,5970731.50,6046829.09,-1,-1
2009-03-19,5970731.50,5970731.50,5970731.50,5970731.50,6046200.19,-1,-1
2009-03-20,5970731.50,5970731.50,5970731.50,5970731.50,6045581.59,-1,-1
2009-03-23,5970731.50,5970731.50,5970731.50,5970731.50,6044973.05,-1,-1
2009-03-24,5970731.50,5970731.50,5970731.50,5970731.50,6044374.33,-1,-1
2009-03-25,5970731.50,5970731.50,5970731.50,5970731.50,6043785.19,-1,-1
2009-03-26,5970731.50,5970731.50,5970731.50,5970731.50,6043205.40,-1,-1
2009-03-27,5970731.50,5970731.50,5970731.50,5970731.50,6042634.74,-1,-1
2009-03-30,5970731.50,5970731.50,5970731.50,5970731.50,6042072.99,-1,-1
2009-03-31,5970731.50,5970731.50,5970731.50,5970731.50,6041519.96,-1,-1
2009-04-01,5970731.50,5970731.50,5970731.50,5970731.50,6040975.43,-1,-1
2009-04-02,5970731.50,5970731.50,5970731.50,5970731.50,6040439.22,-1,-1
2009-04-03,5970731.50,5970731.50,5970731.50,5970731.50,6039911.13,-1,-1
2009-04-06,5970731.50,5970731.50,5970731.50,5970731.50,6039390.98,-1,-1
2009-04-07,5970731.50,5970731.50,5970731.50,5970731.50,6038878.60,-1,-1
2009-04-08,5970731.50,5970731.50,5970731.50,5970731.50,6038373.81,-1,-1
2009-04-09,5970731.50,5970731.50,5970731.50,5970731.50,6037876.44,-1,-1
2009-04-13,5970731.50,5970731.50,5970731.50,5970731.50,6037386.33,-1,-1
2009-04-14,5970731.50,5970731.50,5970731.50,5970731.50,6036903.32,-1,-1
2009-04-15,5970731.50,5970731.50,5970731.50,5970731.50,6036427.26,-1,-1
2009-04-16,5970731.50,5970731.50,5970731.50,5970731.50,6035958.01,-1,-1
2009-04-17,5970731.50,5970731.50,5970731.50,5970731.50,6035495.41,-1,-1
2009-04-20,5970731.50,5970731.50,5970731.50,5970731.50,6035039.33,-1,-1
2009-04-21,5970731.50,5970731.50,5970731.50,5970731.50,6034589.62,-1,-1
2009-04-22,5970731.50,5970731.50,5970731.50,5970731.50,6034146.16,-1,-1
2009-04-23,5970731.50,5970731.50,5970731.50,5970731.50,6033708.82,-1,-1
2009-04-24,5970731.50,5970731.50,5970731.50,5970731.50,6033277.47,-1,-1
2009-04-27,5970731.50,5970731.50,5970731.50,5970731.50,6032851.98,-1,-1
2009-04-28,5970731.50,5970731.50,5970731.50,5970731.50,6032432.25,-1,-1
2009-04-29,5970731.50,5970731.50,5970731.50,5970731.50,6032018.15,-1,-1
2009-04-30,5970731.50,5970731.50,5970731.50,5970731.50,6031609.58,-1,-1
2009-05-01,5970731.50,5970731.50,5970731.50,5970731.50,6031206.41,-1,-1
2009-05-04,5970731.50,5970731.50,5970731.50,5970731.50,6030808.55,-1,-1
2009-05-05,5970731.50,5970731.50,5970731.50,5970731.50,6030415.89,-1,-1
2009-05-06,5970731.50,5970731.50,5970731.50,5970731.50,6030028.33,-1,-1
2009-05-07,5970731.50,5970731.50,5970731.50,5970731.50,6029645.77,-1,-1
2009-05-08,5970731.50,5970731.50,5970731.50,5970731.50,6029268.11,-1,-1
2009-05-11,5970731.50,5970731.50,5970731.50,5970731.50,6028895.27,-1,-1
2009-05-12,5970731.50,5970731.50,5970731.50,5970731.50,6028527.14,-1,-1
2009-05-13,5970731.50,5970731.50,5970731.50,5970731.50,6028163.65,-1,-1
2009-05-14,5970731.50,5970731.50,5970731.50,5970731.50,6027804.70,-1,-1
2009-05-15,5970731.50,5970731.50,5970731.50,5970731.50,6027450.20,-1,-1
2009-05-18,5970731.50,5970731.50,5970731.50,5970731.50,6027100.09,-1,-1
2009-05-19,5368640.93,5669686.21,5830243.70,5886438.82,6000897.62,-1,-1
2009-05-20,5368640.93,5669686.21,5830243.70,5886438.82,6000713.68,-1,-1
2009-05-21,5368640.93,5669686.21,5830243.70,5886438.82,6000531.97,-1,-1
2009-05-22,5368640.93,5669686.21,5830243.70,5886438.82,6000352.45,-1,-1
2009-05-26,5368640.93,5669686.21,5830243.70,5886438.82,6000175.08,-1,-1
2009-05-27,5368640.93,5669686.21,5830243.70,5886438.82,5999999.82,-1,-1
2009-05-28,5368640.93,5669686.21,5830243.70,5886438.82,5999826.63,-1,-1
2009-05-29,5970731.50,5669686.21,5830243.70,5886438.82,5999655.48,1,-1
2009-06-01,5970731.50,5669686.21,5830243.70,5886438.82,5999486.34,1,-1
2009-06-02,5970731.50,5669686.21,5830243.70,5886438.82,5999319.16,1,-1
2009-06-03,5970731.50,5669686.21,5830243.70,5886438.82,5999153.91,1,-1
2009-06-04,5970731.50,5669686.21,5830243.70,5886438.82,5998990.56,1,-1
2009-06-05,5970731.50,5669686.21,5830243.70,5886438.82,5998829.08,1,-1
2009-06-08,5970731.50,5669686.21,5830243.70,5886438.82,5998669.44,1,-1
2009-06-09,5970731.50,5970731.50,5830243.70,5886438.82,5998511.60,-1,-1
2009-06-10,5970731.50,5970731.50,5830243.70,5886438.82,5998355.53,-1,-1
2009-06-11,5970731.50,5970731.50,5830243.70,5886438.82,5998201.21,-1,-1
2009-06-12,5970731.50,5970731.50,5830243.70,5886438.82,5998048.60,-1,-1
