Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2020-05-19,16.22,16.22,16.22,16.22,16.22,-1,-1
2020-05-20,16.24,16.24,16.24,16.24,16.24,-1,-1
2020-05-21,16.29,16.29,16.29,16.29,16.29,-1,-1
2020-05-22,16.33,16.33,16.33,16.33,16.33,-1,-1
2020-05-26,16.40,16.40,16.40,16.40,16.40,-1,-1
2020-05-27,16.45,16.45,16.45,16.45,16.45,-1,-1
2020-05-28,16.49,16.49,16.49,16.49,16.49,-1,-1
2020-05-29,16.56,16.52,16.52,16.52,16.52,1,-1
2020-06-01,16.63,16.54,16.54,16.54,16.54,1,-1
2020-06-02,16.67,16.56,16.56,16.56,16.56,1,-1
2020-06-03,16.70,16.57,16.57,16.57,16.57,1,-1
2020-06-04,16.69,16.57,16.57,16.57,16.57,1,-1
2020-06-05,16.69,16.58,16.58,16.58,16.58,1,-1
2020-06-08,16.70,16.60,16.60,16.60,16.60,1,-1
2020-06-09,16.69,16.63,16.60,16.60,16.60,1,-1
2020-06-10,16.67,16.65,16.60,16.60,16.60,1,-1
2020-06-11,16.61,16.64,16.58,16.58,16.58,-1,-1
2020-06-12,16.57,16.64,16.57,16.57,16.57,-1,-1
2020-06-15,16.58,16.63,16.57,16.57,16.57,-1,-1
2020-06-16,16.56,16.63,16.57,16.57,16.57,-1,-1
2020-06-17,16.53,16.62,16.57,16.57,16.57,-1,-1
2020-06-18,16.53,16.61,16.58,16.58,16.58,-1,-1
2020-06-19,16.55,16.61,16.58,16.58,16.58,-1,-1
2020-06-22,16.60,16.61,16.58,16.58,16.58,-1,-1
2020-06-23,16.64,16.61,16.59,16.59,16.59,1,-1
2020-06-24,16.63,16.60,16.59,16.59,16.59,1,-1
2020-06-25,16.64,16.60,16.59,16.59,16.59,1,-1
2020-06-26,16.66,16.60,16.60,16.60,16.60,1,-1
2020-06-29,16.67,16.60,16.60,16.60,16.60,1,-1
2020-06-30,16.66,16.60,16.60,16.60,16.60,1,-1
2020-07-01,16.68,16.64,16.62,16.61,16.61,1,-1
2020-07-02,16.68,16.66,16.63,16.61,16.61,1,-1
2020-07-06,16.70,16.66,16.64,16.61,16.61,1,-1
2020-07-07,16.68,16.66,16.65,16.61,16.61,1,-1
2020-07-08,16.67,16.66,16.64,16.61,16.61,1,-1
2020-07-09,16.66,16.66,16.64,16.61,16.61,-1,-1
2020-07-10,16.66,16.66,16.64,16.61,16.61,-1,-1
2020-07-13,16.66,16.67,16.64,16.62,16.62,-1,-1
2020-07-14,16.68,16.68,16.65,16.62,16.62,-1,-1
2020-07-15,16.74,16.72,16.66,16.63,16.63,1,-1
2020-07-16,16.82,16.75,16.68,16.65,16.65,1,-1
2020-07-17,16.88,16.77,16.69,16.65,16.65,1,-1
2020-07-20,16.94,16.80,16.70,16.66,16.66,1,-1
2020-07-21,16.98,16.82,16.71,16.67,16.67,1,-1
2020-07-22,17.03,16.84,16.72,16.68,16.68,1,-1
2020-07-23,17.05,16.87,16.73,16.69,16.69,1,-1
2020-07-24,17.04,16.89,16.76,16.69,16.69,1,-1
2020-07-27,17.05,16.94,16.79,16.70,16.70,1,-1
