Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2005-09-30,15.25,15.25,15.25,15.25,15.25,-1,-1
2005-10-03,15.00,15.00,15.00,15.00,15.00,-1,-1
2005-10-04,14.67,14.67,14.67,14.67,14.67,-1,-1
2005-10-05,14.55,14.55,14.55,14.55,14.55,-1,-1
2005-10-06,14.50,14.50,14.50,14.50,14.50,-1,-1
2005-10-07,14.44,14.44,14.44,14.44,14.44,-1,-1
2005-10-10,14.39,14.39,14.39,14.39,14.39,-1,-1
2005-10-11,14.23,14.36,14.36,14.36,14.36,-1,-1
2005-10-12,14.14,14.33,14.33,14.33,14.33,-1,-1
2005-10-13,14.25,14.38,14.38,14.38,14.38,-1,-1
2005-10-14,14.31,14.40,14.40,14.40,14.40,-1,-1
2005-10-17,14.37,14.43,14.43,14.43,14.43,-1,-1
2005-10-18,14.48,14.46,14.46,14.46,14.46,1,-1
2005-10-19,14.68,14.54,14.54,14.54,14.54,1,-1
2005-10-20,14.87,14.55,14.60,14.60,14.60,1,-1
2005-10-21,15.04,14.59,14.64,14.64,14.64,1,-1
2005-10-24,15.13,14.69,14.69,14.69,14.69,1,-1
2005-10-25,15.28,14.79,14.74,14.74,14.74,1,-1
2005-10-26,15.57,14.97,14.85,14.85,14.85,1,-1
2005-10-27,15.94,15.21,14.98,14.98,14.98,1,-1
2005-10-28,16.21,15.45,15.10,15.10,15.10,1,-1
2005-10-31,16.43,15.65,15.18,15.18,15.18,1,-1
2005-11-01,16.71,15.88,15.27,15.27,15.27,1,-1
2005-11-02,17.07,16.10,15.38,15.38,15.38,1,-1
2005-11-03,17.38,16.33,15.48,15.48,15.48,1,-1
2005-11-04,17.52,16.55,15.57,15.57,15.57,1,-1
2005-11-07,17.62,16.78,15.66,15.66,15.66,1,-1
2005-11-08,17.73,16.97,15.75,15.75,15.75,1,-1
2005-11-09,17.94,17.18,15.85,15.85,15.85,1,-1
2005-11-10,18.10,17.40,15.93,15.93,15.93,1,-1
2005-11-11,18.16,17.62,16.04,16.01,16.01,1,-1
2005-11-14,18.32,17.85,16.17,16.10,16.10,1,-1
2005-11-15,18.50,18.01,16.34,16.19,16.19,1,-1
2005-11-16,18.65,18.14,16.51,16.28,16.28,1,-1
2005-11-17,18.76,18.25,16.66,16.36,16.36,1,-1
2005-11-18,18.81,18.38,16.82,16.42,16.42,1,-1
2005-11-21,18.85,18.48,16.97,16.48,16.48,1,-1
2005-11-22,18.85,18.50,17.11,16.53,16.53,1,-1
2005-11-23,18.81,18.56,17.26,16.58,16.58,1,-1
2005-11-25,18.68,18.59,17.38,16.63,16.63,1,-1
2005-11-28,18.51,18.58,17.49,16.66,16.66,-1,-1
2005-11-29,18.43,18.60,17.61,16.70,16.70,-1,-1
2005-11-30,18.35,18.58,17.72,16.74,16.74,-1,-1
2005-12-01,18.24,18.55,17.80,16.76,16.76,-1,-1
2005-12-02,18.33,18.59,17.92,16.81,16.81,-1,-1
2005-12-05,18.40,18.60,18.04,16.86,16.86,-1,-1
2005-12-06,18.62,18.65,18.19,16.92,16.92,-1,-1
2005-12-07,18.90,18.71,18.34,16.99,16.99,1,-1
2005-12-08,19.17,18.80,18.45,17.05,17.05,1,-1
2005-12-09,19.50,18.93,18.55,17.12,17.12,1,-1
2005-12-12,19.93,19.09,18.67,17.24,17.20,1,1
2005-12-13,20.21,19.27,18.80,17.36,17.27,1,1
2005-12-14,20.52,19.46,18.93,17.50,17.34,1,1
2005-12-15,20.83,19.72,19.06,17.66,17.43,1,1
2005-12-16,21.15,20.03,19.22,17.82,17.52,1,1
2005-12-19,21.44,20.31,19.37,17.98,17.60,1,1
2005-12-20,21.70,20.60,19.51,18.15,17.69,1,1
2005-12-21,21.91,20.92,19.64,18.31,17.77,1,1
2005-12-22,22.10,21.16,19.77,18.48,17.84,1,1
2005-12-23,22.27,21.40,19.91,18.63,17.92,1,1
2005-12-27,22.27,21.55,20.02,18.77,17.98,1,1
2005-12-28,22.21,21.68,20.12,18.92,18.05,1,1
2005-12-29,22.19,21.82,20.23,19.06,18.11,1,1
2005-12-30,22.26,21.98,20.35,19.21,18.19,1,1
2006-01-03,22.36,22.13,20.48,19.36,18.26,1,1
2006-01-04,22.48,22.29,20.63,19.52,18.34,1,1
2006-01-05,22.59,22.43,20.78,19.67,18.41,1,1
2006-01-06,22.85,22.56,20.96,19.83,18.49,1,1
2006-01-09,23.07,22.64,21.12,19.97,18.56,1,1
2006-01-10,23.30,22.75,21.31,20.09,18.63,1,1
2006-01-11,23.71,22.98,21.56,20.26,18.73,1,1
2006-01-12,23.94,23.15,21.77,20.41,18.81,1,1
2006-01-13,24.25,23.36,22.01,20.57,18.90,1,1
2006-01-17,24.77,23.68,22.30,20.75,19.01,1,1
2006-01-18,25.22,24.04,22.56,20.93,19.11,1,1
2006-01-19,25.85,24.46,22.86,21.13,19.23,1,1
2006-01-20,26.47,24.89,23.14,21.33,19.34,1,1
2006-01-23,26.82,25.27,23.41,21.53,19.46,1,1
