Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2000-01-03,11.44,11.44,11.44,11.44,11.44,-1,-1
2000-01-04,11.32,11.32,11.32,11.32,11.32,-1,-1
2000-01-05,11.34,11.34,11.34,11.34,11.34,-1,-1
2000-01-06,11.53,11.53,11.53,11.53,11.53,-1,-1
2000-01-07,11.71,11.71,11.71,11.71,11.71,-1,-1
2000-01-10,11.73,11.73,11.73,11.73,11.73,-1,-1
2000-01-11,11.70,11.70,11.70,11.70,11.70,-1,-1
2000-01-12,11.64,11.62,11.62,11.62,11.62,1,-1
2000-01-13,11.57,11.51,11.51,11.51,11.51,1,-1
2000-01-14,11.48,11.43,11.43,11.43,11.43,1,-1
2000-01-18,11.17,11.30,11.30,11.30,11.30,-1,-1
2000-01-19,10.83,11.20,11.20,11.20,11.20,-1,-1
2000-01-20,10.65,11.15,11.15,11.15,11.15,-1,-1
2000-01-21,10.55,11.12,11.12,11.12,11.12,-1,-1
2000-01-24,10.70,11.17,11.19,11.19,11.19,-1,-1
2000-01-25,10.86,11.21,11.22,11.22,11.22,-1,-1
2000-01-26,10.83,11.15,11.19,11.19,11.19,-1,-1
2000-01-27,10.86,11.02,11.13,11.13,11.13,-1,-1
2000-01-28,10.92,10.88,11.10,11.10,11.10,1,-1
2000-01-31,10.81,10.73,11.03,11.03,11.03,1,-1
2000-02-01,10.56,10.56,10.94,10.94,10.94,-1,-1
2000-02-02,10.14,10.42,10.86,10.86,10.86,-1,-1
2000-02-03,10.02,10.44,10.86,10.86,10.86,-1,-1
2000-02-04,10.18,10.50,10.89,10.89,10.89,-1,-1
2000-02-07,10.39,10.62,10.92,10.92,10.92,-1,-1
2000-02-08,10.57,10.75,10.96,10.96,10.96,-1,-1
2000-02-09,10.84,10.83,10.98,10.98,10.98,1,-1
2000-02-10,11.22,10.89,11.01,11.01,11.01,1,-1
2000-02-11,11.57,10.86,11.03,11.03,11.03,1,-1
2000-02-14,11.59,10.80,11.03,11.03,11.03,1,-1
2000-02-15,11.38,10.78,10.99,11.00,11.00,1,-1
2000-02-16,11.24,10.82,10.97,10.99,10.99,1,-1
2000-02-17,11.10,10.84,10.95,10.99,10.99,1,-1
2000-02-18,10.97,10.90,10.90,10.98,10.98,1,-1
2000-02-22,10.74,10.98,10.83,10.95,10.95,-1,-1
2000-02-23,10.47,11.02,10.76,10.92,10.92,-1,-1
2000-02-24,10.30,10.95,10.70,10.89,10.89,-1,-1
2000-02-25,10.15,10.77,10.64,10.85,10.85,-1,-1
2000-02-28,9.87,10.56,10.58,10.79,10.79,-1,-1
2000-02-29,9.65,10.38,10.52,10.75,10.75,-1,-1
2000-03-01,9.39,10.18,10.49,10.71,10.71,-1,-1
2000-03-02,9.21,9.97,10.45,10.66,10.66,-1,-1
2000-03-03,8.97,9.72,10.37,10.60,10.60,-1,-1
2000-03-06,8.70,9.50,10.27,10.54,10.54,-1,-1
2000-03-07,8.51,9.33,10.13,10.48,10.48,-1,-1
2000-03-08,8.32,9.10,9.99,10.42,10.42,-1,-1
2000-03-09,8.02,8.84,9.87,10.35,10.35,-1,-1
2000-03-10,7.76,8.58,9.77,10.28,10.28,-1,-1
2000-03-13,7.54,8.37,9.66,10.22,10.22,-1,-1
2000-03-14,7.37,8.17,9.57,10.15,10.15,-1,-1
2000-03-15,7.22,7.96,9.49,10.06,10.09,-1,-1
2000-03-16,7.09,7.80,9.42,9.97,10.02,-1,-1
2000-03-17,7.00,7.66,9.28,9.88,9.96,-1,-1
2000-03-20,6.92,7.47,9.11,9.77,9.90,-1,-1
2000-03-21,6.88,7.32,8.94,9.66,9.84,-1,-1
2000-03-22,6.88,7.21,8.79,9.57,9.80,-1,-1
2000-03-23,7.00,7.18,8.67,9.49,9.76,-1,-1
2000-03-24,7.14,7.18,8.54,9.43,9.73,-1,-1
2000-03-27,7.26,7.17,8.41,9.37,9.70,1,-1
2000-03-28,7.34,7.17,8.29,9.30,9.66,1,-1
2000-03-29,7.43,7.18,8.19,9.25,9.62,1,-1
2000-03-30,7.48,7.18,8.07,9.19,9.58,1,-1
2000-03-31,7.46,7.17,7.95,9.12,9.54,1,-1
2000-04-03,7.35,7.17,7.82,9.04,9.50,1,-1
2000-04-04,7.14,7.14,7.70,8.93,9.45,-1,-1
2000-04-05,6.93,7.10,7.58,8.82,9.40,-1,-1
2000-04-06,6.73,7.04,7.46,8.73,9.35,-1,-1
2000-04-07,6.56,7.00,7.35,8.65,9.30,-1,-1
2000-04-10,6.41,6.95,7.26,8.56,9.26,-1,-1
2000-04-11,6.23,6.85,7.15,8.48,9.21,-1,-1
2000-04-12,6.02,6.68,7.04,8.41,9.16,-1,-1
2000-04-13,5.82,6.48,6.91,8.33,9.10,-1,-1
2000-04-14,5.61,6.27,6.80,8.20,9.04,-1,-1
2000-04-17,5.42,6.08,6.69,8.06,8.98,-1,-1
2000-04-18,5.23,5.90,6.59,7.92,8.92,-1,-1
2000-04-19,5.05,5.73,6.50,7.78,8.87,-1,-1
2000-04-20,4.86,5.54,6.41,7.64,8.81,-1,-1
2000-04-24,4.79,5.41,6.34,7.51,8.76,-1,-1
2000-04-25,4.87,5.34,6.29,7.39,8.72,-1,-1
2000-04-26,5.06,5.33,6.26,7.29,8.69,-1,-1
2000-04-27,5.26,5.34,6.23,7.21,8.66,-1,-1
2000-04-28,5.43,5.33,6.20,7.11,8.63,1,-1
2000-05-01,5.65,5.35,6.18,7.02,8.60,1,-1
2000-05-02,6.00,5.43,6.20,6.95,8.58,1,-1
2000-05-03,6.28,5.54,6.20,6.88,8.56,1,-1
2000-05-04,6.54,5.70,6.21,6.84,8.55,1,-1
2000-05-05,6.70,5.88,6.19,6.79,8.53,1,-1
2000-05-08,6.84,6.05,6.16,6.74,8.51,1,-1
2000-05-09,6.99,6.21,6.14,6.71,8.50,1,-1
2000-05-10,7.11,6.38,6.13,6.66,8.48,1,-1
2000-05-11,7.12,6.56,6.13,6.63,8.47,1,-1
2000-05-12,7.12,6.70,6.12,6.59,8.45,1,-1
2000-05-15,7.11,6.82,6.13,6.57,8.44,1,-1
2000-05-16,7.11,6.90,6.13,6.56,8.43,1,-1
2000-05-17,7.11,6.97,6.15,6.55,8.41,1,-1
2000-05-18,7.11,7.05,6.18,6.54,8.40,1,-1
2000-05-19,7.09,7.10,6.21,6.53,8.38,-1,-1
2000-05-22,7.09,7.11,6.25,6.54,8.37,-1,-1
2000-05-23,7.09,7.11,6.28,6.53,8.35,-1,-1
2000-05-24,7.09,7.10,6.33,6.54,8.34,-1,-1
2000-05-25,7.07,7.09,6.38,6.54,8.33,-1,-1
2000-05-26,6.98,7.04,6.43,6.53,8.31,-1,-1
2000-05-30,6.86,6.98,6.47,6.52,8.29,-1,-1
2000-05-31,6.64,6.86,6.50,6.50,8.26,-1,-1
2000-06-01,6.38,6.73,6.52,6.47,8.24,-1,-1
2000-06-02,6.10,6.60,6.52,6.42,8.21,-1,-1
2000-06-05,5.82,6.45,6.55,6.37,8.18,-1,-1
2000-06-06,5.61,6.34,6.57,6.33,8.15,-1,-1
2000-06-07,5.51,6.25,6.58,6.29,8.13,-1,-1
2000-06-08,5.44,6.15,6.56,6.25,8.11,-1,-1
2000-06-09,5.45,6.05,6.54,6.22,8.09,-1,-1
2000-06-12,5.48,5.93,6.53,6.19,8.06,-1,-1
2000-06-13,5.54,5.82,6.50,6.15,8.04,-1,-1
2000-06-14,5.57,5.69,6.45,6.12,8.02,-1,-1
2000-06-15,5.56,5.59,6.40,6.11,8.00,-1,-1
2000-06-16,5.53,5.52,6.34,6.09,7.98,1,-1
2000-06-19,5.53,5.49,6.29,6.08,7.96,1,-1
2000-06-20,5.57,5.51,6.24,6.08,7.94,1,-1
2000-06-21,5.57,5.53,6.20,6.07,7.92,1,-1
2000-06-22,5.61,5.57,6.15,6.06,7.90,1,-1
2000-06-23,5.62,5.60,6.10,6.07,7.88,1,-1
2000-06-26,5.61,5.58,6.05,6.08,7.86,1,-1
2000-06-27,5.63,5.58,6.00,6.10,7.84,1,-1
2000-06-28,5.66,5.60,5.95,6.12,7.83,1,-1
2000-06-29,5.68,5.63,5.91,6.14,7.81,1,-1
2000-06-30,5.63,5.60,5.85,6.15,7.79,1,-1
2000-07-03,5.60,5.60,5.80,6.17,7.77,-1,-1
2000-07-05,5.58,5.60,5.75,6.18,7.75,-1,-1
2000-07-06,5.65,5.63,5.71,6.18,7.74,1,-1
