Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2011-04-20,19.34,19.34,19.34,19.34,19.34,-1,-1
2011-04-21,19.34,19.34,19.34,19.34,19.34,-1,-1
2011-04-25,19.40,19.40,19.40,19.40,19.40,-1,-1
2011-04-26,19.44,19.44,19.44,19.44,19.44,-1,-1
2011-04-27,19.46,19.46,19.46,19.46,19.46,-1,-1
2011-04-28,19.44,19.44,19.44,19.44,19.44,-1,-1
2011-04-29,19.43,19.43,19.43,19.43,19.43,-1,-1
2011-05-02,19.43,19.42,19.42,19.42,19.42,1,-1
2011-05-03,19.41,19.39,19.39,19.39,19.39,1,-1
2011-05-04,19.31,19.34,19.34,19.34,19.34,-1,-1
2011-05-05,19.18,19.27,19.27,19.27,19.27,-1,-1
2011-05-06,19.04,19.21,19.21,19.21,19.21,-1,-1
2011-05-09,18.99,19.20,19.20,19.20,19.20,-1,-1
2011-05-10,18.93,19.18,19.18,19.18,19.18,-1,-1
2011-05-11,18.88,19.16,19.17,19.17,19.17,-1,-1
2011-05-12,18.82,19.11,19.14,19.14,19.14,-1,-1
2011-05-13,18.77,19.04,19.10,19.10,19.10,-1,-1
2011-05-16,18.76,18.97,19.07,19.07,19.07,-1,-1
2011-05-17,18.75,18.89,19.04,19.04,19.04,-1,-1
2011-05-18,18.73,18.86,19.03,19.03,19.03,-1,-1
2011-05-19,18.69,18.81,19.02,19.02,19.02,-1,-1
2011-05-20,18.66,18.77,19.01,19.01,19.01,-1,-1
2011-05-23,18.65,18.74,18.99,18.99,18.99,-1,-1
2011-05-24,18.69,18.73,18.98,18.98,18.98,-1,-1
2011-05-25,18.72,18.74,18.97,18.97,18.97,-1,-1
2011-05-26,18.73,18.74,18.96,18.96,18.96,-1,-1
2011-05-27,18.70,18.71,18.95,18.95,18.95,-1,-1
2011-05-31,18.76,18.73,18.96,18.96,18.96,1,-1
2011-06-01,18.83,18.74,18.96,18.96,18.96,1,-1
2011-06-02,18.91,18.78,18.97,18.97,18.97,1,-1
2011-06-03,18.96,18.83,18.96,18.98,18.98,1,-1
2011-06-06,18.99,18.85,18.95,18.98,18.98,1,-1
2011-06-07,19.03,18.88,18.93,18.97,18.97,1,-1
2011-06-08,19.04,18.87,18.90,18.97,18.97,1,-1
2011-06-09,18.96,18.86,18.87,18.96,18.96,1,-1
2011-06-10,18.88,18.86,18.85,18.95,18.95,1,-1
2011-06-13,18.79,18.85,18.83,18.94,18.94,-1,-1
2011-06-14,18.73,18.85,18.80,18.93,18.93,-1,-1
2011-06-15,18.66,18.82,18.78,18.92,18.92,-1,-1
2011-06-16,18.59,18.81,18.76,18.91,18.91,-1,-1
2011-06-17,18.55,18.79,18.76,18.89,18.89,-1,-1
2011-06-20,18.51,18.74,18.75,18.88,18.88,-1,-1
2011-06-21,18.50,18.69,18.73,18.87,18.87,-1,-1
2011-06-22,18.48,18.64,18.72,18.87,18.87,-1,-1
2011-06-23,18.41,18.57,18.69,18.85,18.85,-1,-1
2011-06-24,18.38,18.52,18.67,18.84,18.84,-1,-1
2011-06-27,18.39,18.49,18.67,18.83,18.83,-1,-1
2011-06-28,18.42,18.48,18.68,18.82,18.82,-1,-1
2011-06-29,18.50,18.50,18.69,18.83,18.83,-1,-1
2011-06-30,18.56,18.53,18.70,18.83,18.83,1,-1
2011-07-01,18.70,18.59,18.72,18.83,18.84,1,-1
2011-07-05,18.88,18.65,18.74,18.84,18.86,1,-1
2011-07-06,19.06,18.72,18.77,18.83,18.87,1,-1
2011-07-07,19.24,18.81,18.80,18.84,18.88,1,-1
2011-07-08,19.37,18.90,18.83,18.84,18.89,1,-1
