Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2023-02-03,26.00,26.00,26.00,26.00,26.00,-1,-1
2023-02-06,25.38,25.38,25.38,25.38,25.38,-1,-1
2023-02-07,24.96,24.96,24.96,24.96,24.96,-1,-1
2023-02-08,24.53,24.53,24.53,24.53,24.53,-1,-1
2023-02-09,24.15,24.15,24.15,24.15,24.15,-1,-1
2023-02-10,23.96,23.96,23.96,23.96,23.96,-1,-1
2023-02-13,23.92,23.92,23.92,23.92,23.92,-1,-1
2023-02-14,23.57,23.88,23.88,23.88,23.88,-1,-1
2023-02-15,23.34,23.79,23.79,23.79,23.79,-1,-1
2023-02-16,23.01,23.59,23.59,23.59,23.59,-1,-1
2023-02-17,22.85,23.46,23.46,23.46,23.46,-1,-1
2023-02-21,22.69,23.30,23.30,23.30,23.30,-1,-1
2023-02-22,22.75,23.31,23.31,23.31,23.31,-1,-1
2023-02-23,22.84,23.38,23.38,23.38,23.38,-1,-1
2023-02-24,22.95,23.26,23.44,23.44,23.44,-1,-1
2023-02-27,23.07,23.21,23.48,23.48,23.48,-1,-1
2023-02-28,23.61,23.31,23.60,23.60,23.60,1,-1
2023-03-01,23.72,23.29,23.56,23.56,23.56,1,-1
2023-03-02,23.91,23.30,23.53,23.53,23.53,1,-1
2023-03-03,24.35,23.55,23.68,23.68,23.68,1,-1
2023-03-06,24.60,23.72,23.79,23.79,23.79,1,-1
2023-03-07,24.83,23.89,23.88,23.88,23.88,1,-1
2023-03-08,24.91,23.99,23.91,23.91,23.91,1,-1
2023-03-09,24.64,24.12,23.90,23.90,23.90,1,-1
2023-03-10,24.72,24.22,23.89,23.89,23.89,1,-1
2023-03-13,24.77,24.34,23.86,23.86,23.86,1,-1
2023-03-14,24.26,24.31,23.83,23.83,23.83,-1,-1
2023-03-15,23.84,24.22,23.80,23.80,23.80,-1,-1
2023-03-16,23.52,24.17,23.80,23.80,23.80,-1,-1
2023-03-17,23.31,24.11,23.77,23.77,23.77,-1,-1
2023-03-20,23.17,23.90,23.66,23.74,23.74,-1,-1
2023-03-21,23.02,23.87,23.59,23.70,23.70,-1,-1
2023-03-22,22.91,23.84,23.53,23.66,23.66,-1,-1
2023-03-23,22.91,23.58,23.52,23.64,23.64,-1,-1
2023-03-24,22.87,23.35,23.52,23.61,23.61,-1,-1
2023-03-27,22.90,23.21,23.55,23.62,23.62,-1,-1
2023-03-28,22.62,22.97,23.47,23.56,23.56,-1,-1
2023-03-29,22.58,22.87,23.43,23.52,23.52,-1,-1
2023-03-30,22.53,22.77,23.40,23.49,23.49,-1,-1
2023-03-31,22.72,22.82,23.46,23.50,23.50,-1,-1
2023-04-03,23.18,23.04,23.60,23.56,23.56,1,-1
2023-04-04,23.46,23.16,23.70,23.59,23.59,1,-1
2023-04-05,23.62,23.26,23.75,23.62,23.62,1,-1
2023-04-06,24.09,23.36,23.76,23.64,23.64,1,-1
2023-04-10,24.43,23.50,23.78,23.66,23.66,1,-1
2023-04-11,24.71,23.62,23.78,23.67,23.67,1,-1
2023-04-12,24.71,23.72,23.72,23.68,23.68,1,-1
2023-04-13,24.48,23.83,23.77,23.69,23.69,1,-1
2023-04-14,24.41,23.94,23.82,23.71,23.71,1,-1
2023-04-17,24.41,24.02,23.77,23.73,23.73,1,-1
2023-04-18,24.40,24.24,23.72,23.70,23.74,1,-1
2023-04-19,24.26,24.35,23.64,23.68,23.75,-1,-1
2023-04-20,24.27,24.49,23.63,23.68,23.75,-1,-1
