Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2023-12-15,23.90,23.90,23.90,23.90,23.90,-1,-1
2023-12-18,23.86,23.86,23.86,23.86,23.86,-1,-1
2023-12-19,23.93,23.93,23.93,23.93,23.93,-1,-1
2023-12-20,23.88,23.88,23.88,23.88,23.88,-1,-1
2023-12-21,23.92,23.92,23.92,23.92,23.92,-1,-1
2023-12-22,23.98,23.98,23.98,23.98,23.98,-1,-1
2023-12-26,24.03,24.03,24.03,24.03,24.03,-1,-1
2023-12-27,24.11,24.08,24.08,24.08,24.08,1,-1
2023-12-28,24.20,24.12,24.12,24.12,24.12,1,-1
2023-12-29,24.25,24.16,24.16,24.16,24.16,1,-1
2024-01-02,24.35,24.18,24.18,24.18,24.18,1,-1
2024-01-03,24.37,24.18,24.18,24.18,24.18,1,-1
2024-01-04,24.38,24.19,24.19,24.19,24.19,1,-1
2024-01-05,24.41,24.22,24.22,24.22,24.22,1,-1
2024-01-08,24.44,24.28,24.25,24.25,24.25,1,-1
2024-01-09,24.43,24.31,24.26,24.26,24.26,1,-1
2024-01-10,24.40,24.33,24.26,24.26,24.26,1,-1
2024-01-11,24.35,24.35,24.24,24.24,24.24,-1,-1
2024-01-12,24.32,24.34,24.23,24.23,24.23,-1,-1
2024-01-16,24.21,24.29,24.20,24.20,24.20,-1,-1
2024-01-17,24.03,24.22,24.16,24.16,24.16,-1,-1
2024-01-18,23.85,24.15,24.12,24.12,24.12,-1,-1
2024-01-19,23.77,24.10,24.11,24.11,24.11,-1,-1
2024-01-22,23.68,24.04,24.09,24.09,24.09,-1,-1
2024-01-23,23.65,24.00,24.08,24.08,24.08,-1,-1
2024-01-24,23.67,24.00,24.08,24.08,24.08,-1,-1
2024-01-25,23.76,23.99,24.09,24.09,24.09,-1,-1
2024-01-26,23.90,23.97,24.09,24.09,24.09,-1,-1
2024-01-29,24.02,23.94,24.10,24.10,24.10,1,-1
2024-01-30,24.12,23.94,24.11,24.11,24.11,1,-1
2024-01-31,24.21,23.94,24.12,24.12,24.12,1,-1
2024-02-01,24.25,23.95,24.13,24.12,24.12,1,-1
2024-02-02,24.26,23.97,24.14,24.12,24.12,1,-1
2024-02-05,24.23,24.00,24.15,24.11,24.11,1,-1
2024-02-06,24.19,24.05,24.14,24.11,24.11,1,-1
2024-02-07,24.14,24.08,24.13,24.11,24.11,1,-1
2024-02-08,24.03,24.08,24.11,24.09,24.09,-1,-1
2024-02-09,23.95,24.08,24.09,24.08,24.08,-1,-1
2024-02-12,23.91,24.08,24.07,24.08,24.08,-1,-1
2024-02-13,23.80,24.03,24.03,24.06,24.06,-1,-1
2024-02-14,23.75,23.99,24.01,24.05,24.05,-1,-1
2024-02-15,23.74,23.96,24.00,24.05,24.05,-1,-1
2024-02-16,23.76,23.95,23.99,24.05,24.05,-1,-1
2024-02-20,23.86,23.95,23.98,24.06,24.06,-1,-1
2024-02-21,23.97,23.96,23.98,24.07,24.07,1,-1
2024-02-22,24.08,24.00,23.99,24.08,24.08,1,-1
2024-02-23,24.29,24.04,24.00,24.10,24.10,1,-1
2024-02-26,24.44,24.09,24.03,24.11,24.11,1,-1
2024-02-27,24.56,24.15,24.06,24.12,24.12,1,-1
2024-02-28,24.66,24.21,24.09,24.14,24.14,1,-1
2024-02-29,24.73,24.30,24.15,24.16,24.15,1,1
2024-03-01,24.82,24.39,24.20,24.18,24.17,1,1
2024-03-04,24.88,24.48,24.25,24.20,24.19,1,1
2024-03-05,24.93,24.61,24.30,24.23,24.20,1,1
2024-03-06,25.03,24.74,24.35,24.26,24.23,1,1
2024-03-07,25.14,24.85,24.40,24.28,24.25,1,1
2024-03-08,25.29,24.98,24.45,24.31,24.28,1,1
2024-03-11,25.42,25.07,24.50,24.34,24.30,1,1
2024-03-12,25.54,25.18,24.55,24.37,24.33,1,1
2024-03-13,25.66,25.27,24.60,24.40,24.36,1,1
2024-03-14,25.71,25.32,24.65,24.42,24.38,1,1
2024-03-15,25.77,25.40,24.70,24.45,24.40,1,1
2024-03-18,25.79,25.47,24.76,24.48,24.42,1,1
2024-03-19,25.79,25.54,24.82,24.51,24.44,1,1
2024-03-20,25.84,25.63,24.88,24.53,24.47,1,1
2024-03-21,25.91,25.73,24.97,24.58,24.50,1,1
2024-03-22,25.97,25.82,25.06,24.62,24.53,1,1
2024-03-25,26.07,25.89,25.14,24.66,24.55,1,1
2024-03-26,26.16,25.97,25.23,24.71,24.58,1,1
2024-03-27,26.29,26.04,25.34,24.77,24.61,1,1
2024-03-28,26.41,26.10,25.44,24.84,24.64,1,1
2024-04-01,26.47,26.15,25.52,24.90,24.66,1,1
2024-04-02,26.48,26.19,25.60,24.96,24.69,1,1
2024-04-03,26.54,26.25,25.68,25.02,24.72,1,1
2024-04-04,26.59,26.33,25.76,25.07,24.74,1,1
2024-04-05,26.63,26.40,25.82,25.13,24.77,1,1
2024-04-08,26.67,26.48,25.89,25.18,24.80,1,1
2024-04-09,26.70,26.56,25.96,25.23,24.82,1,1
2024-04-10,26.71,26.59,26.02,25.28,24.84,1,1
2024-04-11,26.69,26.58,26.08,25.31,24.86,1,1
2024-04-12,26.58,26.56,26.11,25.35,24.88,1,1
2024-04-15,26.48,26.54,26.14,25.39,24.89,-1,1
2024-04-16,26.33,26.48,26.16,25.41,24.90,-1,1
2024-04-17,26.16,26.42,26.18,25.45,24.91,-1,1
2024-04-18,26.05,26.38,26.20,25.49,24.92,-1,1
2024-04-19,26.01,26.36,26.23,25.54,24.94,-1,1
2024-04-22,26.07,26.38,26.26,25.60,24.96,-1,1
2024-04-23,26.21,26.40,26.30,25.67,24.98,-1,1
2024-04-24,26.35,26.41,26.33,25.73,25.01,-1,1
2024-04-25,26.56,26.44,26.37,25.80,25.03,1,1
2024-04-26,26.75,26.46,26.42,25.87,25.05,1,1
2024-04-29,26.91,26.48,26.47,25.93,25.07,1,1
2024-04-30,27.00,26.50,26.51,25.99,25.09,1,1
2024-05-01,27.03,26.55,26.55,26.04,25.11,1,1
2024-05-02,27.07,26.64,26.59,26.10,25.14,1,1
2024-05-03,27.14,26.74,26.62,26.16,25.16,1,1
2024-05-06,27.21,26.89,26.66,26.21,25.19,1,1
