Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2026-03-20,9.85,9.85,9.85,9.85,9.85,-1,-1
2026-03-23,10.59,10.59,10.59,10.59,10.59,-1,-1
2026-03-24,10.76,10.76,10.76,10.76,10.76,-1,-1
2026-03-25,10.82,10.82,10.82,10.82,10.82,-1,-1
2026-03-26,10.83,10.83,10.83,10.83,10.83,-1,-1
2026-03-27,10.65,10.65,10.65,10.65,10.65,-1,-1
2026-03-30,10.40,10.40,10.40,10.40,10.40,-1,-1
2026-03-31,10.25,10.20,10.20,10.20,10.20,1,-1
2026-04-01,9.86,10.02,10.02,10.02,10.02,-1,-1
2026-04-02,9.61,9.95,9.95,9.95,9.95,-1,-1
2026-04-06,9.33,9.87,9.87,9.87,9.87,-1,-1
2026-04-07,8.97,9.75,9.75,9.75,9.75,-1,-1
2026-04-08,8.78,9.64,9.64,9.64,9.64,-1,-1
2026-04-09,8.75,9.58,9.58,9.58,9.58,-1,-1
2026-04-10,8.76,9.51,9.53,9.53,9.53,-1,-1
2026-04-13,8.81,9.33,9.49,9.49,9.49,-1,-1
2026-04-14,8.96,9.28,9.54,9.54,9.54,-1,-1
2026-04-15,9.41,9.37,9.69,9.69,9.69,1,-1
2026-04-16,9.89,9.43,9.80,9.80,9.80,1,-1
2026-04-17,10.38,9.58,9.90,9.90,9.90,1,-1
2026-04-20,10.99,9.87,10.05,10.05,10.05,1,-1
2026-04-21,11.40,10.08,10.13,10.13,10.13,1,-1
2026-04-22,11.84,10.32,10.21,10.21,10.21,1,-1
2026-04-23,12.00,10.48,10.26,10.26,10.26,1,-1
2026-04-24,11.88,10.64,10.30,10.30,10.30,1,-1
2026-04-27,11.86,10.88,10.36,10.36,10.36,1,-1
2026-04-28,11.61,11.00,10.34,10.34,10.34,1,-1
2026-04-29,11.17,11.08,10.33,10.33,10.33,1,-1
2026-04-30,10.91,11.16,10.32,10.32,10.32,-1,-1
2026-05-01,10.74,11.29,10.33,10.33,10.33,-1,-1
2026-05-04,10.54,11.27,10.34,10.32,10.32,-1,-1
2026-05-05,10.30,11.09,10.28,10.30,10.30,-1,-1
2026-05-06,10.12,10.99,10.26,10.31,10.31,-1,-1
2026-05-07,10.12,10.86,10.23,10.30,10.30,-1,-1
2026-05-08,10.15,10.66,10.20,10.29,10.29,-1,-1
2026-05-11,10.53,10.72,10.30,10.36,10.36,-1,-1
2026-05-12,10.67,10.71,10.39,10.40,10.40,-1,-1
2026-05-13,10.99,10.76,10.51,10.45,10.45,1,-1
2026-05-14,11.35,10.82,10.63,10.49,10.49,1,-1
2026-05-15,11.57,10.84,10.72,10.53,10.53,1,-1
2026-05-18,11.76,10.94,10.79,10.55,10.55,1,-1
2026-05-19,11.91,11.03,10.89,10.56,10.56,1,-1
2026-05-20,11.66,11.09,10.97,10.57,10.57,1,-1
2026-05-21,11.69,11.18,11.08,10.60,10.60,1,-1
2026-05-22,11.92,11.46,11.25,10.67,10.67,1,-1
2026-05-26,11.87,11.61,11.34,10.70,10.70,1,-1
2026-05-27,11.87,11.72,11.40,10.73,10.73,1,-1
2026-05-28,12.12,11.94,11.43,10.78,10.78,1,-1
2026-05-29,12.40,12.15,11.47,10.82,10.82,1,-1
2026-06-01,12.67,12.16,11.50,10.86,10.86,1,-1
2026-06-02,12.93,12.31,11.53,10.94,10.92,1,1
2026-06-03,12.75,12.33,11.56,10.97,10.95,1,1
