Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2015-12-30,161.60,161.60,161.60,161.60,161.60,-1,-1
2015-12-31,143.30,143.30,143.30,143.30,143.30,-1,-1
2016-01-04,155.53,155.53,155.53,155.53,155.53,-1,-1
2016-01-05,167.20,167.20,167.20,167.20,167.20,-1,-1
2016-01-06,169.48,169.48,169.48,169.48,169.48,-1,-1
2016-01-07,165.40,165.40,165.40,165.40,165.40,-1,-1
2016-01-08,161.74,161.74,161.74,161.74,161.74,-1,-1
2016-01-11,152.86,153.95,153.95,153.95,153.95,-1,-1
2016-01-12,146.74,145.98,145.98,145.98,145.98,1,-1
2016-01-13,131.57,138.76,138.76,138.76,138.76,-1,-1
2016-01-14,113.97,133.33,133.33,133.33,133.33,-1,-1
2016-01-15,98.49,128.07,128.07,128.07,128.07,-1,-1
2016-01-19,86.71,123.03,123.03,123.03,123.03,-1,-1
2016-01-20,75.14,118.44,118.44,118.44,118.44,-1,-1
2016-01-21,68.83,110.84,114.23,114.23,114.23,-1,-1
2016-01-22,65.31,106.03,110.69,110.69,110.69,-1,-1
2016-01-25,62.43,97.00,107.33,107.33,107.33,-1,-1
2016-01-26,58.74,86.36,104.32,104.32,104.32,-1,-1
2016-01-27,56.20,77.34,101.59,101.59,101.59,-1,-1
2016-01-28,54.97,70.84,99.21,99.21,99.21,-1,-1
2016-01-29,58.43,66.78,98.44,98.44,98.44,-1,-1
2016-02-01,61.85,65.34,97.56,97.56,97.56,-1,-1
2016-02-02,64.65,64.98,96.68,96.68,96.68,-1,-1
2016-02-03,67.28,64.86,95.65,95.65,95.65,1,-1
2016-02-04,69.83,64.28,94.66,94.66,94.66,1,-1
2016-02-05,71.83,64.01,93.58,93.58,93.58,1,-1
2016-02-08,73.20,64.08,92.47,92.47,92.47,1,-1
2016-02-09,70.00,64.21,91.33,91.33,91.33,1,-1
2016-02-10,67.51,64.68,90.31,90.31,90.31,1,-1
2016-02-11,65.30,64.98,89.36,89.36,89.36,1,-1
2016-02-12,63.81,65.55,86.02,88.46,88.46,-1,-1
2016-02-16,62.41,66.12,83.90,87.61,87.61,-1,-1
2016-02-17,63.10,67.46,80.27,87.11,87.11,-1,-1
2016-02-18,64.59,68.89,76.00,86.73,86.73,-1,-1
2016-02-19,65.64,67.82,72.31,86.19,86.19,-1,-1
2016-02-22,66.30,66.91,69.69,85.64,85.64,-1,-1
2016-02-23,67.06,66.18,67.26,85.14,85.14,1,-1
2016-02-24,67.80,65.81,66.18,84.65,84.65,1,-1
2016-02-25,68.63,65.52,65.67,84.20,84.20,1,-1
2016-02-26,68.03,65.56,65.44,83.77,83.77,1,-1
2016-02-29,68.43,66.51,65.37,83.60,83.60,1,-1
