Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2000-01-03,3.92,3.92,3.92,3.92,3.92,-1,-1
2000-01-04,3.90,3.90,3.90,3.90,3.90,-1,-1
2000-01-05,3.90,3.90,3.90,3.90,3.90,-1,-1
2000-01-06,4.00,4.00,4.00,4.00,4.00,-1,-1
2000-01-07,4.14,4.14,4.14,4.14,4.14,-1,-1
2000-01-10,4.23,4.23,4.23,4.23,4.23,-1,-1
2000-01-11,4.30,4.30,4.30,4.30,4.30,-1,-1
2000-01-12,4.40,4.34,4.34,4.34,4.34,1,-1
2000-01-13,4.51,4.37,4.37,4.37,4.37,1,-1
2000-01-14,4.60,4.39,4.39,4.39,4.39,1,-1
2000-01-18,4.66,4.42,4.42,4.42,4.42,1,-1
2000-01-19,4.64,4.43,4.43,4.43,4.43,1,-1
2000-01-20,4.60,4.43,4.43,4.43,4.43,1,-1
2000-01-21,4.56,4.43,4.43,4.43,4.43,1,-1
2000-01-24,4.49,4.44,4.41,4.41,4.41,1,-1
2000-01-25,4.38,4.44,4.38,4.38,4.38,-1,-1
2000-01-26,4.28,4.44,4.35,4.35,4.35,-1,-1
2000-01-27,4.17,4.41,4.32,4.32,4.32,-1,-1
2000-01-28,4.09,4.37,4.31,4.31,4.31,-1,-1
2000-01-31,4.05,4.32,4.30,4.30,4.30,-1,-1
2000-02-01,4.00,4.28,4.28,4.28,4.28,-1,-1
2000-02-02,3.98,4.24,4.27,4.27,4.27,-1,-1
2000-02-03,4.01,4.20,4.27,4.27,4.27,-1,-1
2000-02-04,4.04,4.16,4.26,4.26,4.26,-1,-1
2000-02-07,4.06,4.12,4.25,4.25,4.25,-1,-1
2000-02-08,4.05,4.07,4.24,4.24,4.24,-1,-1
2000-02-09,4.03,4.04,4.23,4.23,4.23,-1,-1
2000-02-10,4.02,4.01,4.22,4.22,4.22,1,-1
2000-02-11,4.00,3.99,4.21,4.21,4.21,1,-1
2000-02-14,3.96,3.99,4.19,4.19,4.19,-1,-1
2000-02-15,3.89,3.97,4.18,4.17,4.17,-1,-1
2000-02-16,3.82,3.94,4.17,4.16,4.16,-1,-1
2000-02-17,3.77,3.91,4.16,4.14,4.14,-1,-1
2000-02-18,3.71,3.87,4.14,4.12,4.12,-1,-1
2000-02-22,3.63,3.83,4.10,4.10,4.10,-1,-1
2000-02-23,3.57,3.78,4.05,4.08,4.08,-1,-1
2000-02-24,3.52,3.74,4.01,4.07,4.07,-1,-1
2000-02-25,3.46,3.67,3.96,4.04,4.04,-1,-1
2000-02-28,3.39,3.61,3.91,4.02,4.02,-1,-1
2000-02-29,3.38,3.58,3.88,4.00,4.00,-1,-1
2000-03-01,3.38,3.54,3.84,3.99,3.99,-1,-1
2000-03-02,3.40,3.52,3.81,3.98,3.98,-1,-1
2000-03-03,3.44,3.50,3.78,3.98,3.98,-1,-1
2000-03-06,3.48,3.50,3.76,3.97,3.97,-1,-1
2000-03-07,3.55,3.51,3.75,3.97,3.97,1,-1
2000-03-08,3.65,3.52,3.74,3.96,3.96,1,-1
2000-03-09,3.67,3.53,3.73,3.96,3.96,1,-1
2000-03-10,3.69,3.54,3.73,3.95,3.95,1,-1
2000-03-13,3.68,3.54,3.71,3.94,3.94,1,-1
2000-03-14,3.69,3.56,3.70,3.94,3.94,1,-1
2000-03-15,3.69,3.58,3.69,3.93,3.93,1,-1
2000-03-16,3.69,3.62,3.68,3.93,3.93,1,-1
2000-03-17,3.69,3.67,3.67,3.93,3.93,1,-1
2000-03-20,3.70,3.69,3.65,3.92,3.92,1,-1
2000-03-21,3.71,3.70,3.64,3.90,3.92,1,-1
2000-03-22,3.73,3.71,3.64,3.88,3.92,1,-1
2000-03-23,3.74,3.72,3.63,3.86,3.91,1,-1
2000-03-24,3.76,3.72,3.63,3.84,3.91,1,-1
2000-03-27,3.76,3.72,3.62,3.83,3.91,1,-1
2000-03-28,3.75,3.72,3.62,3.81,3.91,1,-1
2000-03-29,3.75,3.73,3.62,3.79,3.90,1,-1
2000-03-30,3.75,3.73,3.63,3.77,3.90,1,-1
2000-03-31,3.74,3.74,3.63,3.76,3.90,-1,-1
2000-04-03,3.72,3.73,3.64,3.74,3.89,-1,-1
2000-04-04,3.71,3.74,3.64,3.73,3.89,-1,-1
2000-04-05,3.71,3.74,3.65,3.73,3.89,-1,-1
2000-04-06,3.71,3.73,3.66,3.73,3.89,-1,-1
2000-04-07,3.71,3.73,3.68,3.73,3.88,-1,-1
2000-04-10,3.70,3.72,3.70,3.72,3.88,-1,-1
2000-04-11,3.70,3.72,3.70,3.71,3.88,-1,-1
2000-04-12,3.69,3.70,3.71,3.70,3.87,-1,-1
2000-04-13,3.66,3.68,3.70,3.69,3.87,-1,-1
2000-04-14,3.61,3.66,3.69,3.68,3.86,-1,-1
2000-04-17,3.57,3.64,3.68,3.66,3.86,-1,-1
2000-04-18,3.54,3.62,3.68,3.65,3.85,-1,-1
2000-04-19,3.54,3.62,3.67,3.65,3.85,-1,-1
2000-04-20,3.53,3.62,3.67,3.64,3.84,-1,-1
2000-04-24,3.53,3.61,3.67,3.63,3.84,-1,-1
2000-04-25,3.54,3.60,3.67,3.62,3.84,-1,-1
2000-04-26,3.57,3.59,3.66,3.62,3.84,-1,-1
2000-04-27,3.57,3.57,3.66,3.62,3.83,-1,-1
2000-04-28,3.56,3.55,3.65,3.62,3.83,1,-1
2000-05-01,3.50,3.52,3.63,3.61,3.82,-1,-1
2000-05-02,3.44,3.49,3.61,3.60,3.81,-1,-1
2000-05-03,3.36,3.45,3.59,3.59,3.80,-1,-1
2000-05-04,3.27,3.41,3.56,3.58,3.79,-1,-1
2000-05-05,3.19,3.38,3.54,3.58,3.78,-1,-1
2000-05-08,3.12,3.34,3.51,3.57,3.77,-1,-1
2000-05-09,3.04,3.30,3.48,3.57,3.76,-1,-1
2000-05-10,3.01,3.26,3.46,3.56,3.76,-1,-1
2000-05-11,2.98,3.21,3.43,3.55,3.75,-1,-1
2000-05-12,2.98,3.17,3.41,3.53,3.74,-1,-1
2000-05-15,2.98,3.13,3.39,3.52,3.73,-1,-1
2000-05-16,2.99,3.09,3.37,3.51,3.72,-1,-1
2000-05-17,3.00,3.06,3.34,3.49,3.72,-1,-1
2000-05-18,3.01,3.02,3.32,3.48,3.71,-1,-1
2000-05-19,3.01,3.01,3.29,3.46,3.70,-1,-1
2000-05-22,3.01,3.00,3.27,3.45,3.69,1,-1
2000-05-23,3.01,3.00,3.25,3.44,3.69,1,-1
2000-05-24,3.00,2.99,3.22,3.42,3.68,1,-1
2000-05-25,2.99,2.99,3.20,3.41,3.67,-1,-1
2000-05-26,2.99,2.99,3.19,3.39,3.67,-1,-1
2000-05-30,3.00,3.00,3.17,3.38,3.66,-1,-1
2000-05-31,2.99,3.00,3.16,3.36,3.65,-1,-1
2000-06-01,2.99,3.00,3.14,3.35,3.65,-1,-1
2000-06-02,2.99,3.00,3.12,3.34,3.64,-1,-1
2000-06-05,3.01,3.01,3.10,3.32,3.64,-1,-1
2000-06-06,3.02,3.00,3.08,3.31,3.63,1,-1
2000-06-07,3.02,3.01,3.06,3.29,3.63,1,-1
2000-06-08,3.02,3.01,3.04,3.28,3.62,1,-1
2000-06-09,3.03,3.01,3.03,3.26,3.61,1,-1
2000-06-12,3.03,3.01,3.02,3.25,3.61,1,-1
2000-06-13,3.03,3.01,3.01,3.24,3.60,1,-1
2000-06-14,3.02,3.02,3.00,3.22,3.60,-1,-1
2000-06-15,3.02,3.02,3.00,3.21,3.59,-1,-1
2000-06-16,3.02,3.02,3.00,3.19,3.59,-1,-1
2000-06-19,3.02,3.02,3.01,3.18,3.58,-1,-1
2000-06-20,3.02,3.02,3.01,3.17,3.58,-1,-1
2000-06-21,3.02,3.02,3.01,3.15,3.57,-1,-1
2000-06-22,3.02,3.02,3.01,3.14,3.57,-1,-1
2000-06-23,3.01,3.01,3.01,3.13,3.56,-1,-1
2000-06-26,3.00,3.01,3.01,3.12,3.56,-1,-1
2000-06-27,3.00,3.01,3.01,3.11,3.56,-1,-1
2000-06-28,3.00,3.01,3.01,3.10,3.55,-1,-1
2000-06-29,3.00,3.01,3.01,3.09,3.55,-1,-1
2000-06-30,2.99,3.00,3.01,3.08,3.54,-1,-1
2000-07-03,2.98,3.00,3.00,3.06,3.54,-1,-1
2000-07-05,2.98,3.00,3.00,3.05,3.53,-1,-1
2000-07-06,2.99,3.00,3.00,3.04,3.53,-1,-1
2000-07-07,2.99,3.00,3.01,3.03,3.53,-1,-1
2000-07-10,3.00,3.00,3.01,3.02,3.52,-1,-1
2000-07-11,3.00,3.00,3.01,3.01,3.52,-1,-1
2000-07-12,3.02,3.00,3.01,3.01,3.51,1,-1
2000-07-13,3.04,3.01,3.02,3.01,3.51,1,-1
2000-07-14,3.04,3.01,3.02,3.01,3.51,1,-1
2000-07-17,3.03,3.01,3.01,3.01,3.50,1,-1
2000-07-18,3.02,3.01,3.01,3.01,3.50,1,-1
2000-07-19,3.01,3.00,3.01,3.01,3.50,1,-1
2000-07-20,3.00,3.00,3.01,3.01,3.49,-1,-1
2000-07-21,2.99,3.00,3.00,3.01,3.49,-1,-1
2000-07-24,2.99,3.02,3.01,3.01,3.49,-1,-1
2000-07-25,3.01,3.03,3.01,3.01,3.48,-1,-1
2000-07-26,3.04,3.04,3.02,3.01,3.48,-1,-1
2000-07-27,3.07,3.05,3.02,3.02,3.48,1,-1
2000-07-28,3.10,3.05,3.03,3.02,3.48,1,-1
2000-07-31,3.13,3.07,3.03,3.02,3.47,1,-1
2000-08-01,3.17,3.08,3.04,3.03,3.47,1,-1
2000-08-02,3.19,3.09,3.05,3.03,3.47,1,-1
2000-08-03,3.21,3.11,3.06,3.04,3.47,1,-1
2000-08-04,3.25,3.15,3.07,3.05,3.47,1,-1
2000-08-07,3.32,3.19,3.09,3.06,3.47,1,-1
2000-08-08,3.38,3.24,3.11,3.07,3.47,1,-1
2000-08-09,3.42,3.28,3.13,3.08,3.47,1,-1
2000-08-10,3.45,3.31,3.14,3.09,3.47,1,-1
2000-08-11,3.45,3.32,3.15,3.10,3.47,1,-1
2000-08-14,3.44,3.32,3.16,3.10,3.47,1,-1
2000-08-15,3.39,3.32,3.17,3.10,3.47,1,-1
2000-08-16,3.32,3.32,3.17,3.10,3.46,-1,-1
2000-08-17,3.27,3.32,3.18,3.11,3.46,-1,-1
2000-08-18,3.22,3.32,3.18,3.11,3.46,-1,-1
2000-08-21,3.19,3.32,3.19,3.12,3.46,-1,-1
2000-08-22,3.18,3.32,3.20,3.12,3.46,-1,-1
2000-08-23,3.19,3.31,3.20,3.12,3.46,-1,-1
2000-08-24,3.20,3.29,3.21,3.13,3.46,-1,-1
2000-08-25,3.21,3.27,3.21,3.13,3.45,-1,-1
2000-08-28,3.21,3.24,3.22,3.14,3.45,-1,-1
2000-08-29,3.21,3.22,3.23,3.14,3.45,-1,-1
2000-08-30,3.22,3.21,3.24,3.14,3.45,1,-1
2000-08-31,3.21,3.20,3.25,3.15,3.45,1,-1
2000-09-01,3.21,3.20,3.25,3.15,3.45,1,-1
2000-09-05,3.21,3.21,3.26,3.16,3.45,-1,-1
2000-09-06,3.22,3.22,3.26,3.16,3.44,-1,-1
2000-09-07,3.24,3.23,3.27,3.17,3.44,1,-1
2000-09-08,3.26,3.24,3.27,3.18,3.44,1,-1
2000-09-11,3.27,3.24,3.28,3.18,3.44,1,-1
2000-09-12,3.29,3.25,3.28,3.19,3.44,1,-1
2000-09-13,3.31,3.26,3.29,3.20,3.44,1,-1
2000-09-14,3.33,3.27,3.29,3.21,3.44,1,-1
2000-09-15,3.35,3.28,3.29,3.21,3.44,1,-1
2000-09-18,3.35,3.29,3.29,3.22,3.44,1,-1
2000-09-19,3.36,3.31,3.28,3.23,3.44,1,-1
2000-09-20,3.37,3.32,3.28,3.23,3.44,1,-1
2000-09-21,3.38,3.34,3.27,3.24,3.44,1,-1
2000-09-22,3.40,3.35,3.28,3.25,3.44,1,-1
2000-09-25,3.42,3.37,3.28,3.26,3.44,1,-1
2000-09-26,3.44,3.39,3.29,3.27,3.44,1,-1
