Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2014-12-17,17.42,17.42,17.42,17.42,17.42,-1,-1
2014-12-18,17.57,17.57,17.57,17.57,17.57,-1,-1
2014-12-19,17.60,17.60,17.60,17.60,17.60,-1,-1
2014-12-22,17.62,17.62,17.62,17.62,17.62,-1,-1
2014-12-23,17.64,17.64,17.64,17.64,17.64,-1,-1
2014-12-24,17.65,17.65,17.65,17.65,17.65,-1,-1
2014-12-26,17.67,17.67,17.67,17.67,17.67,-1,-1
2014-12-29,17.70,17.66,17.66,17.66,17.66,1,-1
2014-12-30,17.67,17.65,17.65,17.65,17.65,1,-1
2014-12-31,17.65,17.63,17.63,17.63,17.63,1,-1
2015-01-02,17.61,17.61,17.61,17.61,17.61,-1,-1
2015-01-05,17.53,17.57,17.57,17.57,17.57,-1,-1
2015-01-06,17.43,17.53,17.53,17.53,17.53,-1,-1
2015-01-07,17.33,17.50,17.50,17.50,17.50,-1,-1
2015-01-08,17.27,17.48,17.48,17.48,17.48,-1,-1
2015-01-09,17.21,17.44,17.46,17.46,17.46,-1,-1
2015-01-12,17.14,17.39,17.43,17.43,17.43,-1,-1
2015-01-13,17.13,17.37,17.42,17.42,17.42,-1,-1
2015-01-14,17.12,17.32,17.41,17.41,17.41,-1,-1
2015-01-15,17.15,17.29,17.40,17.40,17.40,-1,-1
2015-01-16,17.20,17.26,17.40,17.40,17.40,-1,-1
2015-01-20,17.22,17.24,17.40,17.40,17.40,-1,-1
2015-01-21,17.26,17.24,17.40,17.40,17.40,1,-1
2015-01-22,17.34,17.24,17.40,17.40,17.40,1,-1
2015-01-23,17.35,17.24,17.40,17.40,17.40,1,-1
2015-01-26,17.41,17.26,17.41,17.41,17.41,1,-1
2015-01-27,17.47,17.31,17.42,17.42,17.42,1,-1
2015-01-28,17.47,17.34,17.42,17.42,17.42,1,-1
2015-01-29,17.50,17.36,17.42,17.42,17.42,1,-1
2015-01-30,17.51,17.39,17.43,17.43,17.43,1,-1
2015-02-02,17.54,17.44,17.43,17.43,17.43,1,-1
2015-02-03,17.61,17.48,17.44,17.45,17.45,1,-1
2015-02-04,17.66,17.54,17.45,17.46,17.46,1,-1
2015-02-05,17.72,17.59,17.46,17.48,17.48,1,-1
2015-02-06,17.77,17.62,17.46,17.49,17.49,1,-1
2015-02-09,17.80,17.65,17.46,17.49,17.49,1,-1
2015-02-10,17.83,17.67,17.46,17.50,17.50,1,-1
2015-02-11,17.83,17.68,17.47,17.51,17.51,1,-1
2015-02-12,17.83,17.72,17.48,17.52,17.52,1,-1
2015-02-13,17.86,17.76,17.50,17.53,17.53,1,-1
2015-02-17,17.90,17.81,17.53,17.55,17.55,1,-1
2015-02-18,17.99,17.88,17.57,17.57,17.57,1,-1
2015-02-19,18.11,17.95,17.62,17.59,17.59,1,-1
2015-02-20,18.22,18.03,17.67,17.62,17.62,1,-1
2015-02-23,18.34,18.08,17.72,17.64,17.64,1,-1
2015-02-24,18.42,18.12,17.76,17.65,17.65,1,-1
2015-02-25,18.48,18.17,17.81,17.67,17.67,1,-1
2015-02-26,18.51,18.20,17.85,17.69,17.69,1,-1
2015-02-27,18.51,18.25,17.90,17.71,17.71,1,-1
2015-03-02,18.51,18.31,17.94,17.72,17.72,1,-1
