Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2025-04-07,22.74,22.74,22.74,22.74,22.74,-1,-1
2025-04-08,23.00,23.00,23.00,23.00,23.00,-1,-1
2025-04-09,23.69,23.69,23.69,23.69,23.69,-1,-1
2025-04-10,23.80,23.80,23.80,23.80,23.80,-1,-1
2025-04-11,23.99,23.99,23.99,23.99,23.99,-1,-1
2025-04-14,24.19,24.19,24.19,24.19,24.19,-1,-1
2025-04-15,24.36,24.36,24.36,24.36,24.36,-1,-1
2025-04-16,24.71,24.46,24.46,24.46,24.46,1,-1
2025-04-17,25.04,24.59,24.59,24.59,24.59,1,-1
2025-04-21,25.11,24.68,24.68,24.68,24.68,1,-1
2025-04-22,25.39,24.81,24.81,24.81,24.81,1,-1
2025-04-23,25.58,24.92,24.92,24.92,24.92,1,-1
2025-04-24,25.74,25.03,25.03,25.03,25.03,1,-1
2025-04-25,25.89,25.13,25.13,25.13,25.13,1,-1
2025-04-28,26.12,25.41,25.24,25.24,25.24,1,-1
2025-04-29,26.30,25.67,25.34,25.34,25.34,1,-1
2025-04-30,26.45,25.78,25.41,25.41,25.41,1,-1
2025-05-01,26.51,25.95,25.47,25.47,25.47,1,-1
2025-05-02,26.59,26.09,25.54,25.54,25.54,1,-1
2025-05-05,26.67,26.21,25.60,25.60,25.60,1,-1
2025-05-06,26.73,26.31,25.66,25.66,25.66,1,-1
2025-05-07,26.71,26.42,25.70,25.70,25.70,1,-1
2025-05-08,26.67,26.49,25.74,25.74,25.74,1,-1
2025-05-09,26.70,26.57,25.79,25.79,25.79,1,-1
2025-05-12,26.80,26.65,25.84,25.84,25.84,1,-1
2025-05-13,26.85,26.72,25.89,25.89,25.89,1,-1
2025-05-14,26.84,26.75,25.92,25.92,25.92,1,-1
2025-05-15,26.89,26.81,25.97,25.97,25.97,1,-1
2025-05-16,26.96,26.84,26.01,26.01,26.01,1,-1
2025-05-19,27.04,26.86,26.05,26.05,26.05,1,-1
2025-05-20,27.13,26.91,26.20,26.09,26.09,1,-1
