Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2020-06-11,14.95,14.95,14.95,14.95,14.95,-1,-1
2020-06-12,14.85,14.85,14.85,14.85,14.85,-1,-1
2020-06-15,14.79,14.79,14.79,14.79,14.79,-1,-1
2020-06-16,14.42,14.42,14.42,14.42,14.42,-1,-1
2020-06-17,13.93,13.93,13.93,13.93,13.93,-1,-1
2020-06-18,13.76,13.76,13.76,13.76,13.76,-1,-1
2020-06-19,13.67,13.67,13.67,13.67,13.67,-1,-1
2020-06-22,13.39,13.58,13.58,13.58,13.58,-1,-1
2020-06-23,12.93,13.36,13.36,13.36,13.36,-1,-1
2020-06-24,12.55,13.22,13.22,13.22,13.22,-1,-1
2020-06-25,12.38,13.12,13.12,13.12,13.12,-1,-1
2020-06-26,12.33,13.00,13.00,13.00,13.00,-1,-1
2020-06-29,12.25,12.95,12.95,12.95,12.95,-1,-1
2020-06-30,12.19,12.93,12.93,12.93,12.93,-1,-1
2020-07-01,12.18,12.79,12.93,12.93,12.93,-1,-1
2020-07-02,12.41,12.67,12.94,12.94,12.94,-1,-1
2020-07-06,12.57,12.56,12.95,12.95,12.95,1,-1
2020-07-07,12.71,12.54,12.96,12.96,12.96,1,-1
2020-07-08,12.88,12.61,12.95,12.95,12.95,1,-1
2020-07-09,13.00,12.62,12.96,12.96,12.96,1,-1
2020-07-10,13.00,12.59,12.95,12.95,12.95,1,-1
2020-07-13,12.96,12.57,12.94,12.94,12.94,1,-1
2020-07-14,12.89,12.65,12.93,12.93,12.93,1,-1
2020-07-15,12.83,12.70,12.92,12.92,12.92,1,-1
2020-07-16,12.79,12.75,12.91,12.91,12.91,1,-1
2020-07-17,12.83,12.85,12.92,12.92,12.92,-1,-1
2020-07-20,12.72,12.86,12.90,12.90,12.90,-1,-1
2020-07-21,12.68,12.84,12.88,12.88,12.88,-1,-1
2020-07-22,12.71,12.84,12.89,12.89,12.89,-1,-1
