Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2023-01-31,28.61,28.61,28.61,28.61,28.61,-1,-1
2023-02-01,28.54,28.54,28.54,28.54,28.54,-1,-1
2023-02-02,28.51,28.51,28.51,28.51,28.51,-1,-1
2023-02-03,28.50,28.50,28.50,28.50,28.50,-1,-1
2023-02-06,28.49,28.49,28.49,28.49,28.49,-1,-1
2023-02-07,28.50,28.50,28.50,28.50,28.50,-1,-1
2023-02-08,28.48,28.48,28.48,28.48,28.48,-1,-1
2023-02-09,28.43,28.46,28.46,28.46,28.46,-1,-1
2023-02-10,28.41,28.44,28.44,28.44,28.44,-1,-1
2023-02-13,28.44,28.46,28.46,28.46,28.46,-1,-1
2023-02-14,28.43,28.46,28.46,28.46,28.46,-1,-1
2023-02-15,28.39,28.43,28.43,28.43,28.43,-1,-1
2023-02-16,28.28,28.38,28.38,28.38,28.38,-1,-1
2023-02-17,28.25,28.36,28.36,28.36,28.36,-1,-1
2023-02-21,28.16,28.30,28.32,28.32,28.32,-1,-1
2023-02-22,28.08,28.24,28.28,28.28,28.28,-1,-1
2023-02-23,27.95,28.19,28.25,28.25,28.25,-1,-1
2023-02-24,27.77,28.10,28.19,28.19,28.19,-1,-1
2023-02-27,27.66,28.02,28.15,28.15,28.15,-1,-1
2023-02-28,27.54,27.91,28.09,28.09,28.09,-1,-1
2023-03-01,27.39,27.82,28.04,28.04,28.04,-1,-1
2023-03-02,27.33,27.75,28.00,28.00,28.00,-1,-1
2023-03-03,27.29,27.68,27.98,27.98,27.98,-1,-1
2023-03-06,27.23,27.59,27.95,27.95,27.95,-1,-1
2023-03-07,27.20,27.48,27.91,27.91,27.91,-1,-1
2023-03-08,27.09,27.38,27.86,27.86,27.86,-1,-1
2023-03-09,26.99,27.27,27.80,27.80,27.80,-1,-1
2023-03-10,26.83,27.11,27.74,27.74,27.74,-1,-1
2023-03-13,26.71,27.02,27.69,27.69,27.69,-1,-1
2023-03-14,26.58,26.94,27.65,27.65,27.65,-1,-1
2023-03-15,26.49,26.86,27.59,27.62,27.62,-1,-1
2023-03-16,26.45,26.82,27.53,27.59,27.59,-1,-1
2023-03-17,26.42,26.76,27.46,27.56,27.56,-1,-1
2023-03-20,26.47,26.73,27.40,27.53,27.53,-1,-1
2023-03-21,26.58,26.70,27.34,27.51,27.51,-1,-1
2023-03-22,26.57,26.64,27.27,27.47,27.47,-1,-1
2023-03-23,26.56,26.57,27.21,27.45,27.45,-1,-1
2023-03-24,26.59,26.54,27.16,27.43,27.43,1,-1
2023-03-27,26.62,26.53,27.11,27.42,27.42,1,-1
2023-03-28,26.70,26.56,27.06,27.41,27.41,1,-1
2023-03-29,26.77,26.62,27.01,27.40,27.40,1,-1
2023-03-30,26.83,26.70,26.98,27.39,27.39,1,-1
2023-03-31,26.98,26.78,26.96,27.39,27.39,1,-1
2023-04-03,27.12,26.84,26.94,27.40,27.40,1,-1
2023-04-04,27.22,26.90,26.94,27.40,27.40,1,-1
2023-04-05,27.32,26.97,26.93,27.40,27.40,1,-1
2023-04-06,27.47,27.08,26.95,27.42,27.42,1,-1
2023-04-10,27.55,27.16,26.96,27.42,27.42,1,-1
2023-04-11,27.64,27.24,26.97,27.43,27.43,1,-1
2023-04-12,27.69,27.34,27.00,27.44,27.44,1,-1
2023-04-13,27.83,27.48,27.05,27.43,27.46,1,-1
2023-04-14,27.95,27.58,27.08,27.43,27.47,1,-1
2023-04-17,28.07,27.69,27.12,27.43,27.49,1,-1
2023-04-18,28.09,27.78,27.15,27.42,27.50,1,-1
2023-04-19,28.16,27.86,27.19,27.42,27.52,1,-1
2023-04-20,28.21,27.92,27.23,27.41,27.53,1,-1
2023-04-21,28.31,28.00,27.31,27.41,27.54,1,-1
2023-04-24,28.29,28.06,27.39,27.41,27.56,1,-1
2023-04-25,28.32,28.13,27.45,27.42,27.57,1,-1
2023-04-26,28.22,28.14,27.50,27.40,27.58,1,-1
2023-04-27,28.16,28.13,27.54,27.39,27.58,1,-1
2023-04-28,28.12,28.14,27.58,27.38,27.58,-1,-1
2023-05-01,28.14,28.17,27.64,27.39,27.59,-1,-1
2023-05-02,28.09,28.20,27.68,27.39,27.60,-1,-1
2023-05-03,28.07,28.18,27.74,27.40,27.61,-1,-1
2023-05-04,28.09,28.20,27.81,27.42,27.63,-1,-1
2023-05-05,28.24,28.23,27.89,27.44,27.64,1,-1
2023-05-08,28.40,28.28,27.96,27.47,27.66,1,-1
2023-05-09,28.56,28.34,28.03,27.51,27.68,1,-1
2023-05-10,28.71,28.43,28.11,27.55,27.71,1,-1
2023-05-11,28.85,28.47,28.17,27.59,27.72,1,-1
2023-05-12,28.93,28.50,28.23,27.62,27.74,1,-1
2023-05-15,29.01,28.55,28.28,27.66,27.76,1,-1
2023-05-16,28.96,28.60,28.32,27.68,27.77,1,-1
2023-05-17,28.92,28.66,28.36,27.71,27.78,1,-1
2023-05-18,28.83,28.70,28.38,27.75,27.79,1,-1
2023-05-19,28.74,28.73,28.40,27.80,27.80,1,-1
2023-05-22,28.66,28.76,28.43,27.85,27.81,-1,1
2023-05-23,28.61,28.77,28.45,27.89,27.82,-1,1
2023-05-24,28.47,28.74,28.46,27.92,27.82,-1,1
2023-05-25,28.33,28.65,28.43,27.94,27.82,-1,1
2023-05-26,28.19,28.56,28.41,27.96,27.82,-1,1
2023-05-30,28.04,28.44,28.38,27.98,27.81,-1,1
2023-05-31,27.89,28.32,28.36,28.00,27.81,-1,1
2023-06-01,27.77,28.22,28.34,28.02,27.81,-1,1
2023-06-02,27.71,28.16,28.34,28.05,27.81,-1,1
2023-06-05,27.73,28.10,28.33,28.08,27.81,-1,1
2023-06-06,27.85,28.09,28.33,28.12,27.82,-1,1
2023-06-07,27.94,28.07,28.33,28.14,27.83,-1,1
2023-06-08,28.10,28.07,28.35,28.17,27.83,1,1
2023-06-09,28.21,28.05,28.37,28.20,27.84,1,1
2023-06-12,28.32,28.05,28.38,28.22,27.84,1,1
2023-06-13,28.40,28.05,28.39,28.25,27.85,1,1
2023-06-14,28.42,28.08,28.41,28.27,27.86,1,1
2023-06-15,28.45,28.15,28.42,28.29,27.87,1,1
2023-06-16,28.50,28.22,28.42,28.31,27.87,1,1
2023-06-20,28.50,28.30,28.41,28.32,27.88,1,1
2023-06-21,28.50,28.35,28.39,28.33,27.89,1,1
2023-06-22,28.50,28.41,28.37,28.34,27.89,1,1
2023-06-23,28.44,28.42,28.33,28.35,27.89,1,1
2023-06-26,28.36,28.39,28.29,28.34,27.89,-1,1
2023-06-27,28.23,28.34,28.26,28.33,27.89,-1,1
2023-06-28,28.10,28.30,28.21,28.31,27.89,-1,1
2023-06-29,28.00,28.25,28.18,28.30,27.89,-1,1
2023-06-30,27.94,28.22,28.16,28.30,27.89,-1,1
2023-07-03,27.84,28.17,28.14,28.29,27.89,-1,1
2023-07-05,27.79,28.11,28.11,28.28,27.89,-1,1
2023-07-06,27.72,28.04,28.07,28.26,27.88,-1,1
2023-07-07,27.63,27.93,28.03,28.23,27.88,-1,1
2023-07-10,27.61,27.86,28.01,28.23,27.87,-1,1
2023-07-11,27.57,27.79,28.01,28.22,27.87,-1,1
2023-07-12,27.51,27.73,28.00,28.22,27.87,-1,1
2023-07-13,27.50,27.67,28.01,28.20,27.86,-1,1
2023-07-14,27.47,27.63,28.01,28.19,27.86,-1,1
2023-07-17,27.51,27.61,28.01,28.18,27.86,-1,1
2023-07-18,27.61,27.62,28.01,28.17,27.86,-1,1
2023-07-19,27.67,27.64,27.99,28.15,27.86,1,1
2023-07-20,27.76,27.67,27.99,28.13,27.86,1,1
2023-07-21,27.89,27.70,27.99,28.12,27.87,1,1
2023-07-24,27.95,27.72,27.98,28.10,27.87,1,1
2023-07-25,27.99,27.73,27.96,28.07,27.87,1,1
2023-07-26,28.03,27.77,27.94,28.05,27.87,1,1
2023-07-27,28.00,27.81,27.91,28.03,27.87,1,1
2023-07-28,27.98,27.82,27.89,28.01,27.87,1,1
2023-07-31,27.90,27.83,27.86,27.99,27.86,1,1
2023-08-01,27.76,27.82,27.82,27.97,27.86,-1,1
2023-08-02,27.64,27.79,27.78,27.94,27.86,-1,1
2023-08-03,27.53,27.76,27.73,27.92,27.85,-1,1
2023-08-04,27.43,27.73,27.69,27.89,27.85,-1,1
2023-08-07,27.37,27.69,27.66,27.87,27.84,-1,1
2023-08-08,27.39,27.69,27.67,27.88,27.84,-1,1
2023-08-09,27.42,27.66,27.67,27.88,27.84,-1,1
2023-08-10,27.48,27.62,27.67,27.89,27.84,-1,1
2023-08-11,27.60,27.62,27.68,27.90,27.84,-1,1
2023-08-14,27.72,27.62,27.68,27.91,27.84,1,1
2023-08-15,27.84,27.64,27.69,27.91,27.85,1,1
2023-08-16,27.92,27.64,27.69,27.90,27.84,1,1
2023-08-17,27.89,27.64,27.71,27.88,27.84,1,1
2023-08-18,27.90,27.66,27.73,27.88,27.84,1,1
2023-08-21,27.91,27.69,27.74,27.87,27.84,1,1
2023-08-22,27.89,27.74,27.76,27.86,27.84,1,1
2023-08-23,27.87,27.80,27.77,27.85,27.85,1,-1
2023-08-24,27.82,27.83,27.77,27.83,27.84,-1,-1
2023-08-25,27.83,27.88,27.78,27.82,27.84,-1,-1
2023-08-28,27.86,27.88,27.79,27.80,27.84,-1,-1
2023-08-29,27.89,27.90,27.80,27.79,27.85,-1,-1
2023-08-30,27.90,27.90,27.80,27.78,27.85,-1,-1
2023-08-31,27.90,27.89,27.79,27.77,27.85,1,-1
2023-09-01,27.90,27.89,27.77,27.76,27.85,1,-1
2023-09-05,27.90,27.86,27.76,27.75,27.85,1,-1
2023-09-06,27.83,27.83,27.74,27.74,27.84,-1,-1
2023-09-07,27.77,27.82,27.73,27.74,27.84,-1,-1
2023-09-08,27.73,27.81,27.73,27.74,27.84,-1,-1
2023-09-11,27.72,27.81,27.74,27.74,27.84,-1,-1
2023-09-12,27.76,27.83,27.76,27.75,27.84,-1,-1
2023-09-13,27.73,27.82,27.76,27.75,27.84,-1,-1
2023-09-14,27.77,27.83,27.79,27.75,27.84,-1,-1
2023-09-15,27.80,27.82,27.80,27.75,27.84,-1,-1
2023-09-18,27.79,27.78,27.81,27.76,27.84,1,-1
2023-09-19,27.75,27.74,27.82,27.76,27.84,1,-1
2023-09-20,27.68,27.70,27.81,27.76,27.83,-1,-1
2023-09-21,27.55,27.66,27.79,27.75,27.83,-1,-1
2023-09-22,27.44,27.58,27.75,27.74,27.83,-1,-1
2023-09-25,27.31,27.54,27.72,27.73,27.82,-1,-1
2023-09-26,27.22,27.51,27.69,27.71,27.82,-1,-1
2023-09-27,27.14,27.46,27.65,27.69,27.81,-1,-1
2023-09-28,27.05,27.40,27.62,27.67,27.80,-1,-1
