Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2000-01-03,2.86,2.86,2.86,2.86,2.86,-1,-1
2000-01-04,2.86,2.86,2.86,2.86,2.86,-1,-1
2000-01-05,2.86,2.86,2.86,2.86,2.86,-1,-1
2000-01-06,2.86,2.86,2.86,2.86,2.86,-1,-1
2000-01-07,2.86,2.86,2.86,2.86,2.86,-1,-1
2000-01-10,2.85,2.85,2.85,2.85,2.85,-1,-1
2000-01-11,2.85,2.85,2.85,2.85,2.85,-1,-1
2000-01-12,2.84,2.84,2.84,2.84,2.84,-1,-1
2000-01-13,2.83,2.84,2.84,2.84,2.84,-1,-1
2000-01-14,2.84,2.84,2.84,2.84,2.84,-1,-1
2000-01-18,2.83,2.84,2.84,2.84,2.84,-1,-1
2000-01-19,2.85,2.86,2.86,2.86,2.86,-1,-1
2000-01-20,2.87,2.86,2.86,2.86,2.86,1,-1
2000-01-21,2.85,2.85,2.85,2.85,2.85,-1,-1
2000-01-24,2.85,2.85,2.85,2.85,2.85,-1,-1
2000-01-25,2.85,2.84,2.84,2.84,2.84,1,-1
2000-01-26,2.83,2.84,2.84,2.84,2.84,-1,-1
2000-01-27,2.83,2.83,2.84,2.84,2.84,-1,-1
2000-01-28,2.79,2.82,2.83,2.83,2.83,-1,-1
2000-01-31,2.80,2.83,2.84,2.84,2.84,-1,-1
2000-02-01,2.83,2.84,2.84,2.84,2.84,-1,-1
2000-02-02,2.89,2.87,2.86,2.86,2.86,1,-1
2000-02-03,2.92,2.89,2.87,2.87,2.87,1,-1
2000-02-04,2.98,2.91,2.88,2.88,2.88,1,-1
2000-02-07,3.03,2.93,2.89,2.89,2.89,1,-1
2000-02-08,3.03,2.91,2.89,2.89,2.89,1,-1
2000-02-09,3.01,2.91,2.88,2.88,2.88,1,-1
2000-02-10,2.99,2.91,2.88,2.88,2.88,1,-1
2000-02-11,2.93,2.91,2.88,2.88,2.88,1,-1
2000-02-14,2.89,2.90,2.87,2.87,2.87,-1,-1
2000-02-15,2.82,2.90,2.87,2.87,2.87,-1,-1
2000-02-16,2.76,2.89,2.86,2.86,2.86,-1,-1
2000-02-17,2.75,2.89,2.86,2.86,2.86,-1,-1
2000-02-18,2.73,2.87,2.85,2.85,2.85,-1,-1
2000-02-22,2.74,2.86,2.85,2.85,2.85,-1,-1
2000-02-23,2.75,2.84,2.85,2.85,2.85,-1,-1
2000-02-24,2.80,2.84,2.86,2.86,2.86,-1,-1
2000-02-25,2.89,2.85,2.88,2.87,2.87,1,-1
2000-02-28,3.01,2.89,2.90,2.89,2.89,1,-1
2000-02-29,3.13,2.94,2.93,2.91,2.91,1,-1
2000-03-01,3.25,2.99,2.95,2.92,2.92,1,-1
2000-03-02,3.33,3.04,2.96,2.93,2.93,1,-1
2000-03-03,3.41,3.08,2.98,2.94,2.94,1,-1
2000-03-06,3.46,3.13,3.00,2.95,2.95,1,-1
2000-03-07,3.49,3.19,3.03,2.97,2.97,1,-1
2000-03-08,3.47,3.24,3.05,2.98,2.98,1,-1
2000-03-09,3.44,3.29,3.07,2.98,2.98,1,-1
2000-03-10,3.41,3.33,3.09,2.99,2.99,1,-1
2000-03-13,3.41,3.37,3.11,3.00,3.00,1,-1
2000-03-14,3.37,3.39,3.11,3.00,3.00,-1,-1
2000-03-15,3.32,3.39,3.12,3.01,3.00,-1,1
2000-03-16,3.26,3.38,3.12,3.01,3.01,-1,-1
2000-03-17,3.22,3.34,3.12,3.02,3.01,-1,1
2000-03-20,3.19,3.32,3.12,3.02,3.01,-1,1
2000-03-21,3.17,3.29,3.12,3.03,3.01,-1,1
2000-03-22,3.14,3.28,3.13,3.04,3.02,-1,1
2000-03-23,3.14,3.26,3.14,3.04,3.02,-1,1
2000-03-24,3.14,3.23,3.15,3.05,3.02,-1,1
2000-03-27,3.13,3.20,3.16,3.05,3.02,-1,1
2000-03-28,3.15,3.18,3.18,3.06,3.02,-1,1
2000-03-29,3.15,3.17,3.19,3.07,3.03,-1,1
2000-03-30,3.16,3.16,3.21,3.07,3.03,-1,1
2000-03-31,3.16,3.15,3.23,3.08,3.03,1,1
2000-04-03,3.18,3.16,3.25,3.09,3.04,1,1
2000-04-04,3.22,3.18,3.26,3.10,3.04,1,1
2000-04-05,3.24,3.19,3.28,3.11,3.05,1,1
2000-04-06,3.24,3.20,3.28,3.12,3.05,1,1
2000-04-07,3.26,3.21,3.28,3.13,3.05,1,1
2000-04-10,3.34,3.25,3.29,3.15,3.06,1,1
2000-04-11,3.41,3.29,3.29,3.17,3.07,1,1
2000-04-12,3.47,3.33,3.30,3.18,3.08,1,1
2000-04-13,3.52,3.37,3.31,3.19,3.09,1,1
2000-04-14,3.55,3.40,3.31,3.20,3.09,1,1
2000-04-17,3.59,3.42,3.31,3.20,3.10,1,1
2000-04-18,3.58,3.42,3.30,3.21,3.10,1,1
2000-04-19,3.51,3.42,3.30,3.22,3.10,1,1
2000-04-20,3.44,3.43,3.30,3.23,3.11,1,1
2000-04-24,3.39,3.43,3.29,3.24,3.11,-1,1
2000-04-25,3.33,3.42,3.29,3.25,3.11,-1,1
2000-04-26,3.31,3.43,3.30,3.26,3.11,-1,1
2000-04-27,3.32,3.46,3.31,3.27,3.12,-1,1
2000-04-28,3.33,3.45,3.32,3.29,3.12,-1,1
2000-05-01,3.35,3.43,3.33,3.30,3.12,-1,1
2000-05-02,3.36,3.40,3.33,3.31,3.13,-1,1
2000-05-03,3.37,3.38,3.34,3.32,3.13,-1,1
2000-05-04,3.38,3.36,3.35,3.34,3.13,1,1
2000-05-05,3.40,3.35,3.36,3.34,3.14,1,1
2000-05-08,3.37,3.34,3.36,3.34,3.14,1,1
2000-05-09,3.38,3.36,3.38,3.34,3.14,1,1
2000-05-10,3.38,3.36,3.38,3.34,3.14,1,1
2000-05-11,3.38,3.37,3.39,3.33,3.15,1,1
2000-05-12,3.38,3.38,3.39,3.33,3.15,-1,1
2000-05-15,3.38,3.38,3.40,3.33,3.15,-1,1
2000-05-16,3.38,3.39,3.40,3.33,3.15,-1,1
2000-05-17,3.38,3.38,3.40,3.33,3.16,-1,1
2000-05-18,3.37,3.38,3.41,3.33,3.16,-1,1
2000-05-19,3.37,3.38,3.41,3.33,3.16,-1,1
2000-05-22,3.37,3.38,3.41,3.33,3.16,-1,1
2000-05-23,3.37,3.38,3.40,3.33,3.16,-1,1
2000-05-24,3.37,3.38,3.39,3.33,3.17,-1,1
2000-05-25,3.37,3.38,3.38,3.34,3.17,-1,1
2000-05-26,3.36,3.37,3.37,3.34,3.17,-1,1
2000-05-30,3.36,3.37,3.36,3.35,3.17,-1,1
2000-05-31,3.35,3.36,3.36,3.35,3.17,-1,1
2000-06-01,3.35,3.36,3.36,3.35,3.18,-1,1
2000-06-02,3.34,3.35,3.36,3.35,3.18,-1,1
2000-06-05,3.32,3.35,3.36,3.36,3.18,-1,1
2000-06-06,3.31,3.34,3.36,3.36,3.18,-1,1
2000-06-07,3.31,3.33,3.36,3.36,3.18,-1,1
2000-06-08,3.29,3.33,3.36,3.37,3.18,-1,1
2000-06-09,3.30,3.32,3.35,3.37,3.18,-1,1
2000-06-12,3.29,3.32,3.35,3.37,3.18,-1,1
2000-06-13,3.29,3.31,3.35,3.37,3.18,-1,1
2000-06-14,3.30,3.31,3.35,3.37,3.18,-1,1
2000-06-15,3.31,3.31,3.35,3.37,3.19,-1,1
2000-06-16,3.32,3.32,3.35,3.38,3.19,-1,1
2000-06-19,3.34,3.32,3.35,3.38,3.19,1,1
2000-06-20,3.35,3.32,3.35,3.38,3.19,1,1
2000-06-21,3.40,3.34,3.35,3.38,3.20,1,1
2000-06-22,3.49,3.39,3.37,3.38,3.20,1,1
2000-06-23,3.57,3.44,3.39,3.39,3.21,1,1
2000-06-26,3.66,3.48,3.41,3.39,3.21,1,1
2000-06-27,3.76,3.54,3.43,3.41,3.22,1,1
2000-06-28,3.92,3.63,3.47,3.43,3.23,1,1
2000-06-29,4.09,3.72,3.51,3.45,3.24,1,1
2000-06-30,4.15,3.78,3.54,3.47,3.25,1,1
2000-07-03,4.20,3.85,3.57,3.49,3.26,1,1
2000-07-05,4.24,3.91,3.59,3.51,3.26,1,1
2000-07-06,4.32,3.99,3.63,3.53,3.27,1,1
2000-07-07,4.38,4.07,3.67,3.56,3.28,1,1
2000-07-10,4.39,4.16,3.71,3.58,3.29,1,1
2000-07-11,4.39,4.24,3.75,3.60,3.30,1,1
2000-07-12,4.43,4.29,3.79,3.62,3.31,1,1
2000-07-13,4.43,4.32,3.82,3.64,3.32,1,1
2000-07-14,4.49,4.36,3.86,3.66,3.33,1,1
2000-07-17,4.49,4.40,3.90,3.68,3.34,1,1
2000-07-18,4.49,4.43,3.94,3.71,3.34,1,1
2000-07-19,4.49,4.44,3.99,3.73,3.35,1,1
2000-07-20,4.50,4.44,4.03,3.76,3.36,1,1
2000-07-21,4.53,4.48,4.07,3.78,3.37,1,1
2000-07-24,4.57,4.50,4.12,3.80,3.38,1,1
2000-07-25,4.54,4.51,4.15,3.82,3.39,1,1
2000-07-26,4.52,4.50,4.18,3.84,3.39,1,1
2000-07-27,4.48,4.48,4.22,3.86,3.40,-1,1
2000-07-28,4.42,4.46,4.25,3.88,3.41,-1,1
2000-07-31,4.37,4.43,4.27,3.90,3.41,-1,1
2000-08-01,4.31,4.42,4.30,3.91,3.42,-1,1
2000-08-02,4.28,4.42,4.33,3.93,3.42,-1,1
2000-08-03,4.29,4.42,4.36,3.95,3.43,-1,1
2000-08-04,4.27,4.39,4.37,3.97,3.43,-1,1
2000-08-07,4.26,4.37,4.38,3.99,3.44,-1,1
2000-08-08,4.26,4.34,4.39,4.00,3.44,-1,1
2000-08-09,4.26,4.32,4.39,4.02,3.45,-1,1
2000-08-10,4.27,4.29,4.38,4.04,3.45,-1,1
2000-08-11,4.22,4.25,4.36,4.05,3.46,-1,1
2000-08-14,4.22,4.25,4.37,4.08,3.46,-1,1
2000-08-15,4.20,4.24,4.37,4.09,3.47,-1,1
2000-08-16,4.18,4.22,4.36,4.11,3.47,-1,1
2000-08-17,4.17,4.21,4.35,4.12,3.48,-1,1
2000-08-18,4.15,4.21,4.34,4.14,3.48,-1,1
2000-08-21,4.13,4.20,4.32,4.16,3.48,-1,1
2000-08-22,4.13,4.18,4.30,4.17,3.49,-1,1
2000-08-23,4.09,4.16,4.29,4.19,3.49,-1,1
2000-08-24,4.09,4.15,4.29,4.20,3.49,-1,1
2000-08-25,4.10,4.14,4.27,4.22,3.50,-1,1
2000-08-28,4.10,4.13,4.26,4.23,3.50,-1,1
2000-08-29,4.10,4.12,4.24,4.25,3.51,-1,1
2000-08-30,4.10,4.11,4.23,4.26,3.51,-1,1
2000-08-31,4.08,4.11,4.21,4.27,3.51,-1,1
2000-09-01,4.07,4.08,4.19,4.27,3.52,-1,1
2000-09-05,4.05,4.07,4.16,4.27,3.52,-1,1
2000-09-06,4.03,4.07,4.15,4.27,3.52,-1,1
2000-09-07,4.02,4.06,4.14,4.27,3.52,-1,1
2000-09-08,4.00,4.05,4.13,4.26,3.53,-1,1
