Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2014-06-25,11.55,11.55,11.55,11.55,11.55,-1,-1
2014-06-26,11.73,11.73,11.73,11.73,11.73,-1,-1
2014-06-27,11.79,11.79,11.79,11.79,11.79,-1,-1
2014-06-30,11.72,11.72,11.72,11.72,11.72,-1,-1
2014-07-01,12.08,12.08,12.08,12.08,12.08,-1,-1
2014-07-02,12.32,12.32,12.32,12.32,12.32,-1,-1
2014-07-03,12.60,12.60,12.60,12.60,12.60,-1,-1
2014-07-07,13.02,12.84,12.84,12.84,12.84,1,-1
2014-07-08,13.33,12.98,12.98,12.98,12.98,1,-1
2014-07-09,13.63,13.08,13.08,13.08,13.08,1,-1
2014-07-10,13.82,13.05,13.05,13.05,13.05,1,-1
2014-07-11,13.72,13.04,13.04,13.04,13.04,1,-1
2014-07-14,13.62,13.02,13.02,13.02,13.02,1,-1
2014-07-15,13.27,12.94,12.94,12.94,12.94,1,-1
2014-07-16,12.89,12.95,12.86,12.86,12.86,-1,-1
2014-07-17,12.56,12.95,12.79,12.79,12.79,-1,-1
2014-07-18,12.34,12.99,12.77,12.77,12.77,-1,-1
2014-07-21,12.30,13.06,12.76,12.76,12.76,-1,-1
2014-07-22,12.23,12.98,12.74,12.74,12.74,-1,-1
2014-07-23,12.10,12.86,12.70,12.70,12.70,-1,-1
2014-07-24,12.16,12.71,12.68,12.68,12.68,-1,-1
2014-07-25,12.19,12.54,12.65,12.65,12.65,-1,-1
2014-07-28,12.21,12.39,12.62,12.62,12.62,-1,-1
2014-07-29,12.14,12.24,12.59,12.59,12.59,-1,-1
2014-07-30,12.06,12.18,12.56,12.56,12.56,-1,-1
2014-07-31,11.91,12.07,12.52,12.52,12.52,-1,-1
2014-08-01,11.74,11.92,12.45,12.45,12.45,-1,-1
2014-08-04,11.54,11.85,12.39,12.39,12.39,-1,-1
2014-08-05,11.37,11.78,12.34,12.34,12.34,-1,-1
2014-08-06,11.29,11.75,12.31,12.31,12.31,-1,-1
2014-08-07,11.30,11.72,12.32,12.30,12.30,-1,-1
2014-08-08,11.28,11.67,12.32,12.28,12.28,-1,-1
2014-08-11,11.39,11.65,12.33,12.28,12.28,-1,-1
2014-08-12,11.57,11.66,12.34,12.27,12.27,-1,-1
2014-08-13,11.92,11.73,12.33,12.30,12.30,1,-1
2014-08-14,12.03,11.70,12.27,12.28,12.28,1,-1
